id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item4221025b8e,"Charaxes bipunctatus, UNMOUNTED butterfly",https://www.ebay.com/itm/Charaxes-bipunctatus-UNMOUNTED-butterfly/284021644174?hash=item4221025b8e:g:fLIAAOSwq4tfhaUG,$4.90,"Frydek-Mistek, Czech Republic",https://i.ebayimg.com/thumbs/images/g/fLIAAOSwq4tfhaUG/s-l225.jpg,wingshape,https://www.ebay.com/usr/wingshape?_trksid=p2047675.l2559,Instant,0,0,Last one,"Oct 13, 2020 06:01:22 PDT"
item28a238c1aa,Real Framed Charaxes Bipunctatus The Two-Spot Blue Charaxes Butterfly 7794,https://www.ebay.com/itm/Real-Framed-Charaxes-Bipunctatus-The-Two-Spot-Blue-Charaxes-Butterfly-7794/174520320426?hash=item28a238c1aa:g:1q0AAOSwM4xXbXzo,$39.99,"Visalia, California, United States",https://i.ebayimg.com/thumbs/images/g/1q0AAOSwM4xXbXzo/s-l225.jpg,realbutterflygifts,https://www.ebay.com/usr/realbutterflygifts?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3daa1f8348,NYMPHALIDAE Charaxes bipunctatus ugandensis PAIR Kenya NYM0790,https://www.ebay.com/itm/NYMPHALIDAE-Charaxes-bipunctatus-ugandensis-PAIR-Kenya-NYM0790/264847197000?hash=item3daa1f8348:g:r5MAAOSwmZJfShEE,$7.00,"Moscow, Russian Federation",https://i.ebayimg.com/thumbs/images/g/r5MAAOSwmZJfShEE/s-l225.jpg,dirktt50,https://www.ebay.com/usr/dirktt50?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 29, 2020 23:26:30 PDT"
item3436ab1030,UNMOUNTED BUTTERFLY CHARAXES BIPUNCTATUS 1 PC.,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLY-CHARAXES-BIPUNCTATUS-1-PC/224255479856?hash=item3436ab1030:g:X3QAAOSwxKBfs0l7,$1.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/thumbs/images/g/X3QAAOSwxKBfs0l7/s-l225.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"Nov 29, 2020 13:43:22 PST"
item1cdad5770b,"LEPIDOPTERA, NYMPHALIDAE, CHARAXINAE, CHARAXES BIPUNCTATUS (male) from R.C.A.",https://www.ebay.com/itm/LEPIDOPTERA-NYMPHALIDAE-CHARAXINAE-CHARAXES-BIPUNCTATUS-male-from-R-C-A/123930507019?hash=item1cdad5770b:g:MUgAAOSwwFldmeAk,$5.27,"Santiago de Compostela (A Coruña), Spain",https://i.ebayimg.com/thumbs/images/g/MUgAAOSwwFldmeAk/s-l225.jpg,insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Dec 30, 2019 15:12:56 PST"
item52185712fa,Entomology nymphalidae commun bipunctatus ugendensis m. rci,https://www.ebay.com/itm/Entomologie-Nymphalidae-Charaxes-bipunctatus-ugendensis-M-RCI/352595677946?hash=item52185712fa:g:~gkAAOSwaRBcZ8M3,$7.18,"Trosly-Breuil, France",https://i.ebayimg.com/thumbs/images/g/~gkAAOSwaRBcZ8M3/s-l225.jpg,hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item520ecd8ccc,Entomology nymphalidae commun bipunctatus ugandensis aberrant male rca,https://www.ebay.com/itm/Entomologie-Nymphalidae-Charaxes-bipunctatus-ugandensis-Male-Aberrant-RCA/352435670220?hash=item520ecd8ccc:g:4mwAAOSwoj9a9tCo,$4.78,"Trosly-Breuil, France",https://i.ebayimg.com/thumbs/images/g/4mwAAOSwoj9a9tCo/s-l225.jpg,hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 27, 2019 14:52:29 PST"
item23bfd008b5,"Charaxes bipunctatus Rothschild, 1894 Congo 75mm13g",https://www.ebay.com/itm/Charaxes-bipunctatus-Rothschild-1894-Congo-75mm13g/153541937333?hash=item23bfd008b5:g:RK4AAOSwbrFdEapG,$6.79,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/RK4AAOSwbrFdEapG/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 24, 2020 21:01:35 PST"
item23bfd0073a,"Charaxes bipunctatus Rothschild, 1894 Congo 75mm2g",https://www.ebay.com/itm/Charaxes-bipunctatus-Rothschild-1894-Congo-75mm2g/153541936954?hash=item23bfd0073a:g:q48AAOSwq9FdEaoF,$6.79,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/q48AAOSwq9FdEaoF/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 24, 2020 20:59:43 PST"
item23bfd00827,"Charaxes bipunctatus Rothschild, 1894 Congo 75mm4g",https://www.ebay.com/itm/Charaxes-bipunctatus-Rothschild-1894-Congo-75mm4g/153541937191?hash=item23bfd00827:g:39kAAOSwdAJdEaoi,$6.79,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/39kAAOSwdAJdEaoi/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 24, 2020 21:00:19 PST"
item23bfd005b6,"Charaxes bipunctatus Rothschild, 1894 Congo 73mm14g",https://www.ebay.com/itm/Charaxes-bipunctatus-Rothschild-1894-Congo-73mm14g/153541936566?hash=item23bfd005b6:g:BtoAAOSwQGVdEamz,$6.79,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/BtoAAOSwQGVdEamz/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 24, 2020 20:57:43 PST"
item23bfd0069e,"Charaxes bipunctatus Rothschild, 1894 Congo 74mm15g",https://www.ebay.com/itm/Charaxes-bipunctatus-Rothschild-1894-Congo-74mm15g/153541936798?hash=item23bfd0069e:g:~bsAAOSw1V5dEang,$6.79,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/~bsAAOSw1V5dEang/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 24, 2020 20:59:29 PST"
item23bfd00c6f,"Charaxes bipunctatus Rothschild, 1894 Congo 79mm9g",https://www.ebay.com/itm/Charaxes-bipunctatus-Rothschild-1894-Congo-79mm9g/153541938287?hash=item23bfd00c6f:g:XWAAAOSwp3FdEarD,$7.33,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/XWAAAOSwp3FdEarD/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 24, 2020 21:03:22 PST"
item23bfd00e1b,"Charaxes bipunctatus Rothschild, 1894 Congo 80mm5g",https://www.ebay.com/itm/Charaxes-bipunctatus-Rothschild-1894-Congo-80mm5g/153541938715?hash=item23bfd00e1b:g:CQMAAOSwfoddEarj,$7.33,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/CQMAAOSwfoddEarj/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 24, 2020 21:03:01 PST"
