id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item3b52e4608f,"Lepidoptera. Colias thisoa strandiana, A-, Pair, Caucasus",https://www.ebay.com/itm/Lepidoptera-Colias-thisoa-strandiana-A-Pair-Caucasus/254793769103?hash=item3b52e4608f:g:UuQAAOSwHpZfxESl,$39.99,"Kursk City, Russian Federation",https://i.ebayimg.com/thumbs/images/g/UuQAAOSwHpZfxESl/s-l225.jpg,mistericus,https://www.ebay.com/usr/mistericus?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 29, 2020 17:54:04 PST"
item3b52e46980,"Lepidoptera. Colias thisoa aeolides, A-, Pair, Kyrgyzstan",https://www.ebay.com/itm/Lepidoptera-Colias-thisoa-aeolides-A-Pair-Kyrgyzstan/254793771392?hash=item3b52e46980:g:20cAAOSwjQRfxEXa,$44.99,"Kursk City, Russian Federation",https://i.ebayimg.com/thumbs/images/g/20cAAOSwjQRfxEXa/s-l225.jpg,mistericus,https://www.ebay.com/usr/mistericus?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 29, 2020 17:54:02 PST"
item366dbcac9b,Colias thisoa thisoa REPUBLIC ARMENIA 1M C3616 11$,https://www.ebay.com/itm/Colias-thisoa-thisoa-REPUBLIC-ARMENIA-1M-C3616-11/233769315483?hash=item366dbcac9b:g:wMsAAOSw5Dlfowd1,$11.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/thumbs/images/g/wMsAAOSw5Dlfowd1/s-l225.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item366995e2cd,Colias thisoa thisoa REPUBLIC ARMENIA 1PAIR C3339 30$,https://www.ebay.com/itm/Colias-thisoa-thisoa-REPUBLIC-ARMENIA-1PAIR-C3339-30/233699664589?hash=item366995e2cd:g:K9oAAOSwxYNfTy2N,$30.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/thumbs/images/g/K9oAAOSwxYNfTy2N/s-l225.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item46b3d83f47,Colias THISOA strandiana *** times *** Turkey (Unmounted/papered),https://www.ebay.com/itm/COLIAS-THISOA-STRANDIANA-male-TURKEY-unmounted-papered/303665004359?hash=item46b3d83f47:g:gaoAAOSwIIZfRT6S,$41.99,"Miami Playa, Spain",https://i.ebayimg.com/thumbs/images/g/gaoAAOSwIIZfRT6S/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item422114fb0e,Butterfly Pieridae Colias thisoa,https://www.ebay.com/itm/Butterfly-Pieridae-Colias-thisoa/284022864654?hash=item422114fb0e:g:7IoAAOSw8NtfmobY,$20.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/thumbs/images/g/7IoAAOSw8NtfmobY/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,Last one,"Oct 29, 2020 21:17:13 PDT"
item422114fea8,Butterfly Pieridae Colias thisoa female,https://www.ebay.com/itm/Butterfly-Pieridae-Colias-thisoa-female/284022865576?hash=item422114fea8:g:NjQAAOSwcbpfmoco,$35.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/thumbs/images/g/NjQAAOSwcbpfmoco/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,Last one,"Oct 29, 2020 21:17:12 PDT"
item23c952c6a3,"Colias thisoa Menetries, 1832 Kyrgyzstan7k",https://www.ebay.com/itm/Colias-thisoa-Menetries-1832-Kyrgyzstan7k/153701500579?hash=item23c952c6a3:g:P4gAAOSwHQRdtuD-,$13.42,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/P4gAAOSwHQRdtuD-/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 18, 2020 09:10:02 PDT"
item23c952ca86,"Colias thisoa Menetries, 1832 Uzbekistan16k",https://www.ebay.com/itm/Colias-thisoa-Menetries-1832-Uzbekistan16k/153701501574?hash=item23c952ca86:g:IKYAAOSwY8tdtuFk,$13.42,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/IKYAAOSwY8tdtuFk/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 28, 2020 04:41:31 PST"
item23779c9011,"Colias thisoa Ménétriés, 1932 Uzbekistan3",https://www.ebay.com/itm/Colias-thisoa-Menetries-1932-Uzbekistan3/152330604561?hash=item23779c9011:g:y2kAAOSwP~tW6uQ1,$14.03,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/y2kAAOSwP~tW6uQ1/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 24, 2020 09:28:41 PST"
item34345e7ec3,a0-992 Colias thisoa aeolides 1m A2 Pieridae,https://www.ebay.com/itm/a0-992-Colias-thisoa-aeolides-1m-A2-Pieridae/224216907459?hash=item34345e7ec3:g:X2sAAOSwbGdfUbC6,$2.50,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/X2sAAOSwbGdfUbC6/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
