id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item42204a884c,Butterfly Lycaenidae Lycaena hippothoe,https://www.ebay.com/itm/Butterfly-Lycaenidae-Lycaena-hippothoe/284009597004?hash=item42204a884c:g:Za4AAOSwXrpfXQ3I,$6.00,"Савостино, Лотошинский, Russian Federation",https://i.ebayimg.com/thumbs/images/g/Za4AAOSwXrpfXQ3I/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 12, 2020 12:04:07 PDT"
item42204a89b0,Butterfly Lycaenidae Lycaena hippothoe,https://www.ebay.com/itm/Butterfly-Lycaenidae-Lycaena-hippothoe/284009597360?hash=item42204a89b0:g:GIEAAOSwxr1fXQ33,$6.00,"Савостино, Лотошинский, Russian Federation",https://i.ebayimg.com/thumbs/images/g/GIEAAOSwxr1fXQ33/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 12, 2020 12:04:05 PDT"
item3b52df131d,Lycaena hippothoe     - from Poland,https://www.ebay.com/itm/Lycaena-hippothoe-from-Poland/254793421597?hash=item3b52df131d:g:MT4AAOSwzlxfw-ej,$5.33,"Rzeszów, Poland",https://i.ebayimg.com/thumbs/images/g/MT4AAOSwzlxfw-ej/s-l225.jpg,palura_la,https://www.ebay.com/usr/palura_la?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item366fbb9b98,"Lycaena hippothoe hippothoe, Poland. 1x pair. Set specimens.",https://www.ebay.com/itm/Lycaena-hippothoe-hippothoe-Poland-1x-pair-Set-specimens/233802800024?hash=item366fbb9b98:g:WCIAAOSwIFhfxR11,$6.66,"Manchester, United Kingdom",https://i.ebayimg.com/thumbs/images/g/WCIAAOSwIFhfxR11/s-l225.jpg,maffbutterflies,https://www.ebay.com/usr/maffbutterflies?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item4b878f0343,Lycaena hippothoe male from Poland (mounted),https://www.ebay.com/itm/Lycaena-hippothoe-male-from-Poland-mounted/324396843843?hash=item4b878f0343:g:yAMAAOSwIhFfnxzu,$5.33,"Swidnica Slaska, Poland",https://i.ebayimg.com/thumbs/images/g/yAMAAOSwIhFfnxzu/s-l225.jpg,catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item4b878f0669,Lycaena hippothoe female from Poland (mounted),https://www.ebay.com/itm/Lycaena-hippothoe-female-from-Poland-mounted/324396844649?hash=item4b878f0669:g:9kkAAOSwbLxfnx2G,$5.86,"Swidnica Slaska, Poland",https://i.ebayimg.com/thumbs/images/g/9kkAAOSwbLxfnx2G/s-l225.jpg,catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item4b878f45ef,Lycaena hippothoe male from Poland (mounted),https://www.ebay.com/itm/Lycaena-hippothoe-male-from-Poland-mounted/324396860911?hash=item4b878f45ef:g:P8kAAOSwl4Ffnx1D,$5.33,"Swidnica Slaska, Poland",https://i.ebayimg.com/thumbs/images/g/P8kAAOSwl4Ffnx1D/s-l225.jpg,catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item23e62d1c78,"Lycaena hippothoe (Linnaeus, 1761) Czech65a",https://www.ebay.com/itm/Lycaena-hippothoe-Linnaeus-1761-Czech65a/154185571448?hash=item23e62d1c78:g:e0kAAOSwnclfqVQ-,$7.86,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/e0kAAOSwnclfqVQ-/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23e62d1d8f,"Lycaena hippothoe (Linnaeus, 1761) Czech66a",https://www.ebay.com/itm/Lycaena-hippothoe-Linnaeus-1761-Czech66a/154185571727?hash=item23e62d1d8f:g:zFAAAOSwETVfqVRe,$7.86,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/zFAAAOSwETVfqVRe/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23e62d1eb2,"Lycaena hippothoe (Linnaeus, 1761) Czech67a",https://www.ebay.com/itm/Lycaena-hippothoe-Linnaeus-1761-Czech67a/154185572018?hash=item23e62d1eb2:g:fxQAAOSwmYpfqVR3,$7.86,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/fxQAAOSwmYpfqVR3/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
