id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item217f107081,PAPILIONIDAE Parides erithalion chimchipensis / xanthias FEMALE from PERU #890,https://www.ebay.com/itm/PAPILIONIDAE-Parides-erithalion-chimchipensis-xanthias-FEMALE-from-PERU-890/143865704577?hash=item217f107081:g:GCwAAOSwGMtfwA1b,$1.99,"Arrayanes, Spain",https://i.ebayimg.com/thumbs/images/g/GCwAAOSwGMtfwA1b/s-l225.jpg,javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item217f1070e9,PAPILIONIDAE Parides erithalion chimchipensis / xanthias MALE PERU mounted #796,https://www.ebay.com/itm/PAPILIONIDAE-Parides-erithalion-chimchipensis-xanthias-MALE-PERU-mounted-796/143865704681?hash=item217f1070e9:g:soIAAOSwgzVfwAzt,$1.99,"Arrayanes, Spain",https://i.ebayimg.com/thumbs/images/g/soIAAOSwgzVfwAzt/s-l225.jpg,javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item3435a31718,a0-1647 Parides erithalion polyzelus 1m A1 Papilionidae,https://www.ebay.com/itm/a0-1647-Parides-erithalion-polyzelus-1m-A1-Papilionidae/224238180120?hash=item3435a31718:g:Ae8AAOSw5ulfs-9U,$6.90,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/Ae8AAOSw5ulfs-9U/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4b8780698c,UNMOUNTED BUTTERFLY PARIDES ERITHALION 1 PC .Peru,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLY-PARIDES-ERITHALION-1-PC-Peru/324395886988?hash=item4b8780698c:g:E-EAAOSw4vZfGmHV,$2.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/thumbs/images/g/E-EAAOSw4vZfGmHV/s-l225.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"Nov 29, 2020 13:49:40 PST"
item3435a3193f,a0-1648 Parides erithalion polyzelus 1m A1 Papilionidae,https://www.ebay.com/itm/a0-1648-Parides-erithalion-polyzelus-1m-A1-Papilionidae/224238180671?hash=item3435a3193f:g:RDQAAOSwhX1fs-98,$6.90,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/RDQAAOSwhX1fs-98/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4b866c61d7,a0-1646 Parides erithalion polyzelus 1m A1 Papilionidae,https://www.ebay.com/itm/a0-1646-Parides-erithalion-polyzelus-1m-A1-Papilionidae/324377797079?hash=item4b866c61d7:g:MP8AAOSwNM1fs-8l,$6.90,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/MP8AAOSwNM1fs-8l/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3435a30857,a0-1645 Parides erithalion polyzelus 1m A1 Papilionidae,https://www.ebay.com/itm/a0-1645-Parides-erithalion-polyzelus-1m-A1-Papilionidae/224238176343?hash=item3435a30857:g:6zkAAOSwYHFfs-6c,$6.90,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/6zkAAOSwYHFfs-6c/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1f1ab1080b,+ Entomology Butterfly: Parides erithalion Blanca ♂ abancay Peru +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-PARIDES-ERITHALION-BLANCA-ABANCAY-PERU/133591795723?hash=item1f1ab1080b:g:1w4AAOSw7elfw9dh,$3.60,"Haibach, Germany",https://i.ebayimg.com/thumbs/images/g/1w4AAOSw7elfw9dh/s-l225.jpg,aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,0,1,29 Nov 2020 at 9:16:27AM PST
item1f125a43b9,Parides erithalion ssp. Blanca males Para Type,https://www.ebay.com/itm/Parides-erithalion-ssp-blanca-Mannchen-PARATYPE/133451891641?hash=item1f125a43b9:g:uJ8AAOSwY3Ve-hsy,$57.76,"Haibach, Germany",https://i.ebayimg.com/thumbs/images/g/uJ8AAOSwY3Ve-hsy/s-l225.jpg,aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 07, 2020 06:28:35 PDT"
item3ad767e5a4,"Unmounted Butterfly/Papilionidae - Parides erithalion chinchipensis, FEMALE",https://www.ebay.com/itm/Unmounted-Butterfly-Papilionidae-Parides-erithalion-chinchipensis-FEMALE/252722013604?hash=item3ad767e5a4:g:z-gAAOSwT6pVsSAj,$10.85,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/z-gAAOSwT6pVsSAj/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,3,"Oct 16, 2020 14:16:03 PDT"
