id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item41fda3f09c,"PHOEBIS PHILEA  10 A1, EXTRA LARGE SIZE, Unmounted Males - Costa Rica",https://www.ebay.com/itm/PHOEBIS-PHILEA-10-A1-EXTRA-LARGE-SIZE-Unmounted-Males-Costa-Rica/283428253852?hash=item41fda3f09c:g:GSIAAOSw4sNcIVyW,$22.95,"Commack, New York, United States",https://i.ebayimg.com/thumbs/images/g/GSIAAOSw4sNcIVyW/s-l225.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,6,"Nov 03, 2020 15:27:27 PST"
item342bf37c51,REAL FRAMED BUTTERFLY YELLOW ORANGE PHOEBIS PHILEA PERU,https://www.ebay.com/itm/REAL-FRAMED-BUTTERFLY-YELLOW-ORANGE-PHOEBIS-PHILEA-PERU/224075676753?hash=item342bf37c51:g:i6EAAOSwHvNfCSrC,$28.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/i6EAAOSwHvNfCSrC/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Sep 02, 2020 19:05:30 PDT"
item421b859396,"PHOEBIS PHILEA PAIR- A1 Male & Female, Unspread, Ex Pupae Colombia",https://www.ebay.com/itm/PHOEBIS-PHILEA-PAIR-A1-Male-Female-Unspread-Ex-Pupae-Colombia/283929580438?hash=item421b859396:g:DQAAAOSwXede9~3L,$12.50,"Commack, New York, United States",https://i.ebayimg.com/thumbs/images/g/DQAAAOSwXede9~3L/s-l225.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,5,"Jul 06, 2020 06:44:46 PDT"
item342bf37c51,REAL FRAMED BUTTERFLY YELLOW ORANGE PHOEBIS PHILEA PERU,https://www.ebay.com/itm/REAL-FRAMED-BUTTERFLY-YELLOW-ORANGE-PHOEBIS-PHILEA-PERU/224075676753?hash=item342bf37c51&_trkparms=ispr%3D1&amdata=enc%3AAQAFAAADUKCKMdJVtGvlyHjrqvj0s%252B6mdxYEOQerCNWPI14f7rWqisfRCFUM6SzN1PNF%252BLfi1wMzY%252FO2csp3XDvtSlpMMFw2RGgwPpB%252FD%252BtS5a9jj9G%252F1HYNDCVbSVKFUIXtZ1GapCRdEUFFwqCr1samMZZD%252BbQf9E3FgOhz%252Bjrp5CKqoD%252Br0BxLBJDzgmbgoo5Ln7Uy1keug7n9KWNPUbyfCSeJKj%252F42S9OxNT%252FYu%252F7Iks%252FLABHYuEx3c9HcP2rf5ZOqsaLBglvXKUd%252B4Vuza0I%252BG0T4eYqA3NuapRp%252B7ILgJvObSFo3%252F9HgJ3fUkvDoRBpY6mJ%252FF%252Fdk4Ux4BxyosWfB61oTR3sHipxWUaALx9LmqikaFGu4uSDLcWXAbQ%252FhPLGWofb4s4vvqp0Cn4IqlplgTdEue7m2VzERddrAlCXGssmE%252B6694C9ZiXfr61Qk8hFOQZcUu7bBsah4OXDKuqpA4TetYjyulDeLtISSDQ36gHAyBPE%252BzOsT6otbHd6PGcmR9c%252BAwaN0RQF06gaz%252BRGRmJbrR1i31jdH%252Fo3bhzdZ2Qwrivfep%252Fm5FZ0IlJUaBH7PrhScce3e9lu3K8%252FZtwSo7uXIaw%252FnPOvnwT85IXtneRzK7igieEZ%252BZMMM3UmZFbXQ2BGXjsal3vE2oqSZ%252FAQuxL%252FzzcokrKzqK06Ra80jtlEWhe1xM81V9%252FAc4FHjHCqtmFmvQFHTVcU32zJO30cgOzw6QiRh%252BygYHorT6nk1T6snjvTvptCEuAHW45EFBP2%252FYrBDxQI6POe64odMamYwFLskVMSJqK0WYmojqvIe5oTSKWCtb2UL%252Bssa2MBmyeEC3gnneE3qtu21Vz7q8G8fcjRAe2JX3FflR4g31Lz6ehGAPchnhSm8hw%252BJjrXkte5%252F8NOKjukBri6Ytf2CEoM%252BMNVwfaJhNYfrA43uxs7Afq3NntjBUCMzsud4OEbWezYLXwsc5rXqPCh6I3d0YEWqVFLr4CsEPWocTIWBv9KjhjIDk3hiBtBfRkEX2nBDjmbfuTvhgnxyGn2PA5tlnht3sjHrZ0TY0QCXYPRFU4ID5XgZkIJH%252BGSyYzSuAdNzNqrErQAd%252BtrP9rK7Cq%252FbSV3GQFDLQmoNeH0RSzjVu8ap4SaOC1m%7Ccksum%3A22407567675358d3a56bdfea4e5abb7c14cdbd01fffe%7Campid%3APL_CLK,$28.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/i6EAAOSwHvNfCSrC/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Sep 02, 2020 19:05:30 PDT"
item33ef14e2dd,ONE REAL BUTTERFLY YELLOW ORANGE PHOEBIS PHILEA PERU UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/ONE-REAL-BUTTERFLY-YELLOW-ORANGE-PHOEBIS-PHILEA-PERU-UNMOUNTED-WINGS-CLOSED/223054455517?hash=item33ef14e2dd&_trkparms=ispr%3D1&amdata=enc%3AAQAFAAADYO4O2Tj8zow3C7FwiKE70aiksMGMhhX%252Flm3hTFnFjU1Y7XZBJf%252F5Ht3J8uuHy2LPWASjUx1STIU433e5M9o5mcID7AMjdMhk2RUdWWDWYJ6zdKjGatWwFCyK7e1MyA7mWZ%252BR1OTCZj0rKaq5APu6EsW3EGuVIVFb1J9aiGauKo%252BpQykCTWKWD6h59rB9gT1Lx14lABPLr8xfZa6VPEnF6l%252FwFLb10BRD4WexxYyHzKtN2EmmjC%252F8fU2Wf7zAdSzf9tFaS71xjMUIDm4ylXdx4%252Fs7dIWWkC6XbFNiJbKW2Lma8W5jbaLGZLkXq3QvrJWsgQsKwXtBpDEELpxJAl%252FvKkd9qGZG3ZOaQzM3OqyRLXnK%252B7DGjkvpeTQg0p2bnUrmNX%252BsEoCqmkswQo%252FUdgzXw2fHA%252FceRFiTYmOblNloyBB1YWrIvSX23vkfSTgOhlCTTDkH8UhGm04J4uNtlp95PA8RMR%252FfdjGY0g8AH3qPUB803DCIan9Fc4nXCOfYrxjpp%252BwwDMVGvPBDcOjN4iNg%252BXC2O2whcFIwCOBzvQK2UEsZcRbSMijLTaOUJqxMGFW%252BUjpQb2j%252FFWr6nUF%252BXRwacCK1CbTcaOd02vCNIuC2VFL0HkKNJK24ugqZmob4eAlnlbsvzzcrxvuBS2jjgevsDbBoa%252FfWUIDfTF7rwgHisIlfJQWw8wNyvAiFCY5qAlFGRHDMmpDfKBfeNWv%252FgeImOqEMJWiqptzSEiqDNmxSDfw88eIgneFg07dpYG%252FRcpWRmqT%252BYDTdY%252BuPuuu1JLqHqyivkMY3WwDtBtpru3hLrFXSXUoFTp2Wj1bKeyrq6XwvC9c82VUSCt2XVIX9BBDcmMJlWTDa54QxcxDuZ7jV1ozRf1w%252FF6sovtocVasR3Uh91HH1z4ca%252FK18os5s6EldlzwycK%252BguxZV84KGMXkJT6S58uwapDrkfZfiiauG9%252BHmCw2T%252Fi%252FmmLlNdV7PLxs7IlX5G1rNiddHXzb%252F%252FhFEZ3AqfYrueMdFTxd055KspSZNtUqaJv5yeh65bEqkk5Q4%252FRorkGw2ngYkCOKtwvQKW5puKQ%252FiklzCvCaS1L8g1C38eA4nRNwWMPMybHaI2qgYm%252BWbOx47%252BGWixSSzDGLrd7gs0W%252FJb%252BmCHJDAjTKLv8444A%253D%253D%7Ccksum%3A2230544555177f3ee49371e54b60a2fd2559323e8d4f%7Campid%3APL_CLK,$8.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/3-cAAOSw5zJcgyCA/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Sep 02, 2020 19:05:21 PDT"
item33ef14e2dd,ONE REAL BUTTERFLY YELLOW ORANGE PHOEBIS PHILEA PERU UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/ONE-REAL-BUTTERFLY-YELLOW-ORANGE-PHOEBIS-PHILEA-PERU-UNMOUNTED-WINGS-CLOSED/223054455517?hash=item33ef14e2dd:g:3-cAAOSw5zJcgyCA,$8.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/3-cAAOSw5zJcgyCA/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Sep 02, 2020 19:05:21 PDT"
item3da9739553,Orange-barred Sulphur Butterfly Phoebis philea philea Folded FAST FROM USA,https://www.ebay.com/itm/Orange-barred-Sulphur-Butterfly-Phoebis-philea-philea-Folded-FAST-FROM-USA/264835929427?hash=item3da9739553:g:uuAAAOSwx~dfPUes,$3.99,"Jupiter, Florida, United States",https://i.ebayimg.com/thumbs/images/g/uuAAAOSwx~dfPUes/s-l225.jpg,ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,0,3,"Nov 24, 2020 16:37:23 PST"
item5936b940d6,REAL BUTTERFLY YELLOW ORANGE PHOEBIS PHILEA CHRISTMAS ORNAMENT GIFT PERU,https://www.ebay.com/itm/REAL-BUTTERFLY-YELLOW-ORANGE-PHOEBIS-PHILEA-CHRISTMAS-ORNAMENT-GIFT-PERU/383170199766?hash=item5936b940d6:g:6F4AAOSw8WZfMhBK,$28.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/6F4AAOSw8WZfMhBK/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Sep 02, 2020 19:05:26 PDT"
item285790c642,Real Framed Phoebis Philea The Orange Barred Sulpher Butterfly 350,https://www.ebay.com/itm/Real-Framed-Phoebis-Philea-The-Orange-Barred-Sulpher-Butterfly-350/173267797570?hash=item285790c642:g:ZVAAAOSwvg9XZI5j,$39.99,"Visalia, California, United States",https://i.ebayimg.com/thumbs/images/g/ZVAAAOSwvg9XZI5j/s-l225.jpg,realbutterflygifts,https://www.ebay.com/usr/realbutterflygifts?_trksid=p2047675.l2559,Instant,0,0,1,"Jul 19, 2020 17:02:13 PDT"
item56e2a27c35,"Phoebis philea, 10pcs,UNMOUNTED butterfly",https://www.ebay.com/itm/Phoebis-philea-10pcs-UNMOUNTED-butterfly/373169486901?hash=item56e2a27c35:g:2SAAAOSwFURb-Eky,$26.00,"Frydek-Mistek, Czech Republic",https://i.ebayimg.com/thumbs/images/g/2SAAAOSwFURb-Eky/s-l225.jpg,wingshape,https://www.ebay.com/usr/wingshape?_trksid=p2047675.l2559,Instant,0,0,9,Unknown
