id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item446abf5958,1 publication. Argynnis pandora (a quality),https://www.ebay.com/itm/1-Expl-Argynnis-pandora-A-quality/293848701272?hash=item446abf5958:g:O9MAAOSwPZhfntsn,https://i.ebayimg.com/thumbs/images/g/O9MAAOSwPZhfntsn/s-l225.jpg,$5.98,Nov-29 08:01,"Halle, Germany",laran_de,https://www.ebay.com/usr/laran_de?_trksid=p2047675.l2559,Auction,1,1
item446abf4847,1 publication. Argynnis pandora (B quality),https://www.ebay.com/itm/1-Expl-Argynnis-pandora-B-quality/293848696903?hash=item446abf4847:g:GJgAAOSwJp5fntt1,https://i.ebayimg.com/thumbs/images/g/GJgAAOSwJp5fntt1/s-l225.jpg,$4.78,Nov-29 08:00,"Halle, Germany",laran_de,https://www.ebay.com/usr/laran_de?_trksid=p2047675.l2559,Auction,1,1
item3b5136cb1c,"Butterfly, Argynnis pandora, Mediterranean Fritillary female ( mounted )",https://www.ebay.com/itm/Butterfly-Argynnis-pandora-Mediterranean-Fritillary-female-mounted/254765615900?hash=item3b5136cb1c:g:OYYAAOSwzZZfnts~,https://i.ebayimg.com/thumbs/images/g/OYYAAOSwzZZfnts~/s-l225.jpg,$8.01,Nov-08 12:20,"Proszowice, Poland",zeryntia,https://www.ebay.com/usr/zeryntia?_trksid=p2047675.l2559,Auction,1,1
item1cf7d9cf67,Nymphalidae. Argynnis pandora pasargades. male N Uzbekistan,https://www.ebay.com/itm/Nymphalidae-Argynnis-pandora-pasargades-male-N-Uzbekistan/124417331047?hash=item1cf7d9cf67:g:cx4AAOSwijRdlqY3,https://i.ebayimg.com/thumbs/images/g/cx4AAOSwijRdlqY3/s-l225.jpg,$18.00,Nov-01 01:26,"Moscow, Russian Federation",roslerstammiella,https://www.ebay.com/usr/roslerstammiella?_trksid=p2047675.l2559,Instant,0,1
item2d1a10418f,"Argynnis pandora, Argynnis paphia - Mediterranean Fritillary – revers female",https://www.ebay.com/itm/Argynnis-pandora-Argynnis-paphia-Mediterranean-Fritillary-revers-female/193710801295?hash=item2d1a10418f:g:bjAAAOSwGsRfiH7p,https://i.ebayimg.com/thumbs/images/g/bjAAAOSwGsRfiH7p/s-l225.jpg,$14.39,Oct-24 09:10,"Poland, Poland",colias44,https://www.ebay.com/usr/colias44?_trksid=p2047675.l2559,Auction,13,1
item3fea4f3cfd,Nymphalidae - Argynnis pandora - Mediterranean Fritillary,https://www.ebay.com/itm/Nymphalidae-Argynnis-pandora-Mediterranean-Fritillary/274514001149?hash=item3fea4f3cfd:g:p0AAAOSw2vBfc3WY,https://i.ebayimg.com/thumbs/images/g/p0AAAOSw2vBfc3WY/s-l225.jpg,$11.35,Oct-06 10:59,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,3,1
item23dbe0bcb5,"Argynnis pandora (Denis & Schiffermüller, 1775) female Macedonia49a",https://www.ebay.com/itm/Argynnis-pandora-Denis-Schiffermuller-1775-female-Macedonia49a/154012794037?hash=item23dbe0bcb5:g:kUEAAOSwq8hfE~C-,https://i.ebayimg.com/thumbs/images/g/kUEAAOSwq8hfE~C-/s-l225.jpg,$13.19,Oct-05 08:28,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
item595825df01,"Nymphalidae Argynnis pandora SSP?, times from captured",https://www.ebay.com/itm/NYMPHALIDAE-ARGYNNIS-PANDORA-SSP-MALE-from-TAJIKISTAN/383730966273?hash=item595825df01:g:bwQAAOSwOsZfZ3w~,https://i.ebayimg.com/thumbs/images/g/bwQAAOSwOsZfZ3w~/s-l225.jpg,$5.39,Sep-27 08:59,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,4,1
item4220efee72,2 x Argynnis pandora from Hungary/Turkey,https://www.ebay.com/itm/2-x-Argynnis-pandora-aus-Ungarn-Turkei/284020436594?hash=item4220efee72:g:lGIAAOSwOBhfafYy,https://i.ebayimg.com/thumbs/images/g/lGIAAOSwOBhfafYy/s-l225.jpg,$10.77,Sep-23 01:42,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1
item3fe89e4718,Nymphalidae - Argynnis pandora - Mediterranean Fritillary - male,https://www.ebay.com/itm/Nymphalidae-Argynnis-pandora-Mediterranean-Fritillary-male/274485626648?hash=item3fe89e4718:g:6pAAAOSwXt9fRq~V,https://i.ebayimg.com/thumbs/images/g/6pAAAOSwXt9fRq~V/s-l225.jpg,$10.01,Sep-13 08:39,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,4,1
item4462addf51,"1 publication. Argynnis pandora, Nymphalidae",https://www.ebay.com/itm/1-Expl-Argynnis-pandora-Nymphalidae/293713338193?hash=item4462addf51:g:4P0AAOSw0MpfS9FX,https://i.ebayimg.com/thumbs/images/g/4P0AAOSw0MpfS9FX/s-l225.jpg,$12.56,Sep-06 09:27,"Halle, Germany",laran_de,https://www.ebay.com/usr/laran_de?_trksid=p2047675.l2559,Auction,9,1
