id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item3b50e46b89,Lot of 2 Red Lacewing Butterfly Cethosia biblis perakana Folded FAST FROM US,https://www.ebay.com/itm/Lot-of-2-Red-Lacewing-Butterfly-Cethosia-biblis-perakana-Folded-FAST-FROM-US/254760217481?hash=item3b50e46b89:g:fAAAAOSwUWZanYEu,https://i.ebayimg.com/thumbs/images/g/fAAAAOSwUWZanYEu/s-l225.jpg,$4.49,Nov-30 08:39,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,1
item3b4f67ab82,Cethosia biblis 10 pcs red butterfly wholesale good for artwork and frames,https://www.ebay.com/itm/Cethosia-biblis-10-pcs-red-butterfly-wholesale-good-for-artwork-and-frames/254735264642?hash=item3b4f67ab82:g:zrwAAOSwBq1fdZmL,https://i.ebayimg.com/thumbs/images/g/zrwAAOSwBq1fdZmL/s-l225.jpg,$11.00,Nov-30 01:41,"Voronezh, Russian Federation",maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,1
item3b50e45d94,Lot of 2 Red Lacewing Butterfly Cethosia biblis insularis Folded FAST FROM US,https://www.ebay.com/itm/Lot-of-2-Red-Lacewing-Butterfly-Cethosia-biblis-insularis-Folded-FAST-FROM-US/254760213908?hash=item3b50e45d94:g:arsAAOSwB09YF7Vn,https://i.ebayimg.com/thumbs/images/g/arsAAOSwB09YF7Vn/s-l225.jpg,$4.29,Nov-29 10:58,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,1
item44654d0c99,Real Butterfly/Insect/Moth Non Set B6554 Colourful Cethosia biblis insularis,https://www.ebay.com/itm/Real-Butterfly-Insect-Moth-Non-Set-B6554-Colourful-Cethosia-biblis-insularis/293757324441?hash=item44654d0c99:g:nMkAAOSwB95fdCk0,https://i.ebayimg.com/thumbs/images/g/nMkAAOSwB95fdCk0/s-l225.jpg,$3.57,Nov-25 23:50,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item2af7c4a5a9,Cethosia biblis sandakana female 37mm OU131 Nymphalidae Butterflies,https://www.ebay.com/itm/Cethosia-biblis-sandakana-female-37mm-OU131-Nymphalidae-Butterflies/184545486249?hash=item2af7c4a5a9:g:ZrQAAOSwc9NfkVQG,https://i.ebayimg.com/thumbs/images/g/ZrQAAOSwc9NfkVQG/s-l225.jpg,$0.99,Nov-25 21:31,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
item46b6619969,Real Butterfly/Insect/Moth Non Set B6555 Colourful Cethosia biblis perakana,https://www.ebay.com/itm/Real-Butterfly-Insect-Moth-Non-Set-B6555-Colourful-Cethosia-biblis-perakana/303707560297?hash=item46b6619969:g:8lkAAOSwcAFfdCnJ,https://i.ebayimg.com/thumbs/images/g/8lkAAOSwcAFfdCnJ/s-l225.jpg,$3.57,Nov-24 23:51,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item4224cd08fd,COLLECTION 4 PAIRS unmounted butterfly Nymphalidae cethosia biblis CHINA #2,https://www.ebay.com/itm/COLLECTION-4-PAIRS-unmounted-butterfly-Nymphalidae-cethosia-biblis-CHINA-2/284085258493?hash=item4224cd08fd:g:a40AAOSwGY5fgFIw,https://i.ebayimg.com/thumbs/images/g/a40AAOSwGY5fgFIw/s-l225.jpg,$9.90,Nov-22 21:28,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1
item548e799c2a,CETHOSIA BIBLIS PICTA FROM MACASSAR (old specimen from 1896),https://www.ebay.com/itm/CETHOSIA-BIBLIS-PICTA-FROM-MACASSAR-old-specimen-from-1896/363167587370?hash=item548e799c2a:g:iCQAAOSwpcFfpA-H,https://i.ebayimg.com/thumbs/images/g/iCQAAOSwpcFfpA-H/s-l225.jpg,$2.25,Nov-15 09:54,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item56eb9971a2,"CETHOSIA BIBLIS INSULARIS FROM BOAC, PHILIPPINAS",https://www.ebay.com/itm/CETHOSIA-BIBLIS-INSULARIS-FROM-BOAC-PHILIPPINAS/373319889314?hash=item56eb9971a2:g:CDAAAOSwaFlfpA9p,https://i.ebayimg.com/thumbs/images/g/CDAAAOSwaFlfpA9p/s-l225.jpg,$2.25,Nov-15 09:53,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1
item56eb99708d,CETHOSIA BIBLIS AMBOINENSIS FROM AMBON ISL,https://www.ebay.com/itm/CETHOSIA-BIBLIS-AMBOINENSIS-FROM-AMBON-ISL/373319889037?hash=item56eb99708d:g:z-MAAOSwtMVfpA9C,https://i.ebayimg.com/thumbs/images/g/z-MAAOSwtMVfpA9C/s-l225.jpg,$3.00,Nov-15 09:52,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1
item48d677f7de,COLLECTION PAIR unmounted butterfly Nymphalidae cethosia biblis CHINA,https://www.ebay.com/itm/COLLECTION-PAIR-unmounted-butterfly-Nymphalidae-cethosia-biblis-CHINA/312835831774?hash=item48d677f7de:g:c~gAAOSwjDJdxAPO,https://i.ebayimg.com/thumbs/images/g/c~gAAOSwjDJdxAPO/s-l225.jpg,$5.85,Nov-15 02:40,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1
item548df31ff6,CETHOSIA BIBLIS AMBOINENSIS FROM CERAM ISL,https://www.ebay.com/itm/CETHOSIA-BIBLIS-AMBOINENSIS-FROM-CERAM-ISL/363158773750?hash=item548df31ff6:g:5RIAAOSw0Z1fmrSc,https://i.ebayimg.com/thumbs/images/g/5RIAAOSw0Z1fmrSc/s-l225.jpg,$2.25,Nov-08 09:37,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1
item548e293826,CETHOSIA BIBLIS PICTA FROM SULAWESI,https://www.ebay.com/itm/CETHOSIA-BIBLIS-PICTA-FROM-SULAWESI/363162318886?hash=item548e293826:g:wjUAAOSwJBdfnsSW,https://i.ebayimg.com/thumbs/images/g/wjUAAOSwJBdfnsSW/s-l225.jpg,$2.25,Nov-08 09:28,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1
item523fcee12f,J021 EL : AU : Butterflies: Cethosia biblis insularis male 39.5mm,https://www.ebay.com/itm/J021-EL-AU-Butterflies-Cethosia-biblis-insularis-male-39-5mm/353257840943?hash=item523fcee12f:g:wqEAAOSwIK5fnT~K,https://i.ebayimg.com/thumbs/images/g/wqEAAOSwIK5fnT~K/s-l225.jpg,$6.50,Nov-05 02:58,"Sta. Maria, Bulacan, Philippines",philinsectbugs,https://www.ebay.com/usr/philinsectbugs?_trksid=p2047675.l2559,Auction,4,1
item56e9cf1f7d,CETHOSIA BIBLIS PICTA MALE FROM SULAWESI (pictured in Butterflies of the World),https://www.ebay.com/itm/CETHOSIA-BIBLIS-PICTA-MALE-FROM-SULAWESI-pictured-in-Butterflies-of-the-World/373289852797?hash=item56e9cf1f7d:g:PCQAAOSw4iFfkU2d,https://i.ebayimg.com/thumbs/images/g/PCQAAOSw4iFfkU2d/s-l225.jpg,$15.00,Nov-01 09:09,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,17,1
item56e9cf1243,CETHOSIA BIBLIS AMBOINENSIS FROM CERAM ISL,https://www.ebay.com/itm/CETHOSIA-BIBLIS-AMBOINENSIS-FROM-CERAM-ISL/373289849411?hash=item56e9cf1243:g:-LUAAOSwJRJfkU0t,https://i.ebayimg.com/thumbs/images/g/-LUAAOSwJRJfkU0t/s-l225.jpg,$3.25,Nov-01 09:08,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1
item4d844e1bdb,Cethosia biblis A1 Papered Specimen Ex Philippines,https://www.ebay.com/itm/Cethosia-biblis-A1-Papered-Specimen-Ex-Philippines/332932193243?hash=item4d844e1bdb:g:QwcAAOSwDL5dvIxO,https://i.ebayimg.com/thumbs/images/g/QwcAAOSwDL5dvIxO/s-l225.jpg,$1.60,Oct-23 14:45,"Burgess Hill , United Kingdom",the_entomologist,https://www.ebay.com/usr/the_entomologist?_trksid=p2047675.l2559,Instant,0,48
item42227a529a,COLLECTION 4 PAIRS unmounted butterfly Nymphalidae cethosia biblis CHINA #2,https://www.ebay.com/itm/COLLECTION-4-PAIRS-unmounted-butterfly-Nymphalidae-cethosia-biblis-CHINA-2/284046283418?hash=item42227a529a:g:a40AAOSwGY5fgFIw,https://i.ebayimg.com/thumbs/images/g/a40AAOSwGY5fgFIw/s-l225.jpg,$9.90,Oct-20 06:15,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1
item46b684d86f,Real Insect/Butterfly/Moth Set/Spread B6568 Cethosia biblis perakanas,https://www.ebay.com/itm/Real-Insect-Butterfly-Moth-Set-Spread-B6568-Cethosia-biblis-perakanas/303709870191?hash=item46b684d86f:g:ecQAAOSwYKZfdCUq,https://i.ebayimg.com/thumbs/images/g/ecQAAOSwYKZfdCUq/s-l225.jpg,$6.52,Oct-19 18:35,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item2d03954245,Cethosia Biblis Butterfly Taxidermy REAL Insect (Unmounted),https://www.ebay.com/itm/Cethosia-Biblis-Butterfly-Taxidermy-REAL-Insect-Unmounted/193333641797?hash=item2d03954245:g:K8MAAOSwZedeO3If,https://i.ebayimg.com/thumbs/images/g/K8MAAOSwZedeO3If/s-l225.jpg,$3.00,Oct-18 13:15,"Sainte-Brigitte-de-Laval, Quebec, Canada",taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,1
item46b684dbf0,Real Insect/Butterfly/Moth Set/Spread B6569 Cethosia biblis perakanas,https://www.ebay.com/itm/Real-Insect-Butterfly-Moth-Set-Spread-B6569-Cethosia-biblis-perakanas/303709871088?hash=item46b684dbf0:g:1FcAAOSwdJlfdCYf,https://i.ebayimg.com/thumbs/images/g/1FcAAOSwdJlfdCYf/s-l225.jpg,$7.26,Oct-18 03:53,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item46b684e58a,Real Insect/Butterfly/Moth Set/Spread B6571 Cethosia biblis insularis,https://www.ebay.com/itm/Real-Insect-Butterfly-Moth-Set-Spread-B6571-Cethosia-biblis-insularis/303709873546?hash=item46b684e58a:g:6YwAAOSwejpfdCc~,https://i.ebayimg.com/thumbs/images/g/6YwAAOSwejpfdCc~/s-l225.jpg,$6.52,Oct-16 03:49,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item4222166672,COLLECTION 4 PAIRS unmounted butterfly Nymphalidae cethosia biblis CHINA #1,https://www.ebay.com/itm/COLLECTION-4-PAIRS-unmounted-butterfly-Nymphalidae-cethosia-biblis-CHINA-1/284039734898?hash=item4222166672:g:yJsAAOSwMD5dxAOi,https://i.ebayimg.com/thumbs/images/g/yJsAAOSwMD5dxAOi/s-l225.jpg,$9.90,Oct-14 06:24,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1
item422216b16a,COLLECTION PAIR unmounted butterfly Nymphalidae cethosia biblis CHINA #3,https://www.ebay.com/itm/COLLECTION-PAIR-unmounted-butterfly-Nymphalidae-cethosia-biblis-CHINA-3/284039754090?hash=item422216b16a:g:LtoAAOSwcKZfgFaI,https://i.ebayimg.com/thumbs/images/g/LtoAAOSwcKZfgFaI/s-l225.jpg,$1.99,Oct-14 06:24,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1
item3432537224,UNMOUNTED BUTTERFLIES CETHOSIA BIBLIS 1 pc.Luzon,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLIES-CETHOSIA-BIBLIS-1-pc-Luzon/224182628900?hash=item3432537224:g:frUAAOSwr-hfQ1rM,https://i.ebayimg.com/thumbs/images/g/frUAAOSwr-hfQ1rM/s-l225.jpg,$0.99,Oct-10 19:58,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1
item28955a667a,Real Framed Cethosia Biblis Picta Bared Lacewing Butterfly 8132,https://www.ebay.com/itm/Real-Framed-Cethosia-Biblis-Picta-Bared-Lacewing-Butterfly-8132/174304421498?hash=item28955a667a:g:IDoAAOSwiLdWACwX,https://i.ebayimg.com/thumbs/images/g/IDoAAOSwiLdWACwX/s-l225.jpg,$39.99,Sep-29 09:59,"Visalia, California, United States",realbutterflygifts,https://www.ebay.com/usr/realbutterflygifts?_trksid=p2047675.l2559,Instant,0,1
item3d5bd3ac07,Lot of 2 Red Lacewing Butterfly Cethosia biblis perakana Folded FAST FROM US,https://www.ebay.com/itm/Lot-of-2-Red-Lacewing-Butterfly-Cethosia-biblis-perakana-Folded-FAST-FROM-US/263533603847?hash=item3d5bd3ac07:g:fAAAAOSwUWZanYEu,https://i.ebayimg.com/thumbs/images/g/fAAAAOSwUWZanYEu/s-l225.jpg,$4.49,Sep-16 12:32,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,1
