id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item3daadec941,Lot of 10 Western Blue Charaxes Butterfly Charaxes smaragdalis Male Folded USA,https://www.ebay.com/itm/Lot-of-10-Western-Blue-Charaxes-Butterfly-Charaxes-smaragdalis-Male-Folded-USA/264859732289?hash=item3daadec941:g:69YAAOSw0LldzsVy,https://i.ebayimg.com/thumbs/images/g/69YAAOSw0LldzsVy/s-l225.jpg,$51.99,Nov-30 19:31,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,1
item56ed7ee874,"CHARAXES SMARAGDALIS MALE FROM MAKA, R.C.A",https://www.ebay.com/itm/CHARAXES-SMARAGDALIS-MALE-FROM-MAKA-R-C-A/373351704692?hash=item56ed7ee874:g:xHAAAOSw7Ahftnn0,https://i.ebayimg.com/thumbs/images/g/xHAAAOSw7Ahftnn0/s-l225.jpg,$1.52,Nov-29 09:39,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1
item3b4a798aba,Western Blue Charaxes Butterfly Charaxes smaragdalis Male Folded FAST FROM USA,https://www.ebay.com/itm/Western-Blue-Charaxes-Butterfly-Charaxes-smaragdalis-Male-Folded-FAST-FROM-USA/254652549818?hash=item3b4a798aba:g:69YAAOSw0LldzsVy,https://i.ebayimg.com/thumbs/images/g/69YAAOSw0LldzsVy/s-l225.jpg,$5.66,Nov-28 22:33,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,14
item56edc61277,"CHARAXES SMARAGDALIS FROM MAKA, R.C.A.",https://www.ebay.com/itm/CHARAXES-SMARAGDALIS-FROM-MAKA-R-C-A/373356368503?hash=item56edc61277:g:qs8AAOSwmx9fuRx3,https://i.ebayimg.com/thumbs/images/g/qs8AAOSwmx9fuRx3/s-l225.jpg,$6.30,Nov-28 11:32,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1
item3436169b74,UNMOUNTED BUTTERFLY CHARAXES SMARAGDALIS 1 PC.,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLY-CHARAXES-SMARAGDALIS-1-PC/224245750644?hash=item3436169b74:g:dF8AAOSwBj9fuyfC,https://i.ebayimg.com/thumbs/images/g/dF8AAOSwBj9fuyfC/s-l225.jpg,$3.99,Nov-27 19:09,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1
item592cca9190,ONE REAL BUTTERFLY BLUE CHARAXES SMARAGDALIS RCA AFRICA,https://www.ebay.com/itm/ONE-REAL-BUTTERFLY-BLUE-CHARAXES-SMARAGDALIS-RCA-AFRICA/383003562384?hash=item592cca9190:g:e6MAAOSwPqRdAZcL,https://i.ebayimg.com/thumbs/images/g/e6MAAOSwPqRdAZcL/s-l225.jpg,$8.00,Nov-25 21:24,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,1
item4db741a56f,Butterfly - 1 x mounted female Charaxes smaragdalis smaragdalis (A-),https://www.ebay.com/itm/Butterfly-1-x-mounted-female-Charaxes-smaragdalis-smaragdalis-A/333787014511?hash=item4db741a56f:g:7pgAAOSwVIZfrY2F,https://i.ebayimg.com/thumbs/images/g/7pgAAOSwVIZfrY2F/s-l225.jpg,$8.68,Nov-22 11:43,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,1,1
item4db741a08a,Butterfly - 1 x mounted male Charaxes smaragdalis smaragdalis (Good A1-),https://www.ebay.com/itm/Butterfly-1-x-mounted-male-Charaxes-smaragdalis-smaragdalis-Good-A1/333787013258?hash=item4db741a08a:g:zrQAAOSwNWhfrY1O,https://i.ebayimg.com/thumbs/images/g/zrQAAOSwNWhfrY1O/s-l225.jpg,$13.35,Nov-22 11:41,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,6,1
item4b86634433,UNMOUNTED BUTTERFLY CHARAXES SMARAGDALIS 1 PC.,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLY-CHARAXES-SMARAGDALIS-1-PC/324377199667?hash=item4b86634433:g:FP0AAOSwkTlfK31O,https://i.ebayimg.com/thumbs/images/g/FP0AAOSwkTlfK31O/s-l225.jpg,$3.99,Nov-21 19:49,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1
item56ecc06a2f,"CHARAXES SMARAGDALIS MALE FROM MAKA, REPUBLIC CENTRAL AFRICA",https://www.ebay.com/itm/CHARAXES-SMARAGDALIS-MALE-FROM-MAKA-REPUBLIC-CENTRAL-AFRICA/373339220527?hash=item56ecc06a2f:g:GaQAAOSwO8VfsA4X,https://i.ebayimg.com/thumbs/images/g/GaQAAOSwO8VfsA4X/s-l225.jpg,$5.65,Nov-21 11:03,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1
