id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item3436187eb9,"Real Blue Bottle Butterfly, Graphium Sarpedon, Insect Taxidermy",https://www.ebay.com/itm/Real-Blue-Bottle-Butterfly-Graphium-Sarpedon-Insect-Taxidermy/224245874361?hash=item3436187eb9:g:lHQAAOSwtkNfp4fK,https://i.ebayimg.com/thumbs/images/g/lHQAAOSwtkNfp4fK/s-l225.jpg,$22.03,Nov-30 21:44,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1
item42169553c7,green unmounted butterfly Graphium sarpedon  materials artwork CHINA A1,https://www.ebay.com/itm/green-unmounted-butterfly-Graphium-sarpedon-materials-artwork-CHINA-A1/283846726599?hash=item42169553c7:g:pBwAAMXQR4FRmZsj,https://i.ebayimg.com/thumbs/images/g/pBwAAMXQR4FRmZsj/s-l225.jpg,$1.29,Nov-23 12:55,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1
item3daf64674f,PAPILIONIDAE Graphium sarpedon luctatius MALE Malaysia pap0046,https://www.ebay.com/itm/PAPILIONIDAE-Graphium-sarpedon-luctatius-MALE-Malaysia-pap0046/264935597903?hash=item3daf64674f:g:x0QAAOSwcU5frSGu,https://i.ebayimg.com/thumbs/images/g/x0QAAOSwcU5frSGu/s-l225.jpg,$1.50,Nov-22 08:53,"Moscow, Russian Federation",dirktt50,https://www.ebay.com/usr/dirktt50?_trksid=p2047675.l2559,Auction,1,1
item3daf642a9d,PAPILIONIDAE Graphium sarpedon connectens MALE Taiwan pap0040,https://www.ebay.com/itm/PAPILIONIDAE-Graphium-sarpedon-connectens-MALE-Taiwan-pap0040/264935582365?hash=item3daf642a9d:g:HOEAAOSwzJFfrR~~,https://i.ebayimg.com/thumbs/images/g/HOEAAOSwzJFfrR~~/s-l225.jpg,$3.50,Nov-22 08:35,"Moscow, Russian Federation",dirktt50,https://www.ebay.com/usr/dirktt50?_trksid=p2047675.l2559,Auction,1,1
item343564f942,"Real Blue Bottle Butterfly, Graphium Sarpedon, Insect Taxidermy",https://www.ebay.com/itm/Real-Blue-Bottle-Butterfly-Graphium-Sarpedon-Insect-Taxidermy/224234109250?hash=item343564f942:g:lHQAAOSwtkNfp4fK,https://i.ebayimg.com/thumbs/images/g/lHQAAOSwtkNfp4fK/s-l225.jpg,$22.03,Nov-22 05:23,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1
item3434edaf64,"Real Blue Bottle Butterfly, Graphium Sarpedon, Insect Taxidermy",https://www.ebay.com/itm/Real-Blue-Bottle-Butterfly-Graphium-Sarpedon-Insect-Taxidermy/224226291556?hash=item3434edaf64:g:8SkAAOSwuE9fp4iA,https://i.ebayimg.com/thumbs/images/g/8SkAAOSwuE9fp4iA/s-l225.jpg,$22.03,Nov-15 03:22,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1
item5db998174d,007 Pa : Butterflies: Graphium sarpedon sarpedon 47.5mm,https://www.ebay.com/itm/007-Pa-Butterflies-Graphium-sarpedon-sarpedon-47-5mm/402545710925?hash=item5db998174d:g:VXwAAOSwvBVfqmEl,https://i.ebayimg.com/thumbs/images/g/VXwAAOSwvBVfqmEl/s-l225.jpg,$0.99,Nov-15 01:49,"Sta. Maria, Bulacan, Philippines",philinsectbugs,https://www.ebay.com/usr/philinsectbugs?_trksid=p2047675.l2559,Auction,1,1
item56eb722237,"GRAPHIUM SARPEDON LUCTATIUS FROM SABAH, NORTH BORNEO",https://www.ebay.com/itm/GRAPHIUM-SARPEDON-LUCTATIUS-FROM-SABAH-NORTH-BORNEO/373317313079?hash=item56eb722237:g:8CsAAOSw~Jhfop1N,https://i.ebayimg.com/thumbs/images/g/8CsAAOSw~Jhfop1N/s-l225.jpg,$1.25,Nov-14 10:57,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1
item46b97635ca,Real Butterfly/Insect/Moth Non Set B6473 Graphium sarpedon (blue triangle),https://www.ebay.com/itm/Real-Butterfly-Insect-Moth-Non-Set-B6473-Graphium-sarpedon-blue-triangle/303759242698?hash=item46b97635ca:g:jr0AAOSwYSRfQIu4,https://i.ebayimg.com/thumbs/images/g/jr0AAOSwYSRfQIu4/s-l225.jpg,$3.27,Nov-13 19:42,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item3434eda9ef,"Real Blue Bottle Butterfly, Graphium Sarpedon, Insect Taxidermy",https://www.ebay.com/itm/Real-Blue-Bottle-Butterfly-Graphium-Sarpedon-Insect-Taxidermy/224226290159?hash=item3434eda9ef:g:lHQAAOSwtkNfp4fK,https://i.ebayimg.com/thumbs/images/g/lHQAAOSwtkNfp4fK/s-l225.jpg,$22.03,Nov-12 22:14,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1
