id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item2d1ab6c92e,Lycaena tityrus - Sooty Copper - pair,https://www.ebay.com/itm/Lycaena-tityrus-Sooty-Copper-pair/193721714990?hash=item2d1ab6c92e:g:XiUAAOSw2gBfk1Op,https://i.ebayimg.com/thumbs/images/g/XiUAAOSw2gBfk1Op/s-l225.jpg,$10.01,Nov-01 10:07,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,5,1
item3ad7508517,"Unmounted Butterfly/Lycaenidae - Lycaena tityrus tityrus, FEMALE, Rep. Armenia",https://www.ebay.com/itm/Unmounted-Butterfly-Lycaenidae-Lycaena-tityrus-tityrus-FEMALE-Rep-Armenia/252720481559?hash=item3ad7508517:g:xDsAAOSwpDdU3RMc,https://i.ebayimg.com/thumbs/images/g/xDsAAOSwpDdU3RMc/s-l225.jpg,$5.86,Oct-31 05:16,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,1
item3d3052a256,"Unmounted Butterfly/Lycaenidae - Lycaena tityrus tityrus, male, Rep. Armenia",https://www.ebay.com/itm/Unmounted-Butterfly-Lycaenidae-Lycaena-tityrus-tityrus-male-Rep-Armenia/262803726934?hash=item3d3052a256:g:8eUAAOSwBLlU3RJ0,https://i.ebayimg.com/thumbs/images/g/8eUAAOSwBLlU3RJ0/s-l225.jpg,$2.93,Oct-31 05:16,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,1
item46a6869b4a,"LYCAENA tityrus dorilis *** PAIR *** Italy, verceli",https://www.ebay.com/itm/LYCAENA-TITYRUS-DORILIS-PAIR-ITALY-Verceli/303441550154?hash=item46a6869b4a:g:2TsAAOSwEtBcv294,https://i.ebayimg.com/thumbs/images/g/2TsAAOSwEtBcv294/s-l225.jpg,$23.80,Oct-24 05:31,"Miami Playa, Spain",homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,1
item26490148a7,"Lycaenidae Lycaena tityrus pair, mounted",https://www.ebay.com/itm/Lycaenidae-Lycaena-tityrus-pair-mounted/164433578151?hash=item26490148a7:g:fOYAAOSwx5pfgFQJ,https://i.ebayimg.com/thumbs/images/g/fOYAAOSwx5pfgFQJ/s-l225.jpg,$17.58,Oct-19 11:08,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,6,1
item595955d49f,"Lycaenidae LYCAENA tityrus SSP, female from Iran",https://www.ebay.com/itm/LYCAENIDAE-LYCAENA-TITYRUS-SSP-FEMALE-from-IRAN/383750886559?hash=item595955d49f:g:i-IAAOSwZDlfee3E,https://i.ebayimg.com/thumbs/images/g/i-IAAOSwZDlfee3E/s-l225.jpg,$6.58,Oct-11 08:44,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,5,1
item56e7ad22f0,"Lycaenidae LYCAENA tityrus SSP, times from Iran",https://www.ebay.com/itm/LYCAENIDAE-LYCAENA-TITYRUS-SSP-MALE-from-IRAN/373254071024?hash=item56e7ad22f0:g:dNcAAOSwbe1fee2y,https://i.ebayimg.com/thumbs/images/g/dNcAAOSwbe1fee2y/s-l225.jpg,$4.19,Oct-11 08:43,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,4,1
item56e7ad21ff,"Lycaenidae LYCAENA tityrus subalpinus, female from Italy",https://www.ebay.com/itm/LYCAENIDAE-LYCAENA-TITYRUS-SUBALPINUS-FEMALE-from-ITALY/373254070783?hash=item56e7ad21ff:g:8R4AAOSwZ9Vfee2e,https://i.ebayimg.com/thumbs/images/g/8R4AAOSwZ9Vfee2e/s-l225.jpg,$5.38,Oct-11 08:43,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,5,1
item56e7ad2172,"Lycaenidae LYCAENA tityrus subalpinus, times from Italy",https://www.ebay.com/itm/LYCAENIDAE-LYCAENA-TITYRUS-SUBALPINUS-MALE-from-ITALY/373254070642?hash=item56e7ad2172:g:UnEAAOSwS2xfee2K,https://i.ebayimg.com/thumbs/images/g/UnEAAOSwS2xfee2K/s-l225.jpg,$5.38,Oct-11 08:43,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,5,1
item2d181d537d,"Lycaena tityrus - Sooty Copper - pair, revers",https://www.ebay.com/itm/Lycaena-tityrus-Sooty-Copper-pair-revers/193678103421?hash=item2d181d537d:g:fcwAAOSw9bRfakIt,https://i.ebayimg.com/thumbs/images/g/fcwAAOSw9bRfakIt/s-l225.jpg,$7.61,Oct-04 10:36,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,6,1
