id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item41fda3e5b2,Papilio lorquinianus RARE A1 Unmounted specimen - West Papua,https://www.ebay.com/itm/Papilio-lorquinianus-RARE-A1-Unmounted-specimen-West-Papua/283428251058?hash=item41fda3e5b2:g:R1gAAOSwf69cbB1W,https://i.ebayimg.com/thumbs/images/g/R1gAAOSwf69cbB1W/s-l225.jpg,$10.95,Nov-29 19:19,"Commack, New York, United States",limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,1
item23e496e852,Unmounted - Papilio lorquinianus - Very beautiful - Indonesia - ships from USA,https://www.ebay.com/itm/Unmounted-Papilio-lorquinianus-Very-beautiful-Indonesia-ships-from-USA/154158950482?hash=item23e496e852:g:bbgAAOSwVH1flHuK,https://i.ebayimg.com/thumbs/images/g/bbgAAOSwVH1flHuK/s-l225.jpg,$10.00,Nov-29 00:04,"Twin Falls, Idaho, United States",brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,1
item264aa6df0a,"BEST PRICE PAPILIO LORQUINIANUS GELIA  3m, BACHAN, INDONESIA, UNMOUNTED",https://www.ebay.com/itm/BEST-PRICE-PAPILIO-LORQUINIANUS-GELIA-3m-BACHAN-INDONESIA-UNMOUNTED/164461207306?hash=item264aa6df0a:g:sJsAAOSwgXFdM~AB,https://i.ebayimg.com/thumbs/images/g/sJsAAOSwgXFdM~AB/s-l225.jpg,$27.50,Nov-28 10:52,"Jakarta, Indonesia",indoinsects,https://www.ebay.com/usr/indoinsects?_trksid=p2047675.l2559,Instant,0,1
item3407485726,REAL FRAMED BUTTERFLY BLUE GREEN PAPILIO LORQUINIANUS PAPUA NEW GUINEA,https://www.ebay.com/itm/REAL-FRAMED-BUTTERFLY-BLUE-GREEN-PAPILIO-LORQUINIANUS-PAPUA-NEW-GUINEA/223460480806?hash=item3407485726:g:kLQAAOSwCA5cb2hU,https://i.ebayimg.com/thumbs/images/g/kLQAAOSwCA5cb2hU/s-l225.jpg,$34.00,Nov-24 21:47,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,13
item1f19d47a7f,+ Entomology Butterfly: Papilio LORQUINIANUS gelia ♂ Bachan ISL +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-PAPILIO-LORQUINIANUS-GELIA-BACHAN-ISL/133577341567?hash=item1f19d47a7f:g:XMsAAOSwTcdfsXI0,https://i.ebayimg.com/thumbs/images/g/XMsAAOSwTcdfsXI0/s-l225.jpg,$16.24,Nov-22 10:23,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,7,1
item56eb9ae2f1,PAPILIO LORQUINIANUS LORQUINIANUS FEMALE FROM HALMAHERA ISL,https://www.ebay.com/itm/PAPILIO-LORQUINIANUS-LORQUINIANUS-FEMALE-FROM-HALMAHERA-ISL/373319983857?hash=item56eb9ae2f1:g:O7EAAOSwa8JfpCFE,https://i.ebayimg.com/thumbs/images/g/O7EAAOSwa8JfpCFE/s-l225.jpg,$11.50,Nov-15 10:41,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,14,1
item56eb9ae1a1,PAPILIO LORQUINIANUS LORQUINIANUS MALE FROM HALMAHERA ISL,https://www.ebay.com/itm/PAPILIO-LORQUINIANUS-LORQUINIANUS-MALE-FROM-HALMAHERA-ISL/373319983521?hash=item56eb9ae1a1:g:AJoAAOSwdpRfpCEj,https://i.ebayimg.com/thumbs/images/g/AJoAAOSwdpRfpCEj/s-l225.jpg,$7.50,Nov-15 10:40,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1
item56eb9adf86,PAPILIO LORQUINIANUS GELIA MALE FROM BACAN ISL,https://www.ebay.com/itm/PAPILIO-LORQUINIANUS-GELIA-MALE-FROM-BACAN-ISL/373319982982?hash=item56eb9adf86:g:L98AAOSwPZhfpCD6,https://i.ebayimg.com/thumbs/images/g/L98AAOSwPZhfpCD6/s-l225.jpg,$6.76,Nov-15 10:39,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1
item56eb9ade7a,PAPILIO LORQUINIANUS ESMAE MALE FROM MOROTAI ISL,https://www.ebay.com/itm/PAPILIO-LORQUINIANUS-ESMAE-MALE-FROM-MOROTAI-ISL/373319982714?hash=item56eb9ade7a:g:L1sAAOSwbCRfpCDY,https://i.ebayimg.com/thumbs/images/g/L1sAAOSwbCRfpCDY/s-l225.jpg,$9.00,Nov-15 10:38,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1
item41ff04cdd3,"Papilio lorquinianus - Rare & Dazzling - Mounted Specimen, ARFAK Mts.",https://www.ebay.com/itm/Papilio-lorquinianus-Rare-Dazzling-Mounted-Specimen-ARFAK-Mts/283451379155?hash=item41ff04cdd3:g:AxUAAOSwiq9bWL0c,https://i.ebayimg.com/thumbs/images/g/AxUAAOSwiq9bWL0c/s-l225.jpg,$27.95,Nov-13 14:49,"Commack, New York, United States",limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,1
