id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item2ed544b3d8,Papilio maackii Real Butterfly in wood Shadowbox Mount- natural,https://www.ebay.com/itm/Papilio-maackii-Real-Butterfly-in-wood-Shadowbox-Mount-natural/201146545112?hash=item2ed544b3d8:g:mngAAOSwbqpT5TO2,https://i.ebayimg.com/thumbs/images/g/mngAAOSwbqpT5TO2/s-l225.jpg,$29.95,Nov-30 22:03,"Saint James, Missouri, United States",ladybugstrategiesllc,https://www.ebay.com/usr/ladybugstrategiesllc?_trksid=p2047675.l2559,Instant,0,1
item3b458f8283,Lot of 10 Alpine Black Swallowtail Papilio maackii maackii Male Spring Folded US,https://www.ebay.com/itm/Lot-of-10-Alpine-Black-Swallowtail-Papilio-maackii-maackii-Male-Spring-Folded-US/254570103427?hash=item3b458f8283:g:JgsAAOSwu4BV6gEP,https://i.ebayimg.com/thumbs/images/g/JgsAAOSwu4BV6gEP/s-l225.jpg,$57.99,Nov-30 19:31,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,1
item593f155224,Real Butterfly Wing Pendent 40x30mm Alpine Black Swallow Tail Papilio Maackii,https://www.ebay.com/itm/Real-Butterfly-Wing-Pendent-40x30mm-Alpine-Black-Swallow-Tail-Papilio-Maackii/383310451236?hash=item593f155224:g:t3QAAOSwAxpd7w5L,https://i.ebayimg.com/thumbs/images/g/t3QAAOSwAxpd7w5L/s-l225.jpg,$22.07,Nov-30 18:26,"Stanmore, NSW, Australia",yiqi78,https://www.ebay.com/usr/yiqi78?_trksid=p2047675.l2559,Instant,0,1
item593f157f3b,Real Butterfly Wing Pendent 25mm Alpine Black Swallow Tail Papilio Maackii,https://www.ebay.com/itm/Real-Butterfly-Wing-Pendent-25mm-Alpine-Black-Swallow-Tail-Papilio-Maackii/383310462779?hash=item593f157f3b:g:phsAAOSw2xZd7xSR,https://i.ebayimg.com/thumbs/images/g/phsAAOSw2xZd7xSR/s-l225.jpg,$22.07,Nov-30 18:26,"Stanmore, NSW, Australia",yiqi78,https://www.ebay.com/usr/yiqi78?_trksid=p2047675.l2559,Instant,0,1
item48f09424f8,5 PCS unmounted butterfly papilionidae Papilio maackii SUMMER FORM   A1-,https://www.ebay.com/itm/5-PCS-unmounted-butterfly-papilionidae-Papilio-maackii-SUMMER-FORM-A1/313273885944?hash=item48f09424f8:g:xAcAAMXQhpdRo1Ri,https://i.ebayimg.com/thumbs/images/g/xAcAAMXQhpdRo1Ri/s-l225.jpg,$9.90,Nov-30 06:53,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1
item3db04db62b,44265p Papilionidae Papilio maackii,https://www.ebay.com/itm/44265p-Papilionidae-Papilio-maackii/264950887979?hash=item3db04db62b:g:JFYAAOSwJVJfvRUR,https://i.ebayimg.com/thumbs/images/g/JFYAAOSwJVJfvRUR/s-l225.jpg,$7.00,Nov-29 06:13,"Krasnoyarsk city, Russian Federation",fareastinsects,https://www.ebay.com/usr/fareastinsects?_trksid=p2047675.l2559,Auction,1,1
item3db04db569,44263p Papilionidae Papilio maackii f,https://www.ebay.com/itm/44263p-Papilionidae-Papilio-maackii-f/264950887785?hash=item3db04db569:g:xoIAAOSw5J1fvRUD,https://i.ebayimg.com/thumbs/images/g/xoIAAOSw5J1fvRUD/s-l225.jpg,$12.00,Nov-29 06:13,"Krasnoyarsk city, Russian Federation",fareastinsects,https://www.ebay.com/usr/fareastinsects?_trksid=p2047675.l2559,Auction,1,1
item3ab191dd06,Alpine Black Swallowtail Butterfly Papilio maackii maackii Male Spring Folded,https://www.ebay.com/itm/Alpine-Black-Swallowtail-Butterfly-Papilio-maackii-maackii-Male-Spring-Folded/252087229702?hash=item3ab191dd06:g:JgsAAOSwu4BV6gEP,https://i.ebayimg.com/thumbs/images/g/JgsAAOSwu4BV6gEP/s-l225.jpg,$6.74,Nov-28 16:56,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,1
item5dbb508734,"Papilio maackii ssp., female, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-female-A1-ex-pupa-Russia/402574575412?hash=item5dbb508734:g:TmUAAOSw7P9fu4MI,https://i.ebayimg.com/thumbs/images/g/TmUAAOSw7P9fu4MI/s-l225.jpg,$89.88,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,4,1
item5dbb50997b,"Papilio maackii ssp., female, A1, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-female-A1-Russia/402574580091?hash=item5dbb50997b:g:1d8AAOSwRtlfu4PK,https://i.ebayimg.com/thumbs/images/g/1d8AAOSwRtlfu4PK/s-l225.jpg,$9.99,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,1,1
item5dbb506243,"Papilio maackii ssp., male, A1, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-male-A1-Russia/402574565955?hash=item5dbb506243:g:ZRoAAOSw-IRfu4Gn,https://i.ebayimg.com/thumbs/images/g/ZRoAAOSw-IRfu4Gn/s-l225.jpg,$19.38,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,2,1
item5dbb509c72,"Papilio maackii ssp., female, A1, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-female-A1-Russia/402574580850?hash=item5dbb509c72:g:R1oAAOSwKIhfu4UL,https://i.ebayimg.com/thumbs/images/g/R1oAAOSwKIhfu4UL/s-l225.jpg,$9.99,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,1,1
item5dbb50b3bc,"Papilio maackii ssp., female, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-female-A1-ex-pupa-Russia/402574586812?hash=item5dbb50b3bc:g:KN4AAOSwGMtfu4Vc,https://i.ebayimg.com/thumbs/images/g/KN4AAOSwGMtfu4Vc/s-l225.jpg,$24.93,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,3,1
item5dbb503285,"Papilio maackii ssp., male, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-male-A1-ex-pupa-Russia/402574553733?hash=item5dbb503285:g:w6cAAOSwL5xfu4B3,https://i.ebayimg.com/thumbs/images/g/w6cAAOSwL5xfu4B3/s-l225.jpg,$19.38,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,3,1
item5dbb4fd158,"Papilio maackii ssp., female, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-female-A1-ex-pupa-Russia/402574528856?hash=item5dbb4fd158:g:Dt4AAOSwJBdfu31D,https://i.ebayimg.com/thumbs/images/g/Dt4AAOSwJBdfu31D/s-l225.jpg,$80.99,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,5,1
item5dbb5036c9,"Papilio maackii ssp., male, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-male-A1-ex-pupa-Russia/402574554825?hash=item5dbb5036c9:g:3J0AAOSwmGNfu4Dr,https://i.ebayimg.com/thumbs/images/g/3J0AAOSwmGNfu4Dr/s-l225.jpg,$24.93,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,3,1
item5dbb4fe9e1,"Papilio maackii ssp., male, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-male-A1-ex-pupa-Russia/402574535137?hash=item5dbb4fe9e1:g:Li4AAOSwDRdfu3vq,https://i.ebayimg.com/thumbs/images/g/Li4AAOSwDRdfu3vq/s-l225.jpg,$12.93,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,2,1
item5dbb509544,"Papilio maackii ssp., female, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-female-A1-ex-pupa-Russia/402574579012?hash=item5dbb509544:g:YhwAAOSwbVVfu4N4,https://i.ebayimg.com/thumbs/images/g/YhwAAOSwbVVfu4N4/s-l225.jpg,$13.65,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,3,1
item5dbb502e80,"Papilio maackii ssp., male, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-male-A1-ex-pupa-Russia/402574552704?hash=item5dbb502e80:g:IhUAAOSw-gJfu4AI,https://i.ebayimg.com/thumbs/images/g/IhUAAOSw-gJfu4AI/s-l225.jpg,$24.93,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,2,1
item5dbb50b6fe,"Papilio maackii ssp., female, A1-, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-female-A1-ex-pupa-Russia/402574587646?hash=item5dbb50b6fe:g:Y9YAAOSw6qdfu4Wf,https://i.ebayimg.com/thumbs/images/g/Y9YAAOSw6qdfu4Wf/s-l225.jpg,$12.60,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,2,1
item5dbb4fa660,"Papilio maackii ssp., male, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-male-A1-ex-pupa-Russia/402574517856?hash=item5dbb4fa660:g:NBMAAOSwPZhfu3qa,https://i.ebayimg.com/thumbs/images/g/NBMAAOSwPZhfu3qa/s-l225.jpg,$12.93,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,3,1
item5dbb4f685c,"Papilio maackii ssp., male, A1, ex pupa, Russia",https://www.ebay.com/itm/Papilio-maackii-ssp-male-A1-ex-pupa-Russia/402574501980?hash=item5dbb4f685c:g:RogAAOSwCQ1fu3i5,https://i.ebayimg.com/thumbs/images/g/RogAAOSwCQ1fu3i5/s-l225.jpg,$12.93,Nov-28 10:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,3,1
item3da63e98d7,China Green swallowtail butterfly Papilio maackii SET x1 A- *Nice* #j01,https://www.ebay.com/itm/China-Green-swallowtail-butterfly-Papilio-maackii-SET-x1-A-Nice-j01/264782125271?hash=item3da63e98d7:g:vkIAAOSwvKte~NjD,https://i.ebayimg.com/thumbs/images/g/vkIAAOSwvKte~NjD/s-l225.jpg,$15.97,Nov-27 17:25,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,12
