id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item46bb67ffe3,Insect/Butterfly/Moth Spread B6758 Rare East India Blue/Green Papilio paris,https://www.ebay.com/itm/Insect-Butterfly-Moth-Spread-B6758-Rare-East-India-Blue-Green-Papilio-paris/303791865827?hash=item46bb67ffe3:g:~XAAAOSwTxhfxtC5,https://i.ebayimg.com/thumbs/images/g/~XAAAOSwTxhfxtC5/s-l225.jpg,$10.92,Dec-01 17:42,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item446bf74f91,Insect/Butterfly/Moth Spread B6751 Rare East India Blue/Green Papilio paris,https://www.ebay.com/itm/Insect-Butterfly-Moth-Spread-B6751-Rare-East-India-Blue-Green-Papilio-paris/293869146001?hash=item446bf74f91:g:QIYAAOSwknBfxsli,https://i.ebayimg.com/thumbs/images/g/QIYAAOSwknBfxsli/s-l225.jpg,$9.16,Dec-01 17:42,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item548fc4a697,"PAPILIO PARIS GEDEENSIS MALE FROM MT. HALIMUN, JAVA",https://www.ebay.com/itm/PAPILIO-PARIS-GEDEENSIS-MALE-FROM-MT-HALIMUN-JAVA/363189282455?hash=item548fc4a697:g:viIAAOSwB8xfuPvG,https://i.ebayimg.com/thumbs/images/g/viIAAOSwB8xfuPvG/s-l225.jpg,$2.25,Nov-28 11:21,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item48f177d23c,"REAL Tropical Papilio paris, Paris Peacock BUTTERFLY A1 unmounted",https://www.ebay.com/itm/REAL-Tropical-Papilio-paris-Paris-Peacock-BUTTERFLY-A1-unmounted/313288806972?hash=item48f177d23c:g:VTYAAOSwV0Vfk6Wb,https://i.ebayimg.com/thumbs/images/g/VTYAAOSwV0Vfk6Wb/s-l225.jpg,$5.99,Nov-27 03:48,"Estes Park, Colorado, United States",little_caterpillar_butterfly_art,https://www.ebay.com/usr/little_caterpillar_butterfly_art?_trksid=p2047675.l2559,Instant,0,1
item446a719c1c,Butterfly/Insect/Moth Non Set B6631 Rare Blue/Flash Papilio paris gedeensis,https://www.ebay.com/itm/Butterfly-Insect-Moth-Non-Set-B6631-Rare-Blue-Flash-Papilio-paris-gedeensis/293843606556?hash=item446a719c1c:g:tS4AAOSwVH1fne-p,https://i.ebayimg.com/thumbs/images/g/tS4AAOSwVH1fne-p/s-l225.jpg,$5.48,Nov-25 23:50,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item56ec5dae8e,"PAPILIO PARIS GEDEENSIS MALE FROM MT. HALIMUN, JAVA",https://www.ebay.com/itm/PAPILIO-PARIS-GEDEENSIS-MALE-FROM-MT-HALIMUN-JAVA/373332749966?hash=item56ec5dae8e:g:2FQAAOSwOkVfrA17,https://i.ebayimg.com/thumbs/images/g/2FQAAOSwOkVfrA17/s-l225.jpg,$2.51,Nov-21 10:33,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item3402ffb418,COLLECTION unmounted butterfly Papilionidae Papilio paris paris spring form A1,https://www.ebay.com/itm/COLLECTION-unmounted-butterfly-Papilionidae-Papilio-paris-paris-spring-form-A1/223388611608?hash=item3402ffb418:g:QmwAAOSwBkBcGgc7,https://i.ebayimg.com/thumbs/images/g/QmwAAOSwBkBcGgc7/s-l225.jpg,$3.99,Nov-20 13:00,"mainland, China",xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,1
item34064bb7e6,5 PCS unmounted butterfly Papilionidae Papilio paris paris spring form A1 A1-,https://www.ebay.com/itm/5-PCS-unmounted-butterfly-Papilionidae-Papilio-paris-paris-spring-form-A1-A1/223443924966?hash=item34064bb7e6:g:QmwAAOSwBkBcGgc7,https://i.ebayimg.com/thumbs/images/g/QmwAAOSwBkBcGgc7/s-l225.jpg,$15.99,Nov-20 13:00,"mainland, China",xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,1
item46b896fa4b,Butterfly/Insect/Moth Non Set B6631 Rare Blue/Flash Papilio paris gedeensis,https://www.ebay.com/itm/Butterfly-Insect-Moth-Non-Set-B6631-Rare-Blue-Flash-Papilio-paris-gedeensis/303744612939?hash=item46b896fa4b:g:tS4AAOSwVH1fne-p,https://i.ebayimg.com/thumbs/images/g/tS4AAOSwVH1fne-p/s-l225.jpg,$5.04,Nov-19 14:43,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item4d6592045c,Green Real butterfly Taxidermy for sale collectible mounted Papilio paris BAPP,https://www.ebay.com/itm/Green-Real-butterfly-Taxidermy-for-sale-collectible-mounted-Papilio-paris-BAPP/332416549980?hash=item4d6592045c:g:VnYAAOSwzXxZ5wR4,https://i.ebayimg.com/thumbs/images/g/VnYAAOSwzXxZ5wR4/s-l225.jpg,$58.84,Nov-15 16:16,"Robina, Queensland, Australia",bitsandbugs,https://www.ebay.com/usr/bitsandbugs?_trksid=p2047675.l2559,Instant,0,1
item56eb9ae474,"PAPILIO PARIS SSP. FROM MT. LAWU, JAVA",https://www.ebay.com/itm/PAPILIO-PARIS-SSP-FROM-MT-LAWU-JAVA/373319984244?hash=item56eb9ae474:g:LswAAOSwW41fpCFk,https://i.ebayimg.com/thumbs/images/g/LswAAOSwW41fpCFk/s-l225.jpg,$4.00,Nov-15 10:42,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1
item56ebdb64d7,"PAPILIO PARIS GEDEENSIS MALE FROM MT. HALIMUN, JAVA",https://www.ebay.com/itm/PAPILIO-PARIS-GEDEENSIS-MALE-FROM-MT-HALIMUN-JAVA/373324211415?hash=item56ebdb64d7:g:wk8AAOSwpqJfprmY,https://i.ebayimg.com/thumbs/images/g/wk8AAOSwpqJfprmY/s-l225.jpg,$3.25,Nov-14 11:08,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1
item33fd812383,ONE REAL BUTTERFLY BLUE GREEN PAPILIO PARIS PEACOCK UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/ONE-REAL-BUTTERFLY-BLUE-GREEN-PAPILIO-PARIS-PEACOCK-UNMOUNTED-WINGS-CLOSED/223296430979?hash=item33fd812383:g:DJoAAOSwXHpchxCM,https://i.ebayimg.com/thumbs/images/g/DJoAAOSwXHpchxCM/s-l225.jpg,$12.00,Nov-13 19:58,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,1
item4468633dcb,Real Insect/Butterfly Set B6635 Blue/Green/Red Papilio paris gedeensis Rare,https://www.ebay.com/itm/Real-Insect-Butterfly-Set-B6635-Blue-Green-Red-Papilio-paris-gedeensis-Rare/293809110475?hash=item4468633dcb:g:mVEAAOSwMz5fne6X,https://i.ebayimg.com/thumbs/images/g/mVEAAOSwMz5fne6X/s-l225.jpg,$10.19,Nov-09 17:21,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item56eb11e7a3,"PAPILIO PARIS GEDEENSIS MALE FROM MT. HALIMUN, JAVA",https://www.ebay.com/itm/PAPILIO-PARIS-GEDEENSIS-MALE-FROM-MT-HALIMUN-JAVA/373311006627?hash=item56eb11e7a3:g:GDoAAOSwWIlfntdC,https://i.ebayimg.com/thumbs/images/g/GDoAAOSwWIlfntdC/s-l225.jpg,$3.25,Nov-08 11:33,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item548de3fff6,"PAPILIO PARIS GEDEENSIS MALE FROM MT. HALIMUN, JAVA",https://www.ebay.com/itm/PAPILIO-PARIS-GEDEENSIS-MALE-FROM-MT-HALIMUN-JAVA/363157782518?hash=item548de3fff6:g:h4gAAOSw9Q9fmaN2,https://i.ebayimg.com/thumbs/images/g/h4gAAOSw9Q9fmaN2/s-l225.jpg,$2.25,Nov-07 10:08,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item34346ce3ad,"Butterfly. Papilio paris ssp. Guangxi, Baise, Pingguo. 1P. MB7814.",https://www.ebay.com/itm/Butterfly-Papilio-paris-ssp-Guangxi-Baise-Pingguo-1P-MB7814/224217850797?hash=item34346ce3ad:g:MmcAAOSwwSFfnwaz,https://i.ebayimg.com/thumbs/images/g/MmcAAOSwwSFfnwaz/s-l225.jpg,$127.50,Nov-06 11:04,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,11,1
item48efef19a6,"REAL Tropical Papilio paris, Paris Peacock BUTTERFLY A1 unmounted",https://www.ebay.com/itm/REAL-Tropical-Papilio-paris-Paris-Peacock-BUTTERFLY-A1-unmounted/313263069606?hash=item48efef19a6:g:VTYAAOSwV0Vfk6Wb,https://i.ebayimg.com/thumbs/images/g/VTYAAOSwV0Vfk6Wb/s-l225.jpg,$5.99,Nov-04 20:36,"Estes Park, Colorado, United States",little_caterpillar_butterfly_art,https://www.ebay.com/usr/little_caterpillar_butterfly_art?_trksid=p2047675.l2559,Instant,0,1
item23e4ef263c,PA6966. Unmounted butterflies: Papilio paris. North Vietnam,https://www.ebay.com/itm/PA6966-Unmounted-butterflies-Papilio-paris-North-Vietnam/154164733500?hash=item23e4ef263c:g:QFsAAOSw7HlfmRn3,https://i.ebayimg.com/thumbs/images/g/QFsAAOSw7HlfmRn3/s-l225.jpg,$3.50,Nov-03 23:13,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,1,1
item56ea859df6,PA6968. Unmounted butterflies: Papilio paris. North Vietnam,https://www.ebay.com/itm/PA6968-Unmounted-butterflies-Papilio-paris-North-Vietnam/373301812726?hash=item56ea859df6:g:gkEAAOSw5JdfmRkv,https://i.ebayimg.com/thumbs/images/g/gkEAAOSw5JdfmRkv/s-l225.jpg,$3.50,Nov-03 23:10,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,2,1
item264290e5d1,"UNCOMMON PAPILIO WHOLESALE 6 PCS , PAPILIO PARIS , JAVA, INDONESIA. UNMOUNTED",https://www.ebay.com/itm/UNCOMMON-PAPILIO-WHOLESALE-6-PCS-PAPILIO-PARIS-JAVA-INDONESIA-UNMOUNTED/164325549521?hash=item264290e5d1:g:gBAAAOSwoI5dJYl6,https://i.ebayimg.com/thumbs/images/g/gBAAAOSwoI5dJYl6/s-l225.jpg,$15.00,Nov-03 05:39,"Jakarta, Indonesia",indoinsects,https://www.ebay.com/usr/indoinsects?_trksid=p2047675.l2559,Instant,0,1
item23e4d1ca09,PA6917. Unmounted butterflies: Papilio paris. South Vietnam,https://www.ebay.com/itm/PA6917-Unmounted-butterflies-Papilio-paris-South-Vietnam/154162809353?hash=item23e4d1ca09:g:yyYAAOSwylpfl89P,https://i.ebayimg.com/thumbs/images/g/yyYAAOSwylpfl89P/s-l225.jpg,$4.35,Nov-02 23:42,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,3,1
item23e4d1c833,PA6919. Unmounted butterflies: Papilio paris. South Vietnam,https://www.ebay.com/itm/PA6919-Unmounted-butterflies-Papilio-paris-South-Vietnam/154162808883?hash=item23e4d1c833:g:pYgAAOSwl6Rfl88h,https://i.ebayimg.com/thumbs/images/g/pYgAAOSwl6Rfl88h/s-l225.jpg,$3.50,Nov-02 23:41,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,2,1
item56ea666a72,PA6922. Unmounted butterflies: Papilio paris. South Vietnam,https://www.ebay.com/itm/PA6922-Unmounted-butterflies-Papilio-paris-South-Vietnam/373299767922?hash=item56ea666a72:g:KngAAOSwCQ1fl86j,https://i.ebayimg.com/thumbs/images/g/KngAAOSwCQ1fl86j/s-l225.jpg,$3.50,Nov-02 23:39,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,1,1
item23e4d1c086,PA6946. Unmounted butterflies: Papilio paris. South Vietnam,https://www.ebay.com/itm/PA6946-Unmounted-butterflies-Papilio-paris-South-Vietnam/154162806918?hash=item23e4d1c086:g:FdUAAOSwJG5fl85R,https://i.ebayimg.com/thumbs/images/g/FdUAAOSwJG5fl85R/s-l225.jpg,$4.35,Nov-02 23:38,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,3,1
item44686366ae,Real Insect/Butterfly Set B6638 Lge Blue/Green/Red Papilio paris gedeensis Rare,https://www.ebay.com/itm/Real-Insect-Butterfly-Set-B6638-Lge-Blue-Green-Red-Papilio-paris-gedeensis-Rare/293809120942?hash=item44686366ae:g:IQoAAOSwCudfnfJv,https://i.ebayimg.com/thumbs/images/g/IQoAAOSwCudfnfJv/s-l225.jpg,$11.36,Nov-01 20:21,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item4468635a59,Real Insect/Butterfly Set B6637 Blue/Green/Red Papilio paris gedeensis Rare,https://www.ebay.com/itm/Real-Insect-Butterfly-Set-B6637-Blue-Green-Red-Papilio-paris-gedeensis-Rare/293809117785?hash=item4468635a59:g:u3wAAOSwW6hfnfEd,https://i.ebayimg.com/thumbs/images/g/u3wAAOSwW6hfnfEd/s-l225.jpg,$10.92,Nov-01 20:21,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
