id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item48f1e20a78,Papilionidae. 3 x Papilio ulysses telegonus. Halmahera.,https://www.ebay.com/itm/Papilionidae-3-x-Papilio-ulysses-telegonus-Halmahera/313295768184?hash=item48f1e20a78:g:JswAAOSwXE5fq9Vd,https://i.ebayimg.com/thumbs/images/g/JswAAOSwXE5fq9Vd/s-l225.jpg,$25.00,Dec-01 09:58,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,1
item2af61e1240,Blue Mountain Swallowtail Butterfly (Papilio ulysses) Shadow Box Display Frame,https://www.ebay.com/itm/Blue-Mountain-Swallowtail-Butterfly-Papilio-ulysses-Shadow-Box-Display-Frame/184517792320?hash=item2af61e1240:g:YIkAAOSwGgdfpCK-,https://i.ebayimg.com/thumbs/images/g/YIkAAOSwGgdfpCK-/s-l225.jpg,$46.77,Dec-01 00:52,"Bournemouth, United Kingdom",the_butterfly_man,https://www.ebay.com/usr/the_butterfly_man?_trksid=p2047675.l2559,Instant,0,1
item41fda3e5a0,"Papilio ulysses - A Lot of 5 A1 EXTRA LARGE, Unmounted Swallowtails AMBON ISL.",https://www.ebay.com/itm/Papilio-ulysses-A-Lot-of-5-A1-EXTRA-LARGE-Unmounted-Swallowtails-AMBON-ISL/283428251040?hash=item41fda3e5a0:g:rsUAAOSwTQtaTkmF,https://i.ebayimg.com/thumbs/images/g/rsUAAOSwTQtaTkmF/s-l225.jpg,$33.95,Nov-29 19:49,"Commack, New York, United States",limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,1
item3424276e06,"Framed butterfly,  Papilio Ulysses , insect taxidermy",https://www.ebay.com/itm/Framed-butterfly-Papilio-Ulysses-insect-taxidermy/223944863238?hash=item3424276e06:g:72UAAOSwF59eavi6,https://i.ebayimg.com/thumbs/images/g/72UAAOSwF59eavi6/s-l225.jpg,$30.85,Nov-29 17:20,"Kitchener, Ontario, Canada",lukewmr,https://www.ebay.com/usr/lukewmr?_trksid=p2047675.l2559,Instant,0,1
item1f1a47034d,+ Entomology Butterfly: Papilio ULYSSES ULYSSES ♂ Ceram +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-PAPILIO-ULYSSES-ULYSSES-CERAM/133584847693?hash=item1f1a47034d:g:RxsAAOSwUrhfuqxE,https://i.ebayimg.com/thumbs/images/g/RxsAAOSwUrhfuqxE/s-l225.jpg,$12.63,Nov-29 10:22,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,8,1
item3db025f455,Papilio ulysses ulysses 10males wholesale good for artwork big blue butterfly,https://www.ebay.com/itm/Papilio-ulysses-ulysses-10males-wholesale-good-for-artwork-big-blue-butterfly/264948282453?hash=item3db025f455:g:GvwAAOSwxlJfbcHs,https://i.ebayimg.com/thumbs/images/g/GvwAAOSwxlJfbcHs/s-l225.jpg,$50.90,Nov-29 09:43,"Voronezh, Russian Federation",maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Auction,2,1
item1f14c2beb1,Papilio ulysses - Real Butterfly in Handmade Frame. Highest Quality on eBay,https://www.ebay.com/itm/Papilio-ulysses-Real-Butterfly-in-Handmade-Frame-Highest-Quality-on-eBay/133492293297?hash=item1f14c2beb1:g:uagAAOSwzVdfNOzv,https://i.ebayimg.com/thumbs/images/g/uagAAOSwzVdfNOzv/s-l225.jpg,$96.21,Nov-29 09:05,"Monmouth, United Kingdom",juancarlos2nd,https://www.ebay.com/usr/juancarlos2nd?_trksid=p2047675.l2559,Instant,0,1
item1f17df3650,Papilio Ulysses ssp. Ulysses Males,https://www.ebay.com/itm/Papilio-ulysses-ssp-ulysses-Mannchen/133544490576?hash=item1f17df3650:g:Qv0AAOSwJ~NfhC~f,https://i.ebayimg.com/thumbs/images/g/Qv0AAOSwJ~NfhC~f/s-l225.jpg,$19.25,Nov-29 07:55,"Konz, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Instant,0,1
item4d5626571f,Dunk Island Australian Framed real butterfly for sale Papilio ulysses BJPUM,https://www.ebay.com/itm/Dunk-Island-Australian-Framed-real-butterfly-for-sale-Papilio-ulysses-BJPUM/332157835039?hash=item4d5626571f:g:ubkAAOSw~rpZSkCY,https://i.ebayimg.com/thumbs/images/g/ubkAAOSw~rpZSkCY/s-l225.jpg,$69.88,Nov-29 04:23,"Robina, Queensland, Australia",bitsandbugs,https://www.ebay.com/usr/bitsandbugs?_trksid=p2047675.l2559,Instant,0,1
item23e54a46d8,Papilio ulysses male - Indonesia - Unmounted - Ships from USA,https://www.ebay.com/itm/Papilio-ulysses-male-Indonesia-Unmounted-Ships-from-USA/154170705624?hash=item23e54a46d8:g:r9EAAOSwndZdISoM,https://i.ebayimg.com/thumbs/images/g/r9EAAOSwndZdISoM/s-l225.jpg,$10.00,Nov-29 00:04,"Twin Falls, Idaho, United States",brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,1
