id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item23e784d5cf,"PARNASSIUS cephalus ERLAENSIS Male, Qinghai, Dulan",https://www.ebay.com/itm/PARNASSIUS-cephalus-ERLAENSIS-Male-Qinghai-Dulan/154208097743?hash=item23e784d5cf:g:4W0AAOSwfGhftCAx,https://i.ebayimg.com/thumbs/images/g/4W0AAOSwfGhftCAx/s-l225.jpg,$13.50,Nov-29 11:26,"Liptovska Kokava, Slovakia",parnassius26,https://www.ebay.com/usr/parnassius26?_trksid=p2047675.l2559,Auction,1,1
item548fc7374b,"PARNASSIUS CEPHALUS EIERHOFFI MALE FROM QINGHAI, CHINA",https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-EIERHOFFI-MALE-FROM-QINGHAI-CHINA/363189450571?hash=item548fc7374b:g:pJgAAOSwaYVfuSOT,https://i.ebayimg.com/thumbs/images/g/pJgAAOSwaYVfuSOT/s-l225.jpg,$7.50,Nov-28 11:35,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1
item3b520588a5,"Parnassius cephalus takenakai, A-, Male, China, ABERR.f.Nigroocelata",https://www.ebay.com/itm/Parnassius-cephalus-takenakai-A-Male-China-ABERR-f-Nigroocelata/254779164837?hash=item3b520588a5:g:jUUAAOSwkTFfsW-F,https://i.ebayimg.com/thumbs/images/g/jUUAAOSwkTFfsW-F/s-l225.jpg,$14.99,Nov-22 10:14,"Kursk City, Russian Federation",mistericus,https://www.ebay.com/usr/mistericus?_trksid=p2047675.l2559,Auction,1,1
item548ef21863,"PARNASSIUS CEPHALUS EIERHOFFI MALE FROM QINGHAI, CHINA",https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-EIERHOFFI-MALE-FROM-QINGHAI-CHINA/363175483491?hash=item548ef21863:g:cxgAAOSwH9tfrA5P,https://i.ebayimg.com/thumbs/images/g/cxgAAOSwH9tfrA5P/s-l225.jpg,$5.00,Nov-21 10:39,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1
item548ea146db,"PARNASSIUS CEPHALUS EIERHOFFI MALE FROM QINH`GHAI, CHINA",https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-EIERHOFFI-MALE-FROM-QINH-GHAI-CHINA/363170186971?hash=item548ea146db:g:1oUAAOSw5JdfprtQ,https://i.ebayimg.com/thumbs/images/g/1oUAAOSw5JdfprtQ/s-l225.jpg,$13.10,Nov-14 11:16,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1
item4b853339a3,"Parnassius cephalus ssp. Yunnan, Mt.Dongbaxueshan. 1M. PA6181.",https://www.ebay.com/itm/Parnassius-cephalus-ssp-Yunnan-Mt-Dongbaxueshan-1M-PA6181/324357274019?hash=item4b853339a3:g:UjYAAOSwIYlfnziy,https://i.ebayimg.com/thumbs/images/g/UjYAAOSwIYlfnziy/s-l225.jpg,$6.50,Nov-06 14:38,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1
item4b85333750,"Parnassius cephalus paimaensis. Yunnan, Mt.Baimaxueshan. 2M1F. PA6180.",https://www.ebay.com/itm/Parnassius-cephalus-paimaensis-Yunnan-Mt-Baimaxueshan-2M1F-PA6180/324357273424?hash=item4b85333750:g:oPAAAOSwIMJfnzh1,https://i.ebayimg.com/thumbs/images/g/oPAAAOSwIMJfnzh1/s-l225.jpg,$13.99,Nov-06 14:36,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1
item343470ac05,"Parnassius cephalus takenakai. Yunnan, Mt.Yulongxueshan. 1M2F. PA6179.",https://www.ebay.com/itm/Parnassius-cephalus-takenakai-Yunnan-Mt-Yulongxueshan-1M2F-PA6179/224218098693?hash=item343470ac05:g:RaIAAOSwK~Nfnzgq,https://i.ebayimg.com/thumbs/images/g/RaIAAOSwK~Nfnzgq/s-l225.jpg,$15.99,Nov-06 14:35,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1
item343470a9df,"Parnassius cephalus ssp. Yunnan, Mt.Tianbaoxueshan. 1P. PA6178.",https://www.ebay.com/itm/Parnassius-cephalus-ssp-Yunnan-Mt-Tianbaoxueshan-1P-PA6178/224218098143?hash=item343470a9df:g:tOgAAOSwwSpfnzfn,https://i.ebayimg.com/thumbs/images/g/tOgAAOSwwSpfnzfn/s-l225.jpg,$14.50,Nov-06 14:34,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1
item4b85332ff3,"Parnassius cephalus ssp. Yunnan, Mt.Tianbaoxueshan. 1P. PA6177.",https://www.ebay.com/itm/Parnassius-cephalus-ssp-Yunnan-Mt-Tianbaoxueshan-1P-PA6177/324357271539?hash=item4b85332ff3:g:34kAAOSwKU9fnzed,https://i.ebayimg.com/thumbs/images/g/34kAAOSwKU9fnzed/s-l225.jpg,$13.99,Nov-06 14:33,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1
item3434709f71,"Parnassius cephalus ssp. Yunnan, Mt.Tianbaoxueshan. 1M. PA6176.",https://www.ebay.com/itm/Parnassius-cephalus-ssp-Yunnan-Mt-Tianbaoxueshan-1M-PA6176/224218095473?hash=item3434709f71:g:m2gAAOSwQHVfnzdQ,https://i.ebayimg.com/thumbs/images/g/m2gAAOSwQHVfnzdQ/s-l225.jpg,$6.70,Nov-06 14:32,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,3,1
item34347051f9,"Parnassius cephalus danielae. Tibet, Dongdala pass. 2M. PA6158.",https://www.ebay.com/itm/Parnassius-cephalus-danielae-Tibet-Dongdala-pass-2M-PA6158/224218075641?hash=item34347051f9:g:QaMAAOSwXE5fnzKP,https://i.ebayimg.com/thumbs/images/g/QaMAAOSwXE5fnzKP/s-l225.jpg,$7.99,Nov-06 14:11,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1
item3434704931,"Parnassius cephalus micheli. Tibet, Tanggula pass. 1P. PA6155.",https://www.ebay.com/itm/Parnassius-cephalus-micheli-Tibet-Tanggula-pass-1P-PA6155/224218073393?hash=item3434704931:g:LDcAAOSwgutfnzGb,https://i.ebayimg.com/thumbs/images/g/LDcAAOSwgutfnzGb/s-l225.jpg,$14.43,Nov-06 14:07,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,4,1
item4b85327dc1,"Parnassius cephalus erlaensis. Qinghai, Dulan county, Ashizha. 2M1F. PA6131.",https://www.ebay.com/itm/Parnassius-cephalus-erlaensis-Qinghai-Dulan-county-Ashizha-2M1F-PA6131/324357225921?hash=item4b85327dc1:g:WnEAAOSwJuJfnyqM,https://i.ebayimg.com/thumbs/images/g/WnEAAOSwJuJfnyqM/s-l225.jpg,$13.99,Nov-06 13:37,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1
item4b85327ba3,"Parnassius cephalus erlaensis. Qinghai, Dulan county, Ashizha. 2M1F. PA6130.",https://www.ebay.com/itm/Parnassius-cephalus-erlaensis-Qinghai-Dulan-county-Ashizha-2M1F-PA6130/324357225379?hash=item4b85327ba3:g:yTwAAOSw27xfnypO,https://i.ebayimg.com/thumbs/images/g/yTwAAOSw27xfnypO/s-l225.jpg,$13.99,Nov-06 13:36,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1
item34346f9b90,"Parnassius cephalus eierhoffi. Qinghai, Qilian, S of Qilian. 2M1F. PA6113.",https://www.ebay.com/itm/Parnassius-cephalus-eierhoffi-Qinghai-Qilian-S-of-Qilian-2M1F-PA6113/224218028944?hash=item34346f9b90:g:X7IAAOSwbVVfnyWE,https://i.ebayimg.com/thumbs/images/g/X7IAAOSwbVVfnyWE/s-l225.jpg,$11.99,Nov-06 13:16,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1
item34346f98e1,"Parnassius cephalus eierhoffi. Qinghai, Qilian, S of Qilian. 2M. PA6112.",https://www.ebay.com/itm/Parnassius-cephalus-eierhoffi-Qinghai-Qilian-S-of-Qilian-2M-PA6112/224218028257?hash=item34346f98e1:g:GSoAAOSwzJZfnyU-,https://i.ebayimg.com/thumbs/images/g/GSoAAOSwzJZfnyU-/s-l225.jpg,$8.50,Nov-06 13:15,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1
item4b8531efbc,"Parnassius cephalus helmae. Qinghai, Qilian, Reshui pass. 2M1F. PA6101.",https://www.ebay.com/itm/Parnassius-cephalus-helmae-Qinghai-Qilian-Reshui-pass-2M1F-PA6101/324357189564?hash=item4b8531efbc:g:-gMAAOSw0jJfnyIq,https://i.ebayimg.com/thumbs/images/g/-gMAAOSw0jJfnyIq/s-l225.jpg,$11.99,Nov-06 13:02,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,3,1
item4b85318c3c,"Parnassius cephalus cephalus. Qinghai, Xunhua, Mt.Dalijiashan. 1M2F. PA6092.",https://www.ebay.com/itm/Parnassius-cephalus-cephalus-Qinghai-Xunhua-Mt-Dalijiashan-1M2F-PA6092/324357164092?hash=item4b85318c3c:g:3YUAAOSwi9ZfnxxP,https://i.ebayimg.com/thumbs/images/g/3YUAAOSwi9ZfnxxP/s-l225.jpg,$13.40,Nov-06 12:36,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,4,1
