id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item239c62a9f1,"Parnassius mnemosyne subsp. caucasius Verity, 1845 Caucasus 61mm14",https://www.ebay.com/itm/Parnassius-mnemosyne-subsp-caucasius-Verity-1845-Caucasus-61mm14/152947567089?hash=item239c62a9f1:g:kVgAAOSwlrFarAyo,https://i.ebayimg.com/thumbs/images/g/kVgAAOSwlrFarAyo/s-l225.jpg,$19.40,Nov-29 05:45,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
item422560f91d,Couple PARNASSIUS mnemosyne from Macedonia,https://www.ebay.com/itm/Parchen-Parnassius-mnemosyne-aus-Mazedonien/284094953757?hash=item422560f91d:g:-eYAAOSwiLVfv-0f,https://i.ebayimg.com/thumbs/images/g/-eYAAOSwiLVfv-0f/s-l225.jpg,$10.83,Nov-29 03:24,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1
item5dba66eab2,"Parnassius mnemosyne, A1, Ukraine",https://www.ebay.com/itm/Parnassius-mnemosyne-A1-Ukraine/402559265458?hash=item5dba66eab2:g:I6QAAOSw9-9fsrSz,https://i.ebayimg.com/thumbs/images/g/I6QAAOSw9-9fsrSz/s-l225.jpg,$9.50,Nov-28 09:36,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,4,1
item5dba66f083,"Parnassius mnemosyne, A1-, Ukraine",https://www.ebay.com/itm/Parnassius-mnemosyne-A1-Ukraine/402559266947?hash=item5dba66f083:g:TCoAAOSw7ixfsrUh,https://i.ebayimg.com/thumbs/images/g/TCoAAOSw7ixfsrUh/s-l225.jpg,$0.99,Nov-28 09:36,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,1,1
item4b86c0f762,"Parnassius mnemosyne craspedontis, Pair, A1+ (Russia: SE. Eropean Part)",https://www.ebay.com/itm/Parnassius-mnemosyne-craspedontis-Pair-A1-Russia-SE-Eropean-Part/324383340386?hash=item4b86c0f762:g:gSoAAOSw1Wtam7OI,https://i.ebayimg.com/thumbs/images/g/gSoAAOSw1Wtam7OI/s-l225.jpg,$6.00,Nov-28 03:35,"Saratov, default, Russian Federation",arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Auction,1,1
item239c629713,"Parnassius mnemosyne subsp. giganteus Staudinger, 1886 Uzbekistan 67mm10",https://www.ebay.com/itm/Parnassius-mnemosyne-subsp-giganteus-Staudinger-1886-Uzbekistan-67mm10/152947562259?hash=item239c629713:g:pxEAAOSwWCBarAuh,https://i.ebayimg.com/thumbs/images/g/pxEAAOSwWCBarAuh/s-l225.jpg,$20.62,Nov-23 15:42,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
item42251a2d09,Couple PARNASSIUS mnemosyne from Macedonia,https://www.ebay.com/itm/Parchen-Parnassius-mnemosyne-aus-Mazedonien/284090313993?hash=item42251a2d09:g:HWAAAOSwDgtfuo3L,https://i.ebayimg.com/thumbs/images/g/HWAAAOSwDgtfuo3L/s-l225.jpg,$10.83,Nov-22 09:26,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1
item3aed0ae044,PARNASSIUS mnemosyne-Helmut glaßl,https://www.ebay.com/itm/Parnassius-mnemosyne-Helmut-Glasl/253085016132?hash=item3aed0ae044:g:UDoAAOSwz71ZU29Q,https://i.ebayimg.com/thumbs/images/g/UDoAAOSwz71ZU29Q/s-l225.jpg,$60.16,Nov-21 12:32,"Heroldsbach, Germany",cerisyi,https://www.ebay.com/usr/cerisyi?_trksid=p2047675.l2559,Instant,0,1
item4224b2008f,Couple PARNASSIUS mnemosyne from Macedonia,https://www.ebay.com/itm/Parchen-Parnassius-mnemosyne-aus-Mazedonien/284083486863?hash=item4224b2008f:g:9P0AAOSw3o5fsu~V,https://i.ebayimg.com/thumbs/images/g/9P0AAOSw3o5fsu~V/s-l225.jpg,$10.83,Nov-21 09:08,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1
item366a49c808,"Parnassius mnemosyne uralka RUSSIA, South Ural 1PAIR C 2905   9$",https://www.ebay.com/itm/Parnassius-mnemosyne-uralka-RUSSIA-South-Ural-1PAIR-C-2905-9/233711454216?hash=item366a49c808:g:V14AAOSwB69fXOHx,https://i.ebayimg.com/thumbs/images/g/V14AAOSwB69fXOHx/s-l225.jpg,$9.00,Nov-16 04:47,"Krasnousolskiy, Russian Federation",aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,1
item366a4979bb,Parnassius mnemosyne weidingeri RUSSIA Moscow region 1PAIR C2853 10$,https://www.ebay.com/itm/Parnassius-mnemosyne-weidingeri-RUSSIA-Moscow-region-1PAIR-C2853-10/233711434171?hash=item366a4979bb:g:prYAAOSwrg1fXNt8,https://i.ebayimg.com/thumbs/images/g/prYAAOSwrg1fXNt8/s-l225.jpg,$10.00,Nov-16 04:47,"Krasnousolskiy, Russian Federation",aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,1
item56ebffd7f9,"Papilionidae Parnassius Mnemosyne borussianus, female from Lithuania",https://www.ebay.com/itm/PAPILIONIDAE-PARNASSIUS-MNEMOSYNE-BORUSSIANUS-FEMALE-from-LITHUANIA/373326600185?hash=item56ebffd7f9:g:CDgAAOSwa8JfqCI9,https://i.ebayimg.com/thumbs/images/g/CDgAAOSwa8JfqCI9/s-l225.jpg,$10.23,Nov-15 08:52,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,5,1
item595c602e4e,"Papilionidae Parnassius Mnemosyne borussianus, times from Lithuania",https://www.ebay.com/itm/PAPILIONIDAE-PARNASSIUS-MNEMOSYNE-BORUSSIANUS-MALE-from-LITHUANIA/383801896526?hash=item595c602e4e:g:xpYAAOSwiA5fqCIp,https://i.ebayimg.com/thumbs/images/g/xpYAAOSwiA5fqCIp/s-l225.jpg,$9.02,Nov-15 08:52,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,5,1
item56ebffd6f5,"Papilionidae Parnassius Mnemosyne Parmenides, times from Italy",https://www.ebay.com/itm/PAPILIONIDAE-PARNASSIUS-MNEMOSYNE-PARMENIDES-MALE-from-ITALY/373326599925?hash=item56ebffd6f5:g:dkUAAOSwl3VfqCIQ,https://i.ebayimg.com/thumbs/images/g/dkUAAOSwl3VfqCIQ/s-l225.jpg,$10.23,Nov-15 08:51,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,7,1
item56ebffd675,"Papilionidae Parnassius Mnemosyne dinianus, times from Italy",https://www.ebay.com/itm/PAPILIONIDAE-PARNASSIUS-MNEMOSYNE-DINIANUS-MALE-from-ITALY/373326599797?hash=item56ebffd675:g:thQAAOSwTMhfqCH5,https://i.ebayimg.com/thumbs/images/g/thQAAOSwTMhfqCH5/s-l225.jpg,$15.04,Nov-15 08:51,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,5,1
item1cd0eb86a4,"Parnassius mnemosyne mnemosyne  A1- 10 male Ukraine Zmyiv reg,",https://www.ebay.com/itm/Parnassius-mnemosyne-mnemosyne-A1-10-male-Ukraine-Zmyiv-reg/123764180644?hash=item1cd0eb86a4:g:eBcAAOSwWypc1u-i,https://i.ebayimg.com/thumbs/images/g/eBcAAOSwWypc1u-i/s-l225.jpg,$20.00,Nov-13 15:15,"Kharkov, Ukraine",vladna2006,https://www.ebay.com/usr/vladna2006?_trksid=p2047675.l2559,Instant,0,1
item1cd0eb8aa8,"Parnassius mnemosyne mnemosyne  A1- 2 fem Ukraine Zmyiv reg,",https://www.ebay.com/itm/Parnassius-mnemosyne-mnemosyne-A1-2-fem-Ukraine-Zmyiv-reg/123764181672?hash=item1cd0eb8aa8:g:nrcAAOSwz8Nc1u~h,https://i.ebayimg.com/thumbs/images/g/nrcAAOSwz8Nc1u~h/s-l225.jpg,$6.00,Nov-13 15:15,"Kharkov, Ukraine",vladna2006,https://www.ebay.com/usr/vladna2006?_trksid=p2047675.l2559,Instant,0,1
