id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item217e61de25,R- K003 Pa : Butterflies: Polyura athamas palawanica male 34.5mm A-,https://www.ebay.com/itm/R-K003-Pa-Butterflies-Polyura-athamas-palawanica-male-34-5mm-A/143854263845?hash=item217e61de25:g:re4AAOSwPk5fsRJo,https://i.ebayimg.com/thumbs/images/g/re4AAOSwPk5fsRJo/s-l225.jpg,$1.29,Nov-25 04:44,"Sta. Maria, Bulacan, Philippines",philinsectbugs,https://www.ebay.com/usr/philinsectbugs?_trksid=p2047675.l2559,Auction,1,1
item48ed2df381,unmounted butterfly Nymphalidae Polyura athamas CHINA GUANGXI A1,https://www.ebay.com/itm/unmounted-butterfly-Nymphalidae-Polyura-athamas-CHINA-GUANGXI-A1/313216856961?hash=item48ed2df381:g:gBgAAOxyeR9THlrq,https://i.ebayimg.com/thumbs/images/g/gBgAAOxyeR9THlrq/s-l225.jpg,$1.25,Nov-23 12:55,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1
item217b82ae00,+ Entomology Butterfly: Polyura Athamas ♂ Palawan +++++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-POLYURA-ATHAMAS-PALAWAN/143806082560?hash=item217b82ae00:g:AlEAAOSwYc5flcVP,https://i.ebayimg.com/thumbs/images/g/AlEAAOSwYc5flcVP/s-l225.jpg,$3.58,Nov-01 10:35,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1
item5db7c6c33e,G012 Pa : Butterflies: Polyura athamas palawanica male 34.5mm,https://www.ebay.com/itm/G012-Pa-Butterflies-Polyura-athamas-palawanica-male-34-5mm/402515215166?hash=item5db7c6c33e:g:UG4AAOSw1ABfkBnO,https://i.ebayimg.com/thumbs/images/g/UG4AAOSw1ABfkBnO/s-l225.jpg,$0.99,Oct-31 05:25,"Sta. Maria, Bulacan, Philippines",philinsectbugs,https://www.ebay.com/usr/philinsectbugs?_trksid=p2047675.l2559,Auction,1,1
item3432536fe3,UNMOUNTED BUTTERFLY POLYURA ATHAMAS 1 PC.Philippines,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLY-POLYURA-ATHAMAS-1-PC-Philippines/224182628323?hash=item3432536fe3:g:T4EAAOSwKiRe8se8,https://i.ebayimg.com/thumbs/images/g/T4EAAOSwKiRe8se8/s-l225.jpg,$1.19,Oct-10 19:57,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,2,1
item3431bd3881,"POLYURA ATHAMAS  | PALAWAN, PHILIPPINES | AS PICTURED | UK20-199",https://www.ebay.com/itm/POLYURA-ATHAMAS-PALAWAN-PHILIPPINES-AS-PICTURED-UK20-199/224172783745?hash=item3431bd3881:g:MysAAOSwTjdfSvKu,https://i.ebayimg.com/thumbs/images/g/MysAAOSwTjdfSvKu/s-l225.jpg,$1.35,Oct-05 11:38,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,1
item4b82657f71,Malayan Nawab Butterfly - Polyura Athamas Samaas Framed Mounted NIP,https://www.ebay.com/itm/Malayan-Nawab-Butterfly-Polyura-Athamas-Samaas-Framed-Mounted-NIP/324310237041?hash=item4b82657f71:g:gGcAAOSwDRNepNy3,https://i.ebayimg.com/thumbs/images/g/gGcAAOSwDRNepNy3/s-l225.jpg,$15.00,Oct-03 08:53,"Round Rock, Texas, United States",brubarb31288,https://www.ebay.com/usr/brubarb31288?_trksid=p2047675.l2559,Instant,0,1
item48ed81e348,unmounted butterfly Nymphalidae Polyura athamas CHINA GUANGXI A1 #2,https://www.ebay.com/itm/unmounted-butterfly-Nymphalidae-Polyura-athamas-CHINA-GUANGXI-A1-2/313222357832?hash=item48ed81e348:g:Hj0AAOSw-m1ezcXf,https://i.ebayimg.com/thumbs/images/g/Hj0AAOSw-m1ezcXf/s-l225.jpg,$0.88,Sep-22 06:46,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1
item2af1bdd71b,Polyura athamas palawanica male 33mm NU29 Nymphalidae Butterflies PALAWAN,https://www.ebay.com/itm/Polyura-athamas-palawanica-male-33mm-NU29-Nymphalidae-Butterflies-PALAWAN/184444376859?hash=item2af1bdd71b:g:dKUAAOSwaHlfXFRs,https://i.ebayimg.com/thumbs/images/g/dKUAAOSwaHlfXFRs/s-l225.jpg,$1.05,Sep-17 05:12,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
item2af1bd9779,Polyura athamas palawanica male 34mm NU51 Nymphalidae Butterflies PALAWAN,https://www.ebay.com/itm/Polyura-athamas-palawanica-male-34mm-NU51-Nymphalidae-Butterflies-PALAWAN/184444360569?hash=item2af1bd9779:g:zVAAAOSw-u9fXFOo,https://i.ebayimg.com/thumbs/images/g/zVAAAOSw-u9fXFOo/s-l225.jpg,$1.05,Sep-17 04:58,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
item4b6320acc4,WHOLESALE 50 PCS unmounted butterfly Nymphalidae Polyura athamas CHINA A1,https://www.ebay.com/itm/WHOLESALE-50-PCS-unmounted-butterfly-Nymphalidae-Polyura-athamas-CHINA-A1/323785632964?hash=item4b6320acc4:g:H74AAOSw5apcbMcq,https://i.ebayimg.com/thumbs/images/g/H74AAOSw5apcbMcq/s-l225.jpg,$45.00,Sep-12 10:23,"mainland, China",xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,1
item420be102ac,unmounted butterfly Nymphalidae Polyura athamas CHINA GUANGXI A1,https://www.ebay.com/itm/unmounted-butterfly-Nymphalidae-Polyura-athamas-CHINA-GUANGXI-A1/283667137196?hash=item420be102ac:g:gBgAAOxyeR9THlrq,https://i.ebayimg.com/thumbs/images/g/gBgAAOxyeR9THlrq/s-l225.jpg,$1.25,Sep-12 08:34,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1
