id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item5b81e6fb00,Ornithoptera GOLIATH Samson Pair Indonesia,https://www.ebay.com/itm/Ornithoptera-GOLIATH-Samson-Pair-Indonesia/393021422336?hash=item5b81e6fb00:g:aWYAAOSwU8Rehv9k,https://i.ebayimg.com/thumbs/images/g/aWYAAOSwU8Rehv9k/s-l225.jpg,$69.58,Nov-28 08:31,"Netphen, Germany",insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Instant,0,1
item288666e8bf,Real Framed Rare Ornithoptera Goliath Verso Male Giant Birdwing Butterfly 7672mv,https://www.ebay.com/itm/Real-Framed-Rare-Ornithoptera-Goliath-Verso-Male-Giant-Birdwing-Butterfly-7672mv/174053583039?hash=item288666e8bf:g:4ckAAOSwge1dl5sx,https://i.ebayimg.com/thumbs/images/g/4ckAAOSwge1dl5sx/s-l225.jpg,$349.99,Nov-27 20:41,"Visalia, California, United States",realbutterflygifts,https://www.ebay.com/usr/realbutterflygifts?_trksid=p2047675.l2559,Instant,0,1
item23e6322aab,Ornithoptera goliath procus pair XL - Indonesia- Unmounted - ships from USA,https://www.ebay.com/itm/Ornithoptera-goliath-procus-pair-XL-Indonesia-Unmounted-ships-from-USA/154185902763?hash=item23e6322aab:g:Xr8AAOSwlOJfqX92,https://i.ebayimg.com/thumbs/images/g/Xr8AAOSwlOJfqX92/s-l225.jpg,$155.00,Nov-18 08:30,"Twin Falls, Idaho, United States",brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,1
item366e88186b,Below Trending Price.RARE A1 Ornithoptera Goliath SAmsom Male Butterfly Birdwing,https://www.ebay.com/itm/Below-Trending-Price-RARE-A1-Ornithoptera-Goliath-SAmsom-Male-Butterfly-Birdwing/233782646891?hash=item366e88186b:g:aTsAAOSwlupfqt3r,https://i.ebayimg.com/thumbs/images/g/aTsAAOSwlupfqt3r/s-l225.jpg,$175.00,Nov-16 08:41,"Willards, Maryland, United States",frsch7740,https://www.ebay.com/usr/frsch7740?_trksid=p2047675.l2559,Instant,0,1
item1f1969a04e,+ Entomology Butterfly: Ornithoptera GOLIATH SAMSON form? ♀ ARFAK +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-ORNITHOPTERA-GOLIATH-SAMSON-FORM-ARFAK/133570338894?hash=item1f1969a04e:g:xZoAAOSwf9RfqEAP,https://i.ebayimg.com/thumbs/images/g/xZoAAOSwf9RfqEAP/s-l225.jpg,$25.57,Nov-15 10:59,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,10,1
item217d336c08,+ Entomology Butterfly: 2X Ornithoptera GOLIATH SAMSON ♀ ♂ ARFAK unprep.,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-2X-ORNITHOPTERA-GOLIATH-SAMSON-ARFAK-unprep/143834442760?hash=item217d336c08:g:46wAAOSw5ulfqt8P,https://i.ebayimg.com/thumbs/images/g/46wAAOSw5ulfqt8P/s-l225.jpg,$51.98,Nov-15 10:42,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,19,1
item1f18fe18d2,+ Entomology Butterfly: Ornithoptera GOLIATH SAMSON ♀ ARFAK +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-ORNITHOPTERA-GOLIATH-SAMSON-ARFAK/133563291858?hash=item1f18fe18d2:g:YVYAAOSwB4ZfnwVb,https://i.ebayimg.com/thumbs/images/g/YVYAAOSwB4ZfnwVb/s-l225.jpg,$10.16,Nov-08 10:59,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,4,1
item3b512c0a77,NIUE ISLAND $1 2012 BUTTERFLIES Ornithoptera Goliath SILVER PROOF,https://www.ebay.com/itm/NIUE-ISLAND-1-2012-BUTTERFLIES-Ornithoptera-Goliath-SILVER-PROOF/254764911223?hash=item3b512c0a77:g:ivEAAOSw1LJeMKsp,https://i.ebayimg.com/thumbs/images/g/ivEAAOSw1LJeMKsp/s-l225.jpg,$47.74,Nov-07 12:02,"Bialystok, Poland",kerad1969,https://www.ebay.com/usr/kerad1969?_trksid=p2047675.l2559,Instant,0,1
item420d92fcca,ORNITHOPTERA GOLIATH PROCUS MALE. FORM JEROMEI. EASY BLUE COLOR. AFTER REPAIR!,https://www.ebay.com/itm/ORNITHOPTERA-GOLIATH-PROCUS-MALE-FORM-JEROMEI-EASY-BLUE-COLOR-AFTER-REPAIR/283695578314?hash=item420d92fcca:g:WlMAAOSwGF5eSu~T,https://i.ebayimg.com/thumbs/images/g/WlMAAOSwGF5eSu~T/s-l225.jpg,$99.00,Nov-04 15:26,"Kondrovo, Russian Federation",ornithopter-shop,https://www.ebay.com/usr/ornithopter-shop?_trksid=p2047675.l2559,Instant,0,1
item4217fa78c4,ORNITHOPTERA GOLIATH SAMSON MALE. ARFAK-IRIAN ISLAND. VERY RARE.,https://www.ebay.com/itm/ORNITHOPTERA-GOLIATH-SAMSON-MALE-ARFAK-IRIAN-ISLAND-VERY-RARE/283870132420?hash=item4217fa78c4:g:6C4AAOSwNHZeicaq,https://i.ebayimg.com/thumbs/images/g/6C4AAOSwNHZeicaq/s-l225.jpg,$49.00,Nov-04 15:26,"Kondrovo, Russian Federation",ornithopter-shop,https://www.ebay.com/usr/ornithopter-shop?_trksid=p2047675.l2559,Instant,0,1
item41ff049f99,Ornithoptera Goliath Procus  A1 GIANT PAIR - Unmounted Male & Female,https://www.ebay.com/itm/Ornithoptera-Goliath-Procus-A1-GIANT-PAIR-Unmounted-Male-Female/283451367321?hash=item41ff049f99:g:fwIAAOSw5mpbLE~n,https://i.ebayimg.com/thumbs/images/g/fwIAAOSw5mpbLE~n/s-l225.jpg,$167.50,Nov-03 06:58,"Commack, New York, United States",limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,1
item42077219f0,Ornithoptera Goliath Samson- Three ( 3 ) Pairs  A1 Unmounted M & F - Arfak Mts.,https://www.ebay.com/itm/Ornithoptera-Goliath-Samson-Three-3-Pairs-A1-Unmounted-M-F-Arfak-Mts/283592759792?hash=item42077219f0:g:lzcAAOSwKqBbLEEO,https://i.ebayimg.com/thumbs/images/g/lzcAAOSwKqBbLEEO/s-l225.jpg,$176.95,Nov-03 06:58,"Commack, New York, United States",limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,1
item420c779cb9,ORNITHOPTERA GOLIATH PROCUS PAIR. CERAM IS. INDONESIA. RARE!!!,https://www.ebay.com/itm/ORNITHOPTERA-GOLIATH-PROCUS-PAIR-CERAM-IS-INDONESIA-RARE/283677007033?hash=item420c779cb9:g:d6MAAOSwqUBci9tq,https://i.ebayimg.com/thumbs/images/g/d6MAAOSwqUBci9tq/s-l225.jpg,$72.00,Nov-02 04:00,"Kondrovo, Russian Federation",ornithopter-shop,https://www.ebay.com/usr/ornithopter-shop?_trksid=p2047675.l2559,Instant,0,1
item5b71a4c010,Ornithoptera GOLIATH SAMSON PAIR * Indonesia *,https://www.ebay.com/itm/Ornithoptera-goliath-samson-pair-Indonesia/392748646416?hash=item5b71a4c010:g:aWYAAOSwU8Rehv9k,https://i.ebayimg.com/thumbs/images/g/aWYAAOSwU8Rehv9k/s-l225.jpg,$69.90,Nov-01 11:32,"Netphen, Germany",insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Instant,0,1
item217b82e2eb,+ Entomology Butterfly: Ornithoptera GOLIATH SAMSON ♀ ARFAK +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-ORNITHOPTERA-GOLIATH-SAMSON-ARFAK/143806096107?hash=item217b82e2eb:g:W5YAAOSw~HpflckG,https://i.ebayimg.com/thumbs/images/g/W5YAAOSw~HpflckG/s-l225.jpg,$12.56,Nov-01 10:50,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,7,1
item1f189e7c3f,+ Entomology Butterfly: Ornithoptera GOLIATH Atlas enarotali ♂ +++ RARE?,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-ORNITHOPTERA-GOLIATH-ATLAS-ENAROTALI-RARE/133557025855?hash=item1f189e7c3f:g:aSAAAOSwdmJflcjB,https://i.ebayimg.com/thumbs/images/g/aSAAAOSwdmJflcjB/s-l225.jpg,$144.61,Nov-01 10:50,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,19,1
item1f18baa09e,+ Entomology Butterfly: 4x Ornithoptera GOLIATH Sam ♀ A1/A1 - ARFAK unprep.,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-4x-ORNITHOPTERA-GOLIATH-SAM-A1-A1-ARFAK-unprep/133558870174?hash=item1f18baa09e:g:-38AAOSwHflfmGni,https://i.ebayimg.com/thumbs/images/g/-38AAOSwHflfmGni/s-l225.jpg,$31.66,Nov-01 10:41,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,13,1
item1f18ba9f6c,+ Entomology Butterfly: 4x Ornithoptera GOLIATH Sam ♂ A1/A1 - ARFAK unprep.,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-4x-ORNITHOPTERA-GOLIATH-SAM-A1-A1-ARFAK-unprep/133558869868?hash=item1f18ba9f6c:g:AR8AAOSw4gRfmGnL,https://i.ebayimg.com/thumbs/images/g/AR8AAOSw4gRfmGnL/s-l225.jpg,$140.99,Nov-01 10:41,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,27,1
item3dadf77ea3,Choice Rare Ornithoptera goliath Pair A1 New Guinea !!!,https://www.ebay.com/itm/Choice-Rare-Ornithoptera-goliath-Pair-A1-New-Guinea/264911683235?hash=item3dadf77ea3:g:HdwAAOSwgoVfgSVM,https://i.ebayimg.com/thumbs/images/g/HdwAAOSwgoVfgSVM/s-l225.jpg,$58.00,Oct-29 17:31,"Chicopee, Massachusetts, United States",caligoluna,https://www.ebay.com/usr/caligoluna?_trksid=p2047675.l2559,Auction,2,1
item1f183fc6a4,+ Entomology Butterfly: Ornithoptera goliath supremus ♀ PNG +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-ORNITHOPTERA-GOLIATH-SUPREMUS-PNG/133550818980?hash=item1f183fc6a4:g:KeUAAOSwaE1fjIpg,https://i.ebayimg.com/thumbs/images/g/KeUAAOSwaE1fjIpg/s-l225.jpg,$35.10,Oct-25 11:33,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,7,1
item1f183fc390,+ Entomology Butterfly: Ornithoptera GOLIATH SAMSON ♀ ARFAK +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-ORNITHOPTERA-GOLIATH-SAMSON-ARFAK/133550818192?hash=item1f183fc390:g:i6IAAOSw9TtfjIo1,https://i.ebayimg.com/thumbs/images/g/i6IAAOSw9TtfjIo1/s-l225.jpg,$17.33,Oct-25 11:32,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,12,1
item1f183fc1bf,+ Entomology Butterfly: Ornithoptera GOLIATH SAMSON ♂ ARFAK +++,https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-ORNITHOPTERA-GOLIATH-SAMSON-ARFAK/133550817727?hash=item1f183fc1bf:g:uE8AAOSwZbhfjIoH,https://i.ebayimg.com/thumbs/images/g/uE8AAOSwZbhfjIoH/s-l225.jpg,$44.81,Oct-25 11:31,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,11,1
item421b26a6fc,ORNITHOPTERA GOLIATH SAMSON MALE. FORM JEROMEI. INDONESIA. VERY RARE!,https://www.ebay.com/itm/ORNITHOPTERA-GOLIATH-SAMSON-MALE-FORM-JEROMEI-INDONESIA-VERY-RARE/283923359484?hash=item421b26a6fc:g:Mb0AAOSw4ApepeTG,https://i.ebayimg.com/thumbs/images/g/Mb0AAOSw4ApepeTG/s-l225.jpg,$99.00,Oct-23 10:01,"Kondrovo, Russian Federation",ornithopter-shop,https://www.ebay.com/usr/ornithopter-shop?_trksid=p2047675.l2559,Instant,0,1
item4b8419ffef,UNMOUNTED BUTTERFLIES/ORNITHOPTERA GOLIATH SAMSON  PAIR .,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLIES-ORNITHOPTERA-GOLIATH-SAMSON-PAIR/324338843631?hash=item4b8419ffef:g:bvQAAOSwfh9fg9vj,https://i.ebayimg.com/thumbs/images/g/bvQAAOSwfh9fg9vj/s-l225.jpg,$36.99,Oct-22 21:48,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1
