id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item4b86e801b0,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PARADISEA ARFAKENSIS  MALE .,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLIES-ORNITHOPTERA-PARADISEA-ARFAKENSIS-MALE/324385898928?hash=item4b86e801b0:g:p9AAAOSwfw5fuy3X,https://i.ebayimg.com/thumbs/images/g/p9AAAOSwfw5fuy3X/s-l225.jpg,$142.50,Nov-27 19:36,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,39,1
item343525ebe9,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PARADISEA ARFAKENSIS MALE .,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLIES-ORNITHOPTERA-PARADISEA-ARFAKENSIS-MALE/224229977065?hash=item343525ebe9:g:YgIAAOSwthtfq120,https://i.ebayimg.com/thumbs/images/g/YgIAAOSwthtfq120/s-l225.jpg,$225.50,Nov-15 19:43,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,26,1
item4b8576323a,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PARADISEA DETANI PAIR .,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLIES-ORNITHOPTERA-PARADISEA-DETANI-PAIR/324361663034?hash=item4b8576323a:g:zhAAAOSwViVfo30d,https://i.ebayimg.com/thumbs/images/g/zhAAAOSwViVfo30d/s-l225.jpg,$250.00,Nov-09 20:20,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,4,1
item4b85756150,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PARADISEA CHRYSANTHEMUM MALE .,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLIES-ORNITHOPTERA-PARADISEA-CHRYSANTHEMUM-MALE/324361609552?hash=item4b85756150:g:UJQAAOSwuqNfo2js,https://i.ebayimg.com/thumbs/images/g/UJQAAOSwuqNfo2js/s-l225.jpg,$222.50,Nov-09 18:55,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,28,1
item34346319c3,ORNITHOPTERA PARADISEA BORCHI| DREIKIR MTS.INDONESIA| AS PICTURED A1- | UK20-121,https://www.ebay.com/itm/ORNITHOPTERA-PARADISEA-BORCHI-DREIKIR-MTS-INDONESIA-AS-PICTURED-A1-UK20-121/224217209283?hash=item34346319c3:g:zQUAAOSw1QxfnnoG,https://i.ebayimg.com/thumbs/images/g/zQUAAOSw1QxfnnoG/s-l225.jpg,$443.05,Nov-08 12:36,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,32,1
item44671c498d,Ornithoptera paradisea arfakensis W-New Guinea,https://www.ebay.com/itm/Ornithoptera-paradisea-arfakensis-W-Neu-Guinea/293787683213?hash=item44671c498d:g:nmkAAOSwyaFfitkP,https://i.ebayimg.com/thumbs/images/g/nmkAAOSwyaFfitkP/s-l225.jpg,$35.25,Oct-25 09:31,"Dittelbrunn, Germany",heliconius-3,https://www.ebay.com/usr/heliconius-3?_trksid=p2047675.l2559,Auction,15,1
item44671c2d59,Ornithoptera paradisea arfakensis F. Minor ab. punctata W-New Guinea,https://www.ebay.com/itm/Ornithoptera-paradisea-arfakensis-f-minor-ab-punctata-W-Neu-Guinea/293787675993?hash=item44671c2d59:g:5Q0AAOSwWHdfitg4,https://i.ebayimg.com/thumbs/images/g/5Q0AAOSwWHdfitg4/s-l225.jpg,$47.20,Oct-25 09:29,"Dittelbrunn, Germany",heliconius-3,https://www.ebay.com/usr/heliconius-3?_trksid=p2047675.l2559,Auction,11,1
item44671c09b8,Ornithoptera paradisea arfakensis F. Minor M-New Guinea,https://www.ebay.com/itm/Ornithoptera-paradisea-arfakensis-f-minor-M-Neu-Guinea/293787666872?hash=item44671c09b8:g:bUQAAOSw4etfitdc,https://i.ebayimg.com/thumbs/images/g/bUQAAOSw4etfitdc/s-l225.jpg,$131.43,Oct-25 09:27,"Dittelbrunn, Germany",heliconius-3,https://www.ebay.com/usr/heliconius-3?_trksid=p2047675.l2559,Auction,28,1
item4464ae2cf0,Ornithoptera paradisea arfakensis VAR. W-New Guinea,https://www.ebay.com/itm/Ornithoptera-paradisea-arfakensis-var-W-Neu-Guinea/293746912496?hash=item4464ae2cf0:g:4osAAOSw9UhfaQAK,https://i.ebayimg.com/thumbs/images/g/4osAAOSw9UhfaQAK/s-l225.jpg,$70.50,Sep-27 09:53,"Dittelbrunn, Germany",heliconius-3,https://www.ebay.com/usr/heliconius-3?_trksid=p2047675.l2559,Auction,33,1
item4464ae01fc,Ornithoptera paradisea arfakensis W-New Guinea,https://www.ebay.com/itm/Ornithoptera-paradisea-arfakensis-W-Neu-Guinea/293746901500?hash=item4464ae01fc:g:Xv8AAOSwIHVfaP-s,https://i.ebayimg.com/thumbs/images/g/Xv8AAOSwIHVfaP-s/s-l225.jpg,$80.05,Sep-27 09:51,"Dittelbrunn, Germany",heliconius-3,https://www.ebay.com/usr/heliconius-3?_trksid=p2047675.l2559,Auction,28,1
