id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item48f1fedb2c,Beetles Cerambycidae Rosalia alpina male 33 mm,https://www.ebay.com/itm/Beetles-Cerambycidae-Rosalia-alpina-male-33-mm/313297656620?hash=item48f1fedb2c:g:hm0AAOSws0hfraq7,https://i.ebayimg.com/thumbs/images/g/hm0AAOSws0hfraq7/s-l225.jpg,$18.00,Nov-22 13:36,"Сумы, Ukraine",plutarx12,https://www.ebay.com/usr/plutarx12?_trksid=p2047675.l2559,Auction,1,1
item264d7bde56,Beetles Cerambycidae Rosalia alpina PAIR,https://www.ebay.com/itm/Beetles-Cerambycidae-Rosalia-alpina-PAIR/164508720726?hash=item264d7bde56:g:9c8AAOSwlXJfrYjp,https://i.ebayimg.com/thumbs/images/g/9c8AAOSwlXJfrYjp/s-l225.jpg,$32.00,Nov-22 11:11,"Europe, Ukraine",plutarx13,https://www.ebay.com/usr/plutarx13?_trksid=p2047675.l2559,Auction,1,1
item264d7bd9c1,Beetles Cerambycidae Rosalia alpina 3 pcs.,https://www.ebay.com/itm/Beetles-Cerambycidae-Rosalia-alpina-3-pcs/164508719553?hash=item264d7bd9c1:g:jlwAAOSwOghfrYiu,https://i.ebayimg.com/thumbs/images/g/jlwAAOSwOghfrYiu/s-l225.jpg,$26.00,Nov-22 11:11,"Europe, Ukraine",plutarx13,https://www.ebay.com/usr/plutarx13?_trksid=p2047675.l2559,Auction,1,1
item1aa85876ed,"Cerambycidae, Rosalia alpina, pair, Croatia",https://www.ebay.com/itm/Cerambycidae-Rosalia-alpina-pair-Croatia/114493519597?hash=item1aa85876ed:g:-nUAAOSwel9eYo6j,https://i.ebayimg.com/thumbs/images/g/-nUAAOSwel9eYo6j/s-l225.jpg,$20.00,Nov-03 14:44,"Moscow, default, Russian Federation",russianbeetles,https://www.ebay.com/usr/russianbeetles?_trksid=p2047675.l2559,Instant,0,1
item56d99cddde,"School object art print image board insect no. 75 rosalia alpina, rosalie",https://www.ebay.com/itm/Objet-scolaire-art-print-image-planche-insecte-N-75-ROSALIA-ALPINA-Rosalie/373018123742?hash=item56d99cddde:g:SkgAAOSwQ-BdY4ft,https://i.ebayimg.com/thumbs/images/g/SkgAAOSwQ-BdY4ft/s-l225.jpg,$3.47,Nov-02 08:42,"LAIZ, France",ramses2_2008,https://www.ebay.com/usr/ramses2_2008?_trksid=p2047675.l2559,Instant,0,1
item46b6e04e75,MOLDOVA 2019 Nature Fauna Insects Rosalia Alpina & Lucanus Cervus(Beetle-Deer)2v,https://www.ebay.com/itm/MOLDOVA-2019-Nature-Fauna-Insects-Rosalia-Alpina-Lucanus-Cervus-Beetle-Deer-2v/303715864181?hash=item46b6e04e75:g:rdAAAOSwu6tencDK,https://i.ebayimg.com/thumbs/images/g/rdAAAOSwu6tencDK/s-l225.jpg,$1.19,Oct-23 06:48,"Transnistria, Moldova",urri-kurz,https://www.ebay.com/usr/urri-kurz?_trksid=p2047675.l2559,Instant,0,1
item4464686736,Rosalia longicorn Rosalia alpina Alpine longhorn beetle,https://www.ebay.com/itm/Rosalia-longicorn-Rosalia-alpina-Alpine-longhorn-beetle/293742339894?hash=item4464686736:g:uFcAAOSwCaBfZbLr,https://i.ebayimg.com/thumbs/images/g/uFcAAOSwCaBfZbLr/s-l225.jpg,$3.34,Oct-19 01:16,"Barnet, United Kingdom",topicalandthematic,https://www.ebay.com/usr/topicalandthematic?_trksid=p2047675.l2559,Instant,0,1
item2648e2bfee,Beetles. Cerambycidae. Rosalia alpina 3 pcs,https://www.ebay.com/itm/Beetles-Cerambycidae-Rosalia-alpina-3-pcs/164431577070?hash=item2648e2bfee:g:PusAAOSwwBZff05F,https://i.ebayimg.com/thumbs/images/g/PusAAOSwwBZff05F/s-l225.jpg,$26.00,Oct-18 10:37,"Europe, Ukraine",plutarx13,https://www.ebay.com/usr/plutarx13?_trksid=p2047675.l2559,Auction,1,1
item2648e114a1,Beetles. Cerambycidae. Rosalia alpina female VERY BIG SIZE 37 mm,https://www.ebay.com/itm/Beetles-Cerambycidae-Rosalia-alpina-female-VERY-BIG-SIZE-37-mm/164431467681?hash=item2648e114a1:g:LuAAAOSwZM9ff0Ba,https://i.ebayimg.com/thumbs/images/g/LuAAAOSwZM9ff0Ba/s-l225.jpg,$32.00,Oct-18 09:38,"Europe, Ukraine",plutarx13,https://www.ebay.com/usr/plutarx13?_trksid=p2047675.l2559,Auction,1,1
item2648e10f0a,Beetles. Cerambycidae Rosalia alpina  BIG PAIR 30 mm +,https://www.ebay.com/itm/Beetles-Cerambycidae-Rosalia-alpina-BIG-PAIR-30-mm/164431466250?hash=item2648e10f0a:g:sG8AAOSw1ZZff1TK,https://i.ebayimg.com/thumbs/images/g/sG8AAOSw1ZZff1TK/s-l225.jpg,$32.00,Oct-18 09:37,"Europe, Ukraine",plutarx13,https://www.ebay.com/usr/plutarx13?_trksid=p2047675.l2559,Auction,1,1
