id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item34620cdbaf,"Butterfly. Anthocharis scolymus. S of Henan, Xinyang. 1M. MC1921.",https://www.ebay.com/itm/224983309231?hash=item34620cdbaf:g:SywAAOSwQMhifQbt,https://i.ebayimg.com/thumbs/images/g/SywAAOSwQMhifQbt/s-l225.jpg,$4.99,May-17 06:09,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"May 17, 2022

06:09:21 PDT"
item34620b0cce,"Butterfly. Anthocharis scolymus. Gansu, Pingliang, Jingchuan county.1M. MC1844.",https://www.ebay.com/itm/224983190734?hash=item34620b0cce:g:GoYAAOSwz21ifOuw,https://i.ebayimg.com/thumbs/images/g/GoYAAOSwz21ifOuw/s-l225.jpg,$7.99,May-17 04:13,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"May 17, 2022

04:13:08 PDT"
item3461f1124d,"Butterfly. Anthocharis scolymus. Liaoning, Shenyang. 2M. 21969.",https://www.ebay.com/itm/224981488205?hash=item3461f1124d:g:ZwkAAOSw77lie3vp,https://i.ebayimg.com/thumbs/images/g/ZwkAAOSw77lie3vp/s-l225.jpg,$5.50,May-16 02:03,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1,"May 16, 2022

02:03:47 PDT"
item5718039bfd,ANTHOCHARIS SCOLYMUS SCOLYMUS FEMALE FROM JAPAN,https://www.ebay.com/itm/374065044477?hash=item5718039bfd:g:0EYAAOSwg4Fid~JI,https://i.ebayimg.com/thumbs/images/g/0EYAAOSwg4Fid~JI/s-l225.jpg,$1.50,May-15 11:17,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"May 15, 2022

11:17:44 PDT"
item54b373cba2,ANTHOCHARIS SCOLYMUS SCOLYMUS FEMALE FROM JAPAN,https://www.ebay.com/itm/363787963298?hash=item54b373cba2:g:VLUAAOSwhMliScQS,https://i.ebayimg.com/thumbs/images/g/VLUAAOSwhMliScQS/s-l225.jpg,$2.00,Apr-10 10:53,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

10:53:33 PDT"
item57145a43ee,ANTHOCHARIS SCOLYMUS SCOLYMUS MALE FROM JAPAN,https://www.ebay.com/itm/374003614702?hash=item57145a43ee:g:gdAAAOSwghZiScPu,https://i.ebayimg.com/thumbs/images/g/gdAAAOSwghZiScPu/s-l225.jpg,$2.00,Apr-10 10:52,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

10:52:02 PDT"
item54b2e727b6,ANTHOCHARIS SCOLYMUS SCOLYMUS MALE FROM JAPAN,https://www.ebay.com/itm/363778746294?hash=item54b2e727b6:g:J4kAAOSw-gliQINk,https://i.ebayimg.com/thumbs/images/g/J4kAAOSw-gliQINk/s-l225.jpg,$1.50,Apr-03 11:07,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"Apr 03, 2022

11:07:14 PDT"
item54b26968ed,ANTHOCHARIS SCOLYMUS SCOLYMUS FEMALE FROM JAPAN,https://www.ebay.com/itm/363770505453?hash=item54b26968ed:g:t38AAOSwGspiNzEU,https://i.ebayimg.com/thumbs/images/g/t38AAOSwGspiNzEU/s-l225.jpg,$5.50,Mar-27 11:17,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"Mar 27, 2022

11:17:49 PDT"
item57133f6dd9,ANTHOCHARIS SCOLYMUS SCOLYMUS MALE FROM JAPAN,https://www.ebay.com/itm/373985078745?hash=item57133f6dd9:g:NOIAAOSwgz9iNzD0,https://i.ebayimg.com/thumbs/images/g/NOIAAOSwgz9iNzD0/s-l225.jpg,$5.50,Mar-27 11:16,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"Mar 27, 2022

11:16:53 PDT"
item5712631b39,ANTHOCHARIS SCOLYMUS SCOLYMUS MALE FROM JAPAN,https://www.ebay.com/itm/373970639673?hash=item5712631b39:g:dPEAAOSwbrxiKiVg,https://i.ebayimg.com/thumbs/images/g/dPEAAOSwbrxiKiVg/s-l225.jpg,$1.50,Mar-20 11:34,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"Mar 20, 2022

11:34:47 PDT"
item54b15cd526,ANTHOCHARIS SCOLYMUS SCOLYMUS MALE FROM JAPAN,https://www.ebay.com/itm/363752903974?hash=item54b15cd526:g:Mi4AAOSwc5NiI5eB,https://i.ebayimg.com/thumbs/images/g/Mi4AAOSwc5NiI5eB/s-l225.jpg,$2.47,Mar-12 10:39,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Mar 12, 2022

10:39:12 PST"
