id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item46e50e7168,"Bindahara phocides - Lycaenidae male from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304490639720?hash=item46e50e7168:g:YiQAAOSwQ7Bigk2B,https://i.ebayimg.com/thumbs/images/g/YiQAAOSwQ7Bigk2B/s-l225.jpg,$1.80,May-25 09:04,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 25, 2022

09:04:46 PDT"
item46e50e66a7,"Bindahara phocides - Lycaenidae male from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304490636967?hash=item46e50e66a7:g:YWIAAOSwQ7Bigk0x,https://i.ebayimg.com/thumbs/images/g/YWIAAOSwQ7Bigk0x/s-l225.jpg,$1.80,May-25 09:03,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 25, 2022

09:03:13 PDT"
item46e507b6f8,"Bindahara phocides - Lycaenidae male from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304490198776?hash=item46e507b6f8:g:ZKcAAOSwi39igdMg,https://i.ebayimg.com/thumbs/images/g/ZKcAAOSwi39igdMg/s-l225.jpg,$1.80,May-24 09:25,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 24, 2022

09:25:24 PDT"
item46e507b4a2,"Bindahara phocides - Lycaenidae male from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304490198178?hash=item46e507b4a2:g:o4YAAOSwEgJigdKY,https://i.ebayimg.com/thumbs/images/g/o4YAAOSwEgJigdKY/s-l225.jpg,$1.80,May-24 09:24,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 24, 2022

09:24:09 PDT"
item46e507b200,"Bindahara phocides - Lycaenidae male from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304490197504?hash=item46e507b200:g:cwwAAOSwLm9igdId,https://i.ebayimg.com/thumbs/images/g/cwwAAOSwLm9igdId/s-l225.jpg,$1.80,May-24 09:23,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 24, 2022

09:23:02 PDT"
item46e4f60958,"Bindahara phocides - Lycaenidae male from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304489040216?hash=item46e4f60958:g:8WYAAOSwUDNigLdf,https://i.ebayimg.com/thumbs/images/g/8WYAAOSwUDNigLdf/s-l225.jpg,$1.80,May-23 09:14,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 23, 2022

09:14:46 PDT"
item46e4f60787,"Bindahara phocides - Lycaenidae male from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304489039751?hash=item46e4f60787:g:ZZQAAOSwQ4digLcX,https://i.ebayimg.com/thumbs/images/g/ZZQAAOSwQ4digLcX/s-l225.jpg,$1.80,May-23 09:12,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 23, 2022

09:12:37 PDT"
item46e4f605c5,"Bindahara phocides - Lycaenidae male from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304489039301?hash=item46e4f605c5:g:S1IAAOSw0FBigLaM,https://i.ebayimg.com/thumbs/images/g/S1IAAOSw0FBigLaM/s-l225.jpg,$1.80,May-23 09:10,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 23, 2022

09:10:08 PDT"
item54b1fbfee2,BINDAHARA PHOCIDES SUGRIVA FEMALE FROM BALI ISL.,https://www.ebay.com/itm/363763334882?hash=item54b1fbfee2:g:GkgAAOSwgKtiL0kq,https://i.ebayimg.com/thumbs/images/g/GkgAAOSwgKtiL0kq/s-l225.jpg,$9.38,Mar-19 11:38,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Mar 19, 2022

11:38:14 PDT"
item5712b6759d,BINDAHARA PHOCIDES SUGRIVA MALE FROM BALI ISL.,https://www.ebay.com/itm/373976102301?hash=item5712b6759d:g:m8YAAOSwDDZiL0kT,https://i.ebayimg.com/thumbs/images/g/m8YAAOSwDDZiL0kT/s-l225.jpg,$9.38,Mar-19 11:37,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Mar 19, 2022

11:37:15 PDT"
