id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3f1954cb13,15 GOLDEN SHOWER TREE Gold Rush Yellow Cassia Fistula Flower Seeds *Comb S/H,https://www.ebay.com/itm/271007927059?hash=item3f1954cb13:g:BqUAAOSwfjhZdR-p,https://i.ebayimg.com/thumbs/images/g/BqUAAOSwfjhZdR-p/s-l225.jpg,$3.00,Jun-01 02:25,Unknown,Unknown,Unknown,Instant,0,521,
item46d45f2fa9,Pure Herbs Amaltas Cassia Fistula Dried Phali For Good Health,https://www.ebay.com/itm/304210718633?hash=item46d45f2fa9:g:XFQAAOSwCRdhgkCD,https://i.ebayimg.com/thumbs/images/g/XFQAAOSwCRdhgkCD/s-l225.jpg,$5.60 to $41.70,May-31 12:47,Unknown,Unknown,Unknown,Instant,0,7,
item2400f52095,SBL Cassia Fistula Mother Tincture Q Homeopathic Medicine 30 ml,https://www.ebay.com/itm/154634887317?hash=item2400f52095:g:kdcAAOSwuR5hCjdL,https://i.ebayimg.com/thumbs/images/g/kdcAAOSwuR5hCjdL/s-l225.jpg,$6.61 to $16.28,May-29 07:08,Unknown,Unknown,Unknown,Instant,0,3,
item42389cad38,"Willmar Schwabe India Cassia Fistula 1X (Q) (30ml) Constipation, Acid Reflux;",https://www.ebay.com/itm/284417633592?hash=item42389cad38:g:zW8AAOSwpJ5gH6VJ,https://i.ebayimg.com/thumbs/images/g/zW8AAOSwpJ5gH6VJ/s-l225.jpg,$8.34,May-26 21:37,Unknown,Unknown,Unknown,Instant,0,1,
item4d757c7825,Golden Shower Tree Seed Rare Yellow Flower Cassia Fistula Tropical Tree 20 seeds,https://www.ebay.com/itm/332683573285?hash=item4d757c7825:g:wCEAAOSwQQlbH4uZ,https://i.ebayimg.com/thumbs/images/g/wCEAAOSwQQlbH4uZ/s-l225.jpg,$3.75,May-24 20:07,Unknown,Unknown,Unknown,Instant,0,110,
item3451f4a9fa,Raw Herbs Dried Amaltas Phali Amaltaas Fali Cassia Fistula Pods Free Shipping,https://www.ebay.com/itm/224713288186?hash=item3451f4a9fa:g:d~UAAOSwKmNhoe20,https://i.ebayimg.com/thumbs/images/g/d~UAAOSwKmNhoe20/s-l225.jpg,$16.99 to $36.99,May-23 19:16,Unknown,Unknown,Unknown,Instant,0,1,
item56de901ca4,Golden Shower Tree - Cassia fistula - 10 Seeds,https://www.ebay.com/itm/373101173924?hash=item56de901ca4:g:jxcAAOSwoKhe~N~F,https://i.ebayimg.com/thumbs/images/g/jxcAAOSwoKhe~N~F/s-l225.jpg,$3.58,May-23 01:31,Unknown,Unknown,Unknown,Instant,0,99,
item1ac7ab3fc0,"Caña Fístula, 1oz cana fistula, Cassia fistula pods, Golden shower,AMALTAS !!!",https://www.ebay.com/itm/115019038656?hash=item1ac7ab3fc0:g:yM4AAOSwAHFhVVSw,https://i.ebayimg.com/thumbs/images/g/yM4AAOSwAHFhVVSw/s-l225.jpg,$9.99,May-21 18:27,Unknown,Unknown,Unknown,Instant,0,16,
item59871349b0,"Cassia fistula Indian Laburnum, Purging Fistula, Golden shower tree 300 seeds",https://www.ebay.com/itm/384518277552?hash=item59871349b0:g:UpIAAOSwn3VhnFJm,https://i.ebayimg.com/thumbs/images/g/UpIAAOSwn3VhnFJm/s-l225.jpg,$13.99,May-21 16:30,Unknown,Unknown,Unknown,Instant,0,8,
item5996f4bf0d,Golden Shower Tree Seed Rare Yellow Flower Cassia Fistula Live 20 Seeds Natural,https://www.ebay.com/itm/384784711437?hash=item5996f4bf0d:g:MGQAAOSwiB1iMfHu,https://i.ebayimg.com/thumbs/images/g/MGQAAOSwiB1iMfHu/s-l225.jpg,$7.99,May-19 18:36,Unknown,Unknown,Unknown,Instant,0,2,
item54a5947dac,Willmar Schwabe India Cassia Fistula 1000 CH (30ml),https://www.ebay.com/itm/363555225004?hash=item54a5947dac:g:pysAAOSwZoVd7i8i,https://i.ebayimg.com/thumbs/images/g/pysAAOSwZoVd7i8i/s-l225.jpg,$15.99,May-17 07:57,Unknown,Unknown,Unknown,Instant,0,1,
item2b1c2c05be,AMALTAS CASSIA FISTULA GOLDEN SHOWER TREE CANAFISTULA PURGING CASSIA PODS PULP,https://www.ebay.com/itm/185156240830?hash=item2b1c2c05be:g:oH8AAOSwfhxbi~nX,https://i.ebayimg.com/thumbs/images/g/oH8AAOSwfhxbi~nX/s-l225.jpg,$7.94 to $38.94,May-16 17:14,Unknown,Unknown,Unknown,Instant,0,4,
item3dd9e21295,100g Peeled Peeled Kassia Cassia Fistula Golden Shower Amaltas Manna Detox,https://www.ebay.com/itm/265648476821?hash=item3dd9e21295:g:pb0AAOSwQXdcwywQ,https://i.ebayimg.com/thumbs/images/g/pb0AAOSwQXdcwywQ/s-l225.jpg,$9.63,May-16 04:21,"Halle, Germany",gesundheit-zuerst,https://www.ebay.com/usr/gesundheit-zuerst?_trksid=p2047675.l2559,Instant,0,9,
