id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item46e3da5b01,"Cethosia cydippe chrysippe Nymphalidae from Fak-Fak province,Papua, Indonesia",https://www.ebay.com/itm/304470448897?hash=item46e3da5b01:g:x~kAAOSwQB1ib5cG,https://i.ebayimg.com/thumbs/images/g/x~kAAOSwQB1ib5cG/s-l225.jpg,$2.25,May-09 09:30,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,3,1,"May 09, 2022

09:30:48 PDT"
item46e3437720,"Cethosia cydippe bernsteini - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304460560160?hash=item46e3437720:g:ZgIAAOSwGAxiZrli,https://i.ebayimg.com/thumbs/images/g/ZgIAAOSwGAxiZrli/s-l225.jpg,$6.50,May-04 09:19,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,3,1,"May 04, 2022

09:19:40 PDT"
item54b2697081,CETHOSIA CYDIPPE INSULATA MALE FROM KEI ISL,https://www.ebay.com/itm/363770507393?hash=item54b2697081:g:IHwAAOSwXtFiNzHR,https://i.ebayimg.com/thumbs/images/g/IHwAAOSwXtFiNzHR/s-l225.jpg,$7.50,Mar-27 11:22,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"Mar 27, 2022

11:22:14 PDT"
item1d269d31f7,CETHOSIA CYDIPPE (NEW SUBSPECIES)  - FEMALE - unmounted butterfly,https://www.ebay.com/itm/125201887735?hash=item1d269d31f7:g:xqgAAOSwcGhiL26p,https://i.ebayimg.com/thumbs/images/g/xqgAAOSwcGhiL26p/s-l225.jpg,$29.99,Mar-22 10:25,Unknown,Unknown,Unknown,Instant,0,3,
item345c43bdaa,CETHOSIA CYDIPPE (NEW SUBSPECIES)  - unmounted butterfly,https://www.ebay.com/itm/224886242730?hash=item345c43bdaa:g:fdQAAOSw6mJiL28q,https://i.ebayimg.com/thumbs/images/g/fdQAAOSw6mJiL28q/s-l225.jpg,$21.99,Mar-22 10:25,Unknown,Unknown,Unknown,Instant,0,4,
item54b1d9b20a,"CETHOSIA CYDIPPE CLAUDILLA FEMALE FROM YAHUKIMO, IRIAN JAYA",https://www.ebay.com/itm/363761086986?hash=item54b1d9b20a:g:-kwAAOSwKH1iLMau,https://i.ebayimg.com/thumbs/images/g/-kwAAOSwKH1iLMau/s-l225.jpg,$4.24,Mar-19 10:54,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Mar 19, 2022

10:54:15 PDT"
item5712984a54,"CETHOSIA CYDIPPE CLAUDILLA MALE FROM TIMIKA, IRIAN JAYA",https://www.ebay.com/itm/373974125140?hash=item5712984a54:g:9mkAAOSwpUBiLMaT,https://i.ebayimg.com/thumbs/images/g/9mkAAOSwpUBiLMaT/s-l225.jpg,$3.24,Mar-19 10:53,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Mar 19, 2022

10:53:18 PDT"
item571298487b,"CETHOSIA CYDIPPE DAMASIPPE MALE FROM FAK-FAK, IRIAN JAYA",https://www.ebay.com/itm/373974124667?hash=item571298487b:g:r1IAAOSwOqpiLMZn,https://i.ebayimg.com/thumbs/images/g/r1IAAOSwOqpiLMZn/s-l225.jpg,$2.02,Mar-19 10:52,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Mar 19, 2022

10:52:00 PDT"
item54b1d9af71,CETHOSIA CYDIPPE INSULATA MALE FROM KEI ISL.,https://www.ebay.com/itm/363761086321?hash=item54b1d9af71:g:OloAAOSwBrJiLMZK,https://i.ebayimg.com/thumbs/images/g/OloAAOSwBrJiLMZK/s-l225.jpg,$2.25,Mar-19 10:51,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Mar 19, 2022

10:51:14 PDT"
item1d0a0bdeb9,CETHOSIA CYDIPPE INSULATA - FEMALE - unmounted butterfly,https://www.ebay.com/itm/124722601657?hash=item1d0a0bdeb9:g:C3cAAOSwaY1gnSMI,https://i.ebayimg.com/thumbs/images/g/C3cAAOSwaY1gnSMI/s-l225.jpg,$14.99,Mar-17 11:29,"Salzburg, Austria",reisenpanama,https://www.ebay.com/usr/reisenpanama?_trksid=p2047675.l2559,Instant,0,3,
