id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3d3047e5c9,"Unmounted Butterfly/Nymphalidae - Charaxes aristogiton, male, China",https://www.ebay.com/itm/262803023305?hash=item3d3047e5c9:g:l8EAAOSwBahVSpNF,https://i.ebayimg.com/thumbs/images/g/l8EAAOSwBahVSpNF/s-l225.jpg,$2.00,May-28 06:19,Unknown,Unknown,Unknown,Instant,0,20,
item491c0a3182,collection 5 pcs folded real butterfly nymphalidae charaxes aristogiton CHINA,https://www.ebay.com/itm/314003042690?hash=item491c0a3182:g:EZgAAOSwUaJh4Cs1,https://i.ebayimg.com/thumbs/images/g/EZgAAOSwUaJh4Cs1/s-l225.jpg,$0.99,May-26 07:20,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1,"May 26, 2022

07:20:15 PDT"
item424f5b068f,COLLECTION 5 PCS unmounted butterfly Nymphalidae charaxes aristogiton CHINA,https://www.ebay.com/itm/284799207055?hash=item424f5b068f:g:rCsAAOSwuT9hrdbF,https://i.ebayimg.com/thumbs/images/g/rCsAAOSwuT9hrdbF/s-l225.jpg,$0.99,May-11 07:26,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1,"May 11, 2022

07:26:18 PDT"
item491a231286,5 pcs unmounted folded real butterfly Nymphalidae charaxes aristogiton CHINA,https://www.ebay.com/itm/313971118726?hash=item491a231286:g:i6oAAOSwCmliHPag,https://i.ebayimg.com/thumbs/images/g/i6oAAOSwCmliHPag/s-l225.jpg,$0.99,May-02 07:32,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1,"May 02, 2022

07:32:44 PDT"
item424d3fa5ab,COLLECTION 5 PCS unmounted butterfly Nymphalidae charaxes aristogiton CHINA,https://www.ebay.com/itm/284763858347?hash=item424d3fa5ab:g:rCsAAOSwuT9hrdbF,https://i.ebayimg.com/thumbs/images/g/rCsAAOSwuT9hrdbF/s-l225.jpg,$0.99,Apr-20 05:52,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1,"Apr 20, 2022

05:52:27 PDT"
item49185898a4,5 pcs unmounted folded real butterfly Nymphalidae charaxes aristogiton CHINA,https://www.ebay.com/itm/313941072036?hash=item49185898a4:g:i6oAAOSwCmliHPag,https://i.ebayimg.com/thumbs/images/g/i6oAAOSwCmliHPag/s-l225.jpg,$4.25,Apr-09 16:09,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,2,1,"Apr 09, 2022

16:09:25 PDT"
item4916787ed9,COLLECTION 5 PCS unmounted butterfly Nymphalidae charaxes aristogiton CHINA,https://www.ebay.com/itm/313909608153?hash=item4916787ed9:g:rCsAAOSwuT9hrdbF,https://i.ebayimg.com/thumbs/images/g/rCsAAOSwuT9hrdbF/s-l225.jpg,$2.75,Mar-18 06:09,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,3,1,"Mar 18, 2022

06:09:08 PDT"
item4b632095f7,WHOLESALE 50 PCS unmounted butterfly Nymphalidae charaxes aristogiton A1 A1-,https://www.ebay.com/itm/323785627127?hash=item4b632095f7:g:GTQAAOSwe0tcbNZk,https://i.ebayimg.com/thumbs/images/g/GTQAAOSwe0tcbNZk/s-l225.jpg,$39.00,Mar-14 02:35,Unknown,Unknown,Unknown,Instant,0,2,
item491597cff8,5 pcs unmounted folded real butterfly Nymphalidae charaxes aristogiton CHINA,https://www.ebay.com/itm/313894883320?hash=item491597cff8:g:i6oAAOSwCmliHPag,https://i.ebayimg.com/thumbs/images/g/i6oAAOSwCmliHPag/s-l225.jpg,$3.25,Mar-07 08:22,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,5,1,"Mar 07, 2022

08:22:57 PST"
item4247b03f23,insect unmounted folded real butterfly Nymphalidae charaxes aristogiton CHINA,https://www.ebay.com/itm/284670574371?hash=item4247b03f23:g:rCsAAOSwuT9hrdbF,https://i.ebayimg.com/thumbs/images/g/rCsAAOSwuT9hrdbF/s-l225.jpg,$0.10,Mar-04 18:31,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1,"Mar 04, 2022

18:31:50 PST"
