id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4dde934d92,Butterfly - 1 x mounted female Charaxes protoclea azota (V.Good A1-),https://www.ebay.com/itm/334446677394?hash=item4dde934d92:g:bqkAAOSw5~BiGnz6,https://i.ebayimg.com/thumbs/images/g/bqkAAOSw5~BiGnz6/s-l225.jpg,$13.86,May-29 10:09,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,6,1,"May 29, 2022

10:09:40 PDT"
item4dde9349b4,Butterfly - 1 x mounted male Charaxes protoclea azota (V.Good A1-),https://www.ebay.com/itm/334446676404?hash=item4dde9349b4:g:UR4AAOSwFxBiGn2~,https://i.ebayimg.com/thumbs/images/g/UR4AAOSwFxBiGn2~/s-l225.jpg,$5.29,May-29 10:07,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,2,1,"May 29, 2022

10:07:49 PDT"
item3da1982bdb,Flame-bordered Emperor Butterfly Charaxes protoclea protoclea Male Folded FAST,https://www.ebay.com/itm/264704109531?hash=item3da1982bdb:g:GicAAOSwEDFdzr8y,https://i.ebayimg.com/thumbs/images/g/GicAAOSwEDFdzr8y/s-l225.jpg,$3.99,May-27 17:46,Unknown,Unknown,Unknown,Instant,0,29,
item345949b81e,Rca entomology nymphalidae commun protoclea protoclea couple 1 pair,https://www.ebay.com/itm/224836302878?hash=item345949b81e:g:rSAAAOSwg3diCMYI,https://i.ebayimg.com/thumbs/images/g/rSAAAOSwg3diCMYI/s-l225.jpg,$16.07,May-08 09:49,"Trosly-Breuil, France",hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Instant,0,2,
item1f38780583,"Butterfly - Charaxes protoclea azota? Male - Mt Kilimanjaro, Tanzania",https://www.ebay.com/itm/134091376003?hash=item1f38780583:g:EZsAAOSwtmViT0nk,https://i.ebayimg.com/thumbs/images/g/EZsAAOSwtmViT0nk/s-l225.jpg,$1.70,Apr-24 13:53,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Apr 24, 2022

13:53:37 PDT"
item1f3877e657,"Butterfly -  Charaxes protoclea - Pair - Kyanyawara Forest, Uganda",https://www.ebay.com/itm/134091368023?hash=item1f3877e657:g:6o8AAOSwdYFiYUAT,https://i.ebayimg.com/thumbs/images/g/6o8AAOSwdYFiYUAT/s-l225.jpg,$4.35,Apr-24 13:45,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Apr 24, 2022

13:45:02 PDT"
item21a41eb4cc,"ENTOMOLOGY, BUTTERFLY: CHARAXES PROTOCLEA PROTONOTHODES PAIR DRC",https://www.ebay.com/itm/144487396556?hash=item21a41eb4cc:g:BoMAAOSwHy1iSd94,https://i.ebayimg.com/thumbs/images/g/BoMAAOSwHy1iSd94/s-l225.jpg,$11.50,Apr-10 10:55,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,6,1,"Apr 10, 2022

10:55:18 PDT"
item46df19a7c6,Real Dried Insect/Butterfly/Moth Non set B8245 V/Rare Female Charaxes protoclea,https://www.ebay.com/itm/304390711238?hash=item46df19a7c6:g:~FQAAOSwBhRiLn7w,https://i.ebayimg.com/thumbs/images/g/~FQAAOSwBhRiLn7w/s-l225.jpg,$8.21,Apr-03 15:47,Unknown,Unknown,Unknown,Instant,0,1,
item1f372497b7,"Butterfly - Charaxes protoclea azota? Male - Mt Kilimanjaro, Tanzania",https://www.ebay.com/itm/134069131191?hash=item1f372497b7:g:HY4AAOSwjaZiRhIS,https://i.ebayimg.com/thumbs/images/g/HY4AAOSwjaZiRhIS/s-l225.jpg,$1.70,Apr-03 14:37,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,3,1,"Apr 03, 2022

14:37:14 PDT"
item5df565c516,"Butterflie Charaxes protoclea catenaria ? female  from Mpanda, Tanzania",https://www.ebay.com/itm/403549046038?hash=item5df565c516:g:8h4AAOSwEGJiNFbO,https://i.ebayimg.com/thumbs/images/g/8h4AAOSwEGJiNFbO/s-l225.jpg,$1.90,Mar-27 14:49,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,1,1,"Mar 27, 2022

14:49:56 PDT"
