id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item21a775482a,PAPILIONIDAE Eurytides protesilaus protesilaus MALE from PERU mounted #782,https://www.ebay.com/itm/144543402026?hash=item21a775482a:g:uiEAAOSwWC1iYIKC,https://i.ebayimg.com/thumbs/images/g/uiEAAOSwWC1iYIKC/s-l225.jpg,$5.00,May-14 11:18,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,7,1,"May 14, 2022

11:18:31 PDT"
item3b788ec870,"Unmounted Butterfly / Papilionidae - Eurytides protesilaus protesilaus,...",https://www.ebay.com/itm/255425693808?hash=item3b788ec870:g:-64AAOSwA9liKHlB,https://i.ebayimg.com/thumbs/images/g/-64AAOSwA9liKHlB/s-l225.jpg,$4.17,Apr-27 08:31,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,2,
item1f3855f38c,"ENTOMOLOGY, BUTTERFLY: EURYTIDES PROTESILAUS SSP ? MALE VENEZUELA",https://www.ebay.com/itm/134089143180?hash=item1f3855f38c:g:nx8AAOSwNshiXEvZ,https://i.ebayimg.com/thumbs/images/g/nx8AAOSwNshiXEvZ/s-l225.jpg,$6.50,Apr-24 10:18,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,2,1,"Apr 24, 2022

10:18:27 PDT"
item54b439aa07,10 Eurytides protesilaus in A1 condition,https://www.ebay.com/itm/363800930823?hash=item54b439aa07:g:o7gAAOSwTcNiV1vX,https://i.ebayimg.com/thumbs/images/g/o7gAAOSwTcNiV1vX/s-l225.jpg,$21.99,Apr-18 17:30,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,1,1,"Apr 18, 2022

17:30:10 PDT"
item1f37712613,"ENTOMOLOGY, BUTTERFLY: EURYTIDES PROTESILAUS SSP ? MALE BOLIVIA",https://www.ebay.com/itm/134074148371?hash=item1f37712613:g:M8QAAOSwrIxiSdsM,https://i.ebayimg.com/thumbs/images/g/M8QAAOSwrIxiSdsM/s-l225.jpg,$4.99,Apr-10 10:36,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

10:36:25 PDT"
item5711af87ad,"Eurytides protesilaus/telesilaus , UNMOUNTED butterfly",https://www.ebay.com/itm/373958870957?hash=item5711af87ad:g:lnMAAOSwvRNiIOvo,https://i.ebayimg.com/thumbs/images/g/lnMAAOSwvRNiIOvo/s-l225.jpg,$3.90,Mar-30 22:41,Unknown,Unknown,Unknown,Instant,0,1,
item21a285e825,PAPILIONIDAE Eurytides protesilaus protesilaus MALE from PERU mounted #249,https://www.ebay.com/itm/144460605477?hash=item21a285e825:g:paUAAOSwHxpiLnB6,https://i.ebayimg.com/thumbs/images/g/paUAAOSwHxpiLnB6/s-l225.jpg,$2.25,Mar-21 12:48,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,2,1,"Mar 21, 2022

12:48:17 PDT"
item2d220768f4,Eurytides protesilaus Folded Butterfly Taxidermy REAL Unmounted,https://www.ebay.com/itm/193844439284?hash=item2d220768f4:g:7KkAAOSw30hf-3M8,https://i.ebayimg.com/thumbs/images/g/7KkAAOSw30hf-3M8/s-l225.jpg,$3.75,Mar-15 23:02,Unknown,Unknown,Unknown,Instant,0,4,
item54b1a3e1f0,10 Eurytides protesilaus in A1 condition,https://www.ebay.com/itm/363757560304?hash=item54b1a3e1f0:g:sN0AAOSwQIdiKPfb,https://i.ebayimg.com/thumbs/images/g/sN0AAOSwQIdiKPfb/s-l225.jpg,$27.00,Mar-14 18:24,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,2,1,"Mar 14, 2022

18:24:45 PDT"
item1cc02a03f5,EURYTIDES (PROTESILAUS) TELESILAUS - unmounted butterfly,https://www.ebay.com/itm/123483063285?hash=item1cc02a03f5:g:VUUAAOSw1Tdb5-mP,https://i.ebayimg.com/thumbs/images/g/VUUAAOSw1Tdb5-mP/s-l225.jpg,$5.99,Mar-09 05:07,"Salzburg, Austria",reisenpanama,https://www.ebay.com/usr/reisenpanama?_trksid=p2047675.l2559,Instant,0,5,
item54b128248d,10 Eurytides protesilaus in A1 condition,https://www.ebay.com/itm/363749450893?hash=item54b128248d:g:PLoAAOSwUaViH~F5,https://i.ebayimg.com/thumbs/images/g/PLoAAOSwUaViH~F5/s-l225.jpg,$26.55,Mar-07 17:36,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,2,1,"Mar 07, 2022

17:36:09 PST"
