id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3db1e85c78,"Unmounted Butterfly/Papilionidae - Graphium doson axion, male, Thailand",https://www.ebay.com/itm/264977800312?hash=item3db1e85c78:g:m8UAAOSwJxVf2NXe,https://i.ebayimg.com/thumbs/images/g/m8UAAOSwJxVf2NXe/s-l225.jpg,$2.28,May-28 06:19,Unknown,Unknown,Unknown,Instant,0,1,
item21a7929ffe,PAPILIONIDAE Graphium doson nauta / Arisbe doson nauta MALE Philippines #880,https://www.ebay.com/itm/144545325054?hash=item21a7929ffe:g:rF0AAOSw-zlh~t3t,https://i.ebayimg.com/thumbs/images/g/rF0AAOSw-zlh~t3t/s-l225.jpg,$1.99,May-16 12:46,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,1,1,"May 16, 2022

12:46:04 PDT"
item490b02283a,collection unmounted butterfly Graphium doson postianum CHINA A1,https://www.ebay.com/itm/313717303354?hash=item490b02283a:g:NukAAOSwKXFbMach,https://i.ebayimg.com/thumbs/images/g/NukAAOSwKXFbMach/s-l225.jpg,$1.29,May-16 00:21,Unknown,Unknown,Unknown,Instant,0,1,
item54b4e28042,GRAPHIUM DOSON SANKAPURUM FEMALE FROM BAWEAN ISL.,https://www.ebay.com/itm/363811995714?hash=item54b4e28042:g:8XoAAOSwWf9iYty7,https://i.ebayimg.com/thumbs/images/g/8XoAAOSwWf9iYty7/s-l225.jpg,$1.50,May-07 09:56,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"May 07, 2022

09:56:34 PDT"
item571649c4ce,GRAPHIUM DOSON KANGEANUS MALE FROM KANGEAN ISL.,https://www.ebay.com/itm/374036088014?hash=item571649c4ce:g:cXYAAOSwumtiYtya,https://i.ebayimg.com/thumbs/images/g/cXYAAOSwumtiYtya/s-l225.jpg,$1.50,May-07 09:55,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"May 07, 2022

09:55:20 PDT"
item21a5c237ef,PAPILIONIDAE Graphium doson nauta / Arisbe doson nauta MALE Philippines #243,https://www.ebay.com/itm/144514889711?hash=item21a5c237ef:g:uQgAAOSwMGZiXHpA,https://i.ebayimg.com/thumbs/images/g/uQgAAOSwMGZiXHpA/s-l225.jpg,$1.99,Apr-27 14:27,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,1,1,"Apr 27, 2022

14:27:23 PDT"
item21a5c1c15c,PAPILIONIDAE Graphium doson nauta / Arisbe doson nauta MALE Philippines #951,https://www.ebay.com/itm/144514859356?hash=item21a5c1c15c:g:~nMAAOSwnk9iXHp~,https://i.ebayimg.com/thumbs/images/g/~nMAAOSwnk9iXHp~/s-l225.jpg,$1.99,Apr-27 12:07,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,1,1,"Apr 27, 2022

12:07:45 PDT"
item21a3e39181,PAPILIONIDAE Graphium doson nauta / Arisbe doson nauta MALE Philippines #789,https://www.ebay.com/itm/144483520897?hash=item21a3e39181:g:crQAAOSwzBthunT1,https://i.ebayimg.com/thumbs/images/g/crQAAOSwzBthunT1/s-l225.jpg,$1.99,Apr-07 14:07,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,1,1,"Apr 07, 2022

14:07:00 PDT"
item54b2e6b52c,GRAPHIUM DOSON POSTIANUS FEMALE FROM TAIWAN,https://www.ebay.com/itm/363778716972?hash=item54b2e6b52c:g:ad8AAOSwD9FiQHl5,https://i.ebayimg.com/thumbs/images/g/ad8AAOSwD9FiQHl5/s-l225.jpg,$39.74,Apr-03 11:32,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,13,1,"Apr 03, 2022

11:32:32 PDT"
item5713ced397,GRAPHIUM DOSON POSTIANUS MALE FROM TAIWAN,https://www.ebay.com/itm/373994476439?hash=item5713ced397:g:U34AAOSwDpRiQHmV,https://i.ebayimg.com/thumbs/images/g/U34AAOSwDpRiQHmV/s-l225.jpg,$13.50,Apr-03 11:31,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Apr 03, 2022

11:31:31 PDT"
