id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item54b739d04c,5 Graphium weiskei in A- condition,https://www.ebay.com/itm/363851272268?hash=item54b739d04c:g:FO8AAOSw~Xhijr-o,https://i.ebayimg.com/thumbs/images/g/FO8AAOSw~Xhijr-o/s-l225.jpg,$18.99,May-30 17:36,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,1,1,"May 30, 2022

17:36:47 PDT"
item54b7288628,10 Graphium weiskei in A1 condition,https://www.ebay.com/itm/363850139176?hash=item54b7288628:g:vLYAAOSwYz5ijX0h,https://i.ebayimg.com/thumbs/images/g/vLYAAOSwYz5ijX0h/s-l225.jpg,$47.00,May-30 17:33,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,2,1,"May 30, 2022

17:33:38 PDT"
item54b7288036,5 Graphium weiskei in A1 condition,https://www.ebay.com/itm/363850137654?hash=item54b7288036:g:RzgAAOSwsAFijXuh,https://i.ebayimg.com/thumbs/images/g/RzgAAOSwsAFijXuh/s-l225.jpg,$22.99,May-30 17:30,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,1,1,"May 30, 2022

17:30:24 PDT"
item369c8ec228,"Entomology, BUTTERFLY: GRAPHIUM WHITE CAUSERIAL ARFECH MTS.",https://www.ebay.com/itm/234554835496?hash=item369c8ec228:g:iKoAAOSwgD9igkDW,https://i.ebayimg.com/thumbs/images/g/iKoAAOSwgD9igkDW/s-l225.jpg,$7.49,May-27 12:52,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Instant,0,1,
item1f3844245e,Acrylic Graphium Weiskei Butterfly Earrings Dangle Gifts Insects Charms Jewelry,https://www.ebay.com/itm/134087976030?hash=item1f3844245e:g:n8UAAOSw9IxiWtiy,https://i.ebayimg.com/thumbs/images/g/n8UAAOSw9IxiWtiy/s-l225.jpg,$5.99,May-26 08:09,Unknown,Unknown,Unknown,Instant,0,1,
item2416c05459,Purple Spotted Swallowtail Real Framed Butterfly Graphium weiskei,https://www.ebay.com/itm/155000525913?hash=item2416c05459:g:tQYAAOSwXmJihZdq,https://i.ebayimg.com/thumbs/images/g/tQYAAOSwXmJihZdq/s-l225.jpg,$39.99,May-23 07:07,"Hot Springs, South Dakota, United States",butterfly-designs,https://www.ebay.com/usr/butterfly-designs?_trksid=p2047675.l2559,Instant,0,1,
item423d9024b6,"Graphium weiskei, Lot of 10 A1 RARE, Unmounted, Lavender,Pink, Green, Blue Males",https://www.ebay.com/itm/284500698294?hash=item423d9024b6:g:Ci0AAOSw7khhdD82,https://i.ebayimg.com/thumbs/images/g/Ci0AAOSw7khhdD82/s-l225.jpg,$59.95,May-21 18:03,Unknown,Unknown,Unknown,Instant,0,2,
item21a78b2c71,"+ Entomology, BUTTERFLY: 4X GRAPHIUM WHITE KEY Calf ARFAK + +",https://www.ebay.com/itm/144544836721?hash=item21a78b2c71:g:S0IAAOSwwZxid~iW,https://i.ebayimg.com/thumbs/images/g/S0IAAOSwwZxid~iW/s-l225.jpg,$16.07,May-15 10:06,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,13,1,"May 15, 2022

10:06:37 PDT"
item369be6acae,"Entomology, BUTTERFLY: GRAPHIUM WHITE CAUSERIAL WORKOUT ARFECH #16",https://www.ebay.com/itm/234543819950?hash=item369be6acae:g:U3IAAOSwXu1id9T1,https://i.ebayimg.com/thumbs/images/g/U3IAAOSwXu1id9T1/s-l225.jpg,$9.13,May-15 09:47,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,4,1,"May 15, 2022

09:47:47 PDT"
item422fc91df4,"Graphium weiskei, Lot of 5 A1 RARE, Unmounted, Lavender,Pink, Green, Blue Males",https://www.ebay.com/itm/284269551092?hash=item422fc91df4:g:C~0AAOSwyfRgg0oQ,https://i.ebayimg.com/thumbs/images/g/C~0AAOSwyfRgg0oQ/s-l225.jpg,$31.95,May-14 13:49,Unknown,Unknown,Unknown,Instant,0,14,
