id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1d294c24e7,Brimstone Wing Taxidermy Butterfly in Clear Glass Frame (Hebomoia leucippe),https://www.ebay.com/itm/125246907623?hash=item1d294c24e7:g:ht8AAOSwVZBij7ok,https://i.ebayimg.com/thumbs/images/g/ht8AAOSwVZBij7ok/s-l225.jpg,$49.14,May-31 08:10,Unknown,Unknown,Unknown,Instant,0,1,
item1d294c36d6,Brimstone Wing Taxidermy Butterfly in Baroque Style Frame (Hebomoia leucippe),https://www.ebay.com/itm/125246912214?hash=item1d294c36d6:g:RHEAAOSwbDRij7ta,https://i.ebayimg.com/thumbs/images/g/RHEAAOSwbDRij7ta/s-l225.jpg,$49.14,May-31 01:37,Unknown,Unknown,Unknown,Instant,0,1,
item56e2a2a0fe,"Hebomoia leucippe ssp. leucippe ,UNMOUNTED butterfly",https://www.ebay.com/itm/373169496318?hash=item56e2a2a0fe:g:zzUAAOSwCNlb7Dri,https://i.ebayimg.com/thumbs/images/g/zzUAAOSwCNlb7Dri/s-l225.jpg,$5.50,May-22 12:12,Unknown,Unknown,Unknown,Instant,0,5,
item5919d393c6,Hebomoia leucippe ONE REAL BUTTERFLY ORANGE YELLOW UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/382685385670?hash=item5919d393c6:g:dU0AAOSwsIFcjp-I,https://i.ebayimg.com/thumbs/images/g/dU0AAOSwsIFcjp-I/s-l225.jpg,$6.00,May-19 18:50,Unknown,Unknown,Unknown,Instant,0,28,
item21a7927d2f,PIERIDAE Hebomoia leucippe daemonis MALE from Ceram mounted #,https://www.ebay.com/itm/144545316143?hash=item21a7927d2f:g:cFkAAOSwzDBicpJD,https://i.ebayimg.com/thumbs/images/g/cFkAAOSwzDBicpJD/s-l225.jpg,$10.00,May-16 12:04,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,11,1,"May 16, 2022

12:04:37 PDT"
item21a7927d29,PIERIDAE Hebomoia leucippe daemonis FEMALE from Ceram mounted #102,https://www.ebay.com/itm/144545316137?hash=item21a7927d29:g:D4gAAOSwxRNicpIb,https://i.ebayimg.com/thumbs/images/g/D4gAAOSwxRNicpIb/s-l225.jpg,$14.50,May-16 12:03,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,14,1,"May 16, 2022

12:03:53 PDT"
item46e24bb5aa,Insect/Butterfly/Moth Set Spread B8339 Rare X/Large Orange Hebomoia leucippe,https://www.ebay.com/itm/304444323242?hash=item46e24bb5aa:g:kLMAAOSwmpxiWMqZ,https://i.ebayimg.com/thumbs/images/g/kLMAAOSwmpxiWMqZ/s-l225.jpg,$10.65,May-16 04:07,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item3d523b34f6,"Unmounted Butterfly/Pieridae - Hebomoia leucippe daemonis, male, Indonesia",https://www.ebay.com/itm/263372616950?hash=item3d523b34f6:g:lRsAAOSw-olaKVgt,https://i.ebayimg.com/thumbs/images/g/lRsAAOSw-olaKVgt/s-l225.jpg,$5.13,May-09 00:03,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,2,
item3dc22f5f21,"Unmounted Butterfly / Pieridae - Hebomoia leucippe daemonis, male, Indonesia",https://www.ebay.com/itm/265250889505?hash=item3dc22f5f21:g:ok8AAOSwA~9hCBVn,https://i.ebayimg.com/thumbs/images/g/ok8AAOSwA~9hCBVn/s-l225.jpg,$4.90,May-09 00:03,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,1,
item21a5c1d0c9,PIERIDAE Hebomoia leucippe daemonis MALE from Ceram mounted #42,https://www.ebay.com/itm/144514863305?hash=item21a5c1d0c9:g:3N8AAOSw6fpiW1t0,https://i.ebayimg.com/thumbs/images/g/3N8AAOSw6fpiW1t0/s-l225.jpg,$10.00,Apr-27 13:28,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,9,1,"Apr 27, 2022

13:28:31 PDT"
item21a5c1d0ec,PIERIDAE Hebomoia leucippe daemonis FEMALE from Ceram mounted #607,https://www.ebay.com/itm/144514863340?hash=item21a5c1d0ec:g:cagAAOSwQUNiW1vr,https://i.ebayimg.com/thumbs/images/g/cagAAOSwQUNiW1vr/s-l225.jpg,$20.00,Apr-27 13:27,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,19,1,"Apr 27, 2022

13:27:53 PDT"
item44aaf0331a,Insect/Butterfly/Moth Set Spread B8345 Rare X/Large Orange Hebomoia leucippe,https://www.ebay.com/itm/294925644570?hash=item44aaf0331a:g:dQQAAOSwATxiWM~o,https://i.ebayimg.com/thumbs/images/g/dQQAAOSwATxiWM~o/s-l225.jpg,$11.80,Apr-25 02:50,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item1d1c4d7ea8,HEBOMOIA LEUCIPPE LEUCIPPE - unmounted FEMALE - good A-,https://www.ebay.com/itm/125028892328?hash=item1d1c4d7ea8:g:854AAOSwPCVX~Ryj,https://i.ebayimg.com/thumbs/images/g/854AAOSwPCVX~Ryj/s-l225.jpg,$6.99,Apr-17 19:58,"Salzburg, Austria",reisenpanama,https://www.ebay.com/usr/reisenpanama?_trksid=p2047675.l2559,Instant,0,3,
item1aa44f8116,Butterfly/Moth Pieridae Hebomoia leucippe detani male,https://www.ebay.com/itm/114425823510?hash=item1aa44f8116:g:2hUAAOSwUlxfbELc,https://i.ebayimg.com/thumbs/images/g/2hUAAOSwUlxfbELc/s-l225.jpg,$123.51,Apr-17 13:01,"Kraków, Poland",ento_mol,https://www.ebay.com/usr/ento_mol?_trksid=p2047675.l2559,Instant,0,1,
item343c2dbf2b,HEBOMOIA LEUCIPPE DAEMONIS - unmounted butterfly,https://www.ebay.com/itm/224347930411?hash=item343c2dbf2b:g:WL0AAOSwbdpWZFgn,https://i.ebayimg.com/thumbs/images/g/WL0AAOSwbdpWZFgn/s-l225.jpg,$5.99,Apr-12 07:12,Unknown,Unknown,Unknown,Instant,0,2,
item21a3e39199,PIERIDAE Hebomoia leucippe daemonis MALE from Ceram mounted #542,https://www.ebay.com/itm/144483520921?hash=item21a3e39199:g:6PkAAOSwJwZiPiWo,https://i.ebayimg.com/thumbs/images/g/6PkAAOSwJwZiPiWo/s-l225.jpg,$8.50,Apr-07 14:41,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,9,1,"Apr 07, 2022

14:41:15 PDT"
item21a3e391cc,PIERIDAE Hebomoia leucippe daemonis FEMALE from Ceram mounted #105,https://www.ebay.com/itm/144483520972?hash=item21a3e391cc:g:tAsAAOSw6fpiP2zL,https://i.ebayimg.com/thumbs/images/g/tAsAAOSw6fpiP2zL/s-l225.jpg,$20.50,Apr-07 14:40,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,23,1,"Apr 07, 2022

14:40:38 PDT"
item23ee1d9201,"Hebomoia leucippe daemonis Fruhstorfer, 1907 Indonesia, Ceram 83mm50a",https://www.ebay.com/itm/154318770689?hash=item23ee1d9201:g:h4UAAOSw9axgHCoz,https://i.ebayimg.com/thumbs/images/g/h4UAAOSw9axgHCoz/s-l225.jpg,$10.43,Mar-28 10:08,"Gotelp, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1,
item3452550faf,HEBOMOIA LEUCIPPE LEUCIPPE - unmounted FEMALE,https://www.ebay.com/itm/224719605679?hash=item3452550faf:g:854AAOSwPCVX~Ryj,https://i.ebayimg.com/thumbs/images/g/854AAOSwPCVX~Ryj/s-l225.jpg,$17.99,Mar-28 10:08,Unknown,Unknown,Unknown,Instant,0,1,
item21a285f458,PIERIDAE Hebomoia leucippe daemonis MALE from Ceram mounted #100,https://www.ebay.com/itm/144460608600?hash=item21a285f458:g:Av0AAOSwEOtiH9ja,https://i.ebayimg.com/thumbs/images/g/Av0AAOSwEOtiH9ja/s-l225.jpg,$7.00,Mar-21 13:58,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,7,1,"Mar 21, 2022

13:58:44 PDT"
item21a285f47b,PIERIDAE Hebomoia leucippe daemonis FEMALE from Ceram mounted #945,https://www.ebay.com/itm/144460608635?hash=item21a285f47b:g:TaUAAOSwkp9iH9j7,https://i.ebayimg.com/thumbs/images/g/TaUAAOSwkp9iH9j7/s-l225.jpg,$9.50,Mar-21 13:57,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,7,1,"Mar 21, 2022

13:57:24 PDT"
item21a28099f2,"ENTOMOLOGY, BUTTERFLY: HEBOMOIA LEUCIPPE DAEMONIS MALE CERAM ISL",https://www.ebay.com/itm/144460257778?hash=item21a28099f2:g:TN8AAOSwQrViLj~G,https://i.ebayimg.com/thumbs/images/g/TN8AAOSwQrViLj~G/s-l225.jpg,$4.99,Mar-20 12:02,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1,"Mar 20, 2022

12:02:38 PDT"
item21a280970c,"ENTOMOLOGY, BUTTERFLY: HEBOMOIA LEUCIPPE DETAANI MALE PELENG ISL RARE",https://www.ebay.com/itm/144460257036?hash=item21a280970c:g:XR8AAOSwFPliLj-i,https://i.ebayimg.com/thumbs/images/g/XR8AAOSwFPliLj-i/s-l225.jpg,$50.00,Mar-20 12:02,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,30,1,"Mar 20, 2022

12:02:02 PDT"
item423f67403d,"Hebomoia leucippe - Lot of 5 A1 VERY LARGE, COLORFUL SPECIMENS, PAPERED",https://www.ebay.com/itm/284531572797?hash=item423f67403d:g:nBsAAOSwsoZhlA5F,https://i.ebayimg.com/thumbs/images/g/nBsAAOSwsoZhlA5F/s-l225.jpg,$24.95,Mar-19 22:36,Unknown,Unknown,Unknown,Instant,0,2,
