id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item21a7927cd8,NYMPHALIDAE Hypolimnas alimena MALE from Ceram mounted #387,https://www.ebay.com/itm/144545316056?hash=item21a7927cd8:g:aDIAAOSwpQpicq4N,https://i.ebayimg.com/thumbs/images/g/aDIAAOSwpQpicq4N/s-l225.jpg,$10.00,May-16 11:31,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,8,1,"May 16, 2022

11:31:58 PDT"
item21a7927ccf,NYMPHALIDAE Hypolimnas alimena FEMALE from Ceram mounted #153,https://www.ebay.com/itm/144545316047?hash=item21a7927ccf:g:SY4AAOSwVvtiW1k4,https://i.ebayimg.com/thumbs/images/g/SY4AAOSwVvtiW1k4/s-l225.jpg,$6.50,May-16 11:30,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,6,1,"May 16, 2022

11:30:53 PDT"
item46e342b594,"Hypolimnas alimena eligia - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304460510612?hash=item46e342b594:g:8xUAAOSw0iViZrMQ,https://i.ebayimg.com/thumbs/images/g/8xUAAOSw0iViZrMQ/s-l225.jpg,$4.26,May-04 09:13,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,4,1,"May 04, 2022

09:13:48 PDT"
item44a8985ee0,Bugs and Bits Butterfly Real Hypolimnas alimena Black Blue Mounted In Frame Box,https://www.ebay.com/itm/294886334176?hash=item44a8985ee0:g:3aEAAOSwZHRiPedQ,https://i.ebayimg.com/thumbs/images/g/3aEAAOSwZHRiPedQ/s-l225.jpg,$14.77,May-03 07:58,"Hattiesburg, Mississippi, United States",msvix7,https://www.ebay.com/usr/msvix7?_trksid=p2047675.l2559,Instant,0,1,
item46e323c5ae,"Hypolimnas alimena eligia - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304458483118?hash=item46e323c5ae:g:vZkAAOSwRqxiZP1v,https://i.ebayimg.com/thumbs/images/g/vZkAAOSwRqxiZP1v/s-l225.jpg,$9.50,May-02 09:34,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,7,1,"May 02, 2022

09:34:04 PDT"
item21a5c1d0e2,NYMPHALIDAE Hypolimnas alimena MALE from Ceram mounted #215,https://www.ebay.com/itm/144514863330?hash=item21a5c1d0e2:g:bYIAAOSwg8FiW1kK,https://i.ebayimg.com/thumbs/images/g/bYIAAOSwg8FiW1kK/s-l225.jpg,$5.95,Apr-27 12:42,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,4,1,"Apr 27, 2022

12:42:53 PDT"
item1ce3b869ae,HYPOLIMNAS ALIMENA ssp (?) - unmounted butterfly,https://www.ebay.com/itm/124079597998?hash=item1ce3b869ae:g:YJwAAOSwDMNa-wMs,https://i.ebayimg.com/thumbs/images/g/YJwAAOSwDMNa-wMs/s-l225.jpg,$13.99,Apr-09 14:30,"Salzburg, Austria",reisenpanama,https://www.ebay.com/usr/reisenpanama?_trksid=p2047675.l2559,Instant,0,4,
item21a3e391a7,NYMPHALIDAE Hypolimnas alimena MALE from Ceram mounted #565,https://www.ebay.com/itm/144483520935?hash=item21a3e391a7:g:0QMAAOSwxkxiPj-6,https://i.ebayimg.com/thumbs/images/g/0QMAAOSwxkxiPj-6/s-l225.jpg,$10.00,Apr-07 13:44,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,17,1,"Apr 07, 2022

13:44:29 PDT"
item21a3e391c3,NYMPHALIDAE Hypolimnas alimena FEMALE from Ceram mounted #236,https://www.ebay.com/itm/144483520963?hash=item21a3e391c3:g:kp8AAOSwLOViPj~j,https://i.ebayimg.com/thumbs/images/g/kp8AAOSwLOViPj~j/s-l225.jpg,$5.00,Apr-07 13:43,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,10,1,"Apr 07, 2022

13:43:18 PDT"
item1d1ccecc71,HYPOLIMNAS ALIMENA ALIMENA  - unmounted BUTTERFLY,https://www.ebay.com/itm/125037366385?hash=item1d1ccecc71:g:XlYAAOSw9mpaQ7lu,https://i.ebayimg.com/thumbs/images/g/XlYAAOSw9mpaQ7lu/s-l225.jpg,$8.99,Mar-31 02:53,Unknown,Unknown,Unknown,Instant,0,1,
item21a285f45b,NYMPHALIDAE Hypolimnas alimena MALE from Ceram mounted #756,https://www.ebay.com/itm/144460608603?hash=item21a285f45b:g:QKMAAOSwv5JiH-Yq,https://i.ebayimg.com/thumbs/images/g/QKMAAOSwv5JiH-Yq/s-l225.jpg,$8.00,Mar-21 13:23,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,9,1,"Mar 21, 2022

13:23:57 PDT"
item21a285f46e,NYMPHALIDAE Hypolimnas alimena FEMALE from Ceram mounted #803,https://www.ebay.com/itm/144460608622?hash=item21a285f46e:g:ug0AAOSw4NtiH-ZS,https://i.ebayimg.com/thumbs/images/g/ug0AAOSw4NtiH-ZS/s-l225.jpg,$15.50,Mar-21 13:22,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,19,1,"Mar 21, 2022

13:22:35 PDT"
