id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4b81379b6b,Sweet Clover Melilot Dried Leaves & Stems  25g-200g - Melilotus Officinalis,https://www.ebay.com/itm/324290452331?hash=item4b81379b6b:g:-2oAAOSw1lBfwSoz,https://i.ebayimg.com/thumbs/images/g/-2oAAOSw1lBfwSoz/s-l225.jpg,$7.12 to $16.19,May-30 21:39,Unknown,Unknown,Unknown,Instant,0,6,
item3699d1a27c,SBL Homeopathy Melilotus Officinalis (30 ML) (Select Potency),https://www.ebay.com/itm/234508886652?hash=item3699d1a27c:g:kbcAAOSw-NZiWCQX,https://i.ebayimg.com/thumbs/images/g/kbcAAOSw-NZiWCQX/s-l225.jpg,$8.94,May-25 14:08,Unknown,Unknown,Unknown,Instant,0,1,
item4903179a6d,"MELILOT Herb Dried ORGANIC Bulk Tea,Melilotus officinalis Herba",https://www.ebay.com/itm/313584491117?hash=item4903179a6d:g:xUkAAOSwLXFg2iIl,https://i.ebayimg.com/thumbs/images/g/xUkAAOSwLXFg2iIl/s-l225.jpg,$5.95 to $67.38,May-22 16:12,Unknown,Unknown,Unknown,Instant,0,2,
item52697d3f47,"SBL Melilotus Officinalis Dilution 3CH, 6CH, 12CH, 30CH, 200CH & 1000CH- 30ml FS",https://www.ebay.com/itm/353957134151?hash=item52697d3f47:g:r6MAAOSwIpJiGIxY,https://i.ebayimg.com/thumbs/images/g/r6MAAOSwIpJiGIxY/s-l225.jpg,$7.97 to $10.98,May-17 14:08,Unknown,Unknown,Unknown,Instant,0,1,
item2870562d4d,Clover- Yellow Sweet- Melilotus Officinalis- 200 Seeds,https://www.ebay.com/itm/173683387725?hash=item2870562d4d:g:qRMAAOSwvwRcDUWC,https://i.ebayimg.com/thumbs/images/g/qRMAAOSwvwRcDUWC/s-l225.jpg,$2.29,May-15 16:49,Unknown,Unknown,Unknown,Instant,0,152,
item2f73acd49e,"Melilotus officinalis - 500 Seeds (1gram) - Clover, Yellow Sweet",https://www.ebay.com/itm/203804169374?hash=item2f73acd49e:g:mYAAAOSwDNRh8Hkr,https://i.ebayimg.com/thumbs/images/g/mYAAAOSwDNRh8Hkr/s-l225.jpg,$1.98,Apr-24 13:44,Unknown,Unknown,Unknown,Instant,0,1,
item266c7d8d8b,Melilot herb dried leaf sweetclover medicinal incense Melilotus officinalis 1 oz,https://www.ebay.com/itm/165028924811?hash=item266c7d8d8b:g:QsYAAOSwrdxhAHRJ,https://i.ebayimg.com/thumbs/images/g/QsYAAOSwrdxhAHRJ/s-l225.jpg,$6.83,Apr-18 06:00,"Faywood, New Mexico, United States",wyldegarden,https://www.ebay.com/usr/wyldegarden?_trksid=p2047675.l2559,Instant,0,1,
item4166b7175f,3000 YELLOW SWEET CLOVER Melilotus Officinalis Honey Bee Nectar Flower Seeds,https://www.ebay.com/itm/280896149343?hash=item4166b7175f:g:LeIAAOxy6~BR0MHO,https://i.ebayimg.com/thumbs/images/g/LeIAAOxy6~BR0MHO/s-l225.jpg,$3.00,Apr-03 19:53,Unknown,Unknown,Unknown,Instant,0,634,
item4b979e9b0b,Sweetclover dried leaves & stems 300g-2kg - melilotus officinalis,https://www.ebay.com/itm/324666301195?hash=item4b979e9b0b:g:nZwAAOSwseBgvyxb,https://i.ebayimg.com/thumbs/images/g/nZwAAOSwseBgvyxb/s-l225.jpg,$14.89 to $43.55,Mar-27 10:04,Unknown,Unknown,Unknown,Instant,0,2,
item218b19300b,"MELILOT Herb Dried ORGANIC Bulk Tea,Melilotus officinalis Herba",https://www.ebay.com/itm/144067604491?hash=item218b19300b:g:ezQAAOSwirtgvjTd,https://i.ebayimg.com/thumbs/images/g/ezQAAOSwirtgvjTd/s-l225.jpg,$5.21 to $64.07,Mar-24 01:24,Unknown,Unknown,Unknown,Instant,0,6,
