id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4bb71df2c3,Blue Butterfly Morpho aega Brazil Mounted Specimen Iridescent Glass Wood Frame,https://www.ebay.com/itm/325194740419?hash=item4bb71df2c3:g:qGcAAOSwWZJihUOu,https://i.ebayimg.com/thumbs/images/g/qGcAAOSwWZJihUOu/s-l225.jpg,$31.20,May-25 14:19,"Fort Wayne, Indiana, United States",fortwaynesgw,https://www.ebay.com/usr/fortwaynesgw?_trksid=p2047675.l2559,Instant,0,1,
item54b68d0021,"MORPHO AEGA FEMALE FORM PSEUDOCYPRIS FROM JOINVILLE, BRAZIL",https://www.ebay.com/itm/363839946785?hash=item54b68d0021:g:NyAAAOSwA3JigTV1,https://i.ebayimg.com/thumbs/images/g/NyAAAOSwA3JigTV1/s-l225.jpg,$51.00,May-22 11:29,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,18,1,"May 22, 2022

11:29:22 PDT"
item5718c5e6a0,"MORPHO AEGA FEMALE FORM MIXTA FROM JOINVILLE, BRAZIL",https://www.ebay.com/itm/374077777568?hash=item5718c5e6a0:g:eDQAAOSwsaFigTVZ,https://i.ebayimg.com/thumbs/images/g/eDQAAOSwsaFigTVZ/s-l225.jpg,$19.57,May-22 11:28,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,14,1,"May 22, 2022

11:28:36 PDT"
item369c7e2e10,FANTASTIC MORPHO AEGA  MIXTA    FEMALE NYMPHALIIDAE  NYMPHALIDAE BRAZIL,https://www.ebay.com/itm/234553749008?hash=item369c7e2e10:g:HHMAAOSwqwVigTWS,https://i.ebayimg.com/thumbs/images/g/HHMAAOSwqwVigTWS/s-l225.jpg,$43.00,May-22 10:17,"Azay le Rideau, France",ameriana15,https://www.ebay.com/usr/ameriana15?_trksid=p2047675.l2559,Auction,20,1,"May 22, 2022

10:17:25 PDT"
item4dde4e1e2a,FANTASTIC MORPHO AEGA  PSEUDOCYPRIS   FEMALE NYMPHALIIDAE  NYMPHALIDAE BRAZIL,https://www.ebay.com/itm/334442143274?hash=item4dde4e1e2a:g:AycAAOSwO5ZigTVg,https://i.ebayimg.com/thumbs/images/g/AycAAOSwO5ZigTVg/s-l225.jpg,$53.00,May-22 10:16,"Azay le Rideau, France",ameriana15,https://www.ebay.com/usr/ameriana15?_trksid=p2047675.l2559,Auction,14,1,"May 22, 2022

10:16:37 PDT"
item590f8d860b,Morpho aega ONE REAL BUTTERFLY BLUE UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/382513022475?hash=item590f8d860b:g:RIkAAOSwxy5cgYNO,https://i.ebayimg.com/thumbs/images/g/RIkAAOSwxy5cgYNO/s-l225.jpg,$14.00,May-18 21:11,Unknown,Unknown,Unknown,Instant,0,141,
item46e2a7cf28,"MORPHO AEGA female form PSEUDOCYPRIS BRAZIL(not mounted, not pinned)",https://www.ebay.com/itm/304450359080?hash=item46e2a7cf28:g:Q4UAAOSwJjZiXdR0,https://i.ebayimg.com/thumbs/images/g/Q4UAAOSwJjZiXdR0/s-l225.jpg,$74.99,May-18 02:17,Unknown,Unknown,Unknown,Instant,0,2,
item54b6210dc2,"MORPHO AEGA FEMALE FORM PSEUDOCYPRIS (BLUE) FROM JOINVILLE, BRAZIL",https://www.ebay.com/itm/363832872386?hash=item54b6210dc2:g:9yMAAOSwS0BieUoq,https://i.ebayimg.com/thumbs/images/g/9yMAAOSwS0BieUoq/s-l225.jpg,$31.07,May-14 11:04,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,14,1,"May 14, 2022

11:04:37 PDT"
item571820eaa4,"MORPHO AEGA FEMALE FORM BISANTHE (YELLOW) FROM JOINVILLE, BRAZIL",https://www.ebay.com/itm/374066965156?hash=item571820eaa4:g:9r8AAOSwCYRieUoI,https://i.ebayimg.com/thumbs/images/g/9r8AAOSwCYRieUoI/s-l225.jpg,$12.50,May-14 11:03,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1,"May 14, 2022

11:03:03 PDT"
item54b6210bcc,"MORPHO AEGA MALE FROM JOINVILLE, BRAZIL",https://www.ebay.com/itm/363832871884?hash=item54b6210bcc:g:854AAOSwIPpieUne,https://i.ebayimg.com/thumbs/images/g/854AAOSwIPpieUne/s-l225.jpg,$18.27,May-14 11:02,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,18,1,"May 14, 2022

11:02:03 PDT"
