id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2b2cb51ec4,Butterfly  x1 female Nepheronia argia argia  (Ghana) form,https://www.ebay.com/itm/185433661124?hash=item2b2cb51ec4:g:sbwAAOSwudxih44p,https://i.ebayimg.com/thumbs/images/g/sbwAAOSwudxih44p/s-l225.jpg,$3.15,May-29 10:29,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,2,1,"May 29, 2022

10:29:31 PDT"
item1f394eec72,"Butterfly -  Nepheronia argia?   x 2, Uganda",https://www.ebay.com/itm/134105459826?hash=item1f394eec72:g:Bp4AAOSwz21icvWv,https://i.ebayimg.com/thumbs/images/g/Bp4AAOSwz21icvWv/s-l225.jpg,$1.83,May-08 13:54,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"May 08, 2022

13:54:47 PDT"
item1f38c98dc5,"Butterfly -  Nepheronia argia?   x 2, Uganda x 1  & Tanzania x 1",https://www.ebay.com/itm/134096719301?hash=item1f38c98dc5:g:9cwAAOSwNm5iThKT,https://i.ebayimg.com/thumbs/images/g/9cwAAOSwNm5iThKT/s-l225.jpg,$1.95,May-01 14:12,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"May 01, 2022

14:12:58 PDT"
item28cdf61c71,Butterfly  x1 female Nepheronia argia argolisia (Kenya)  form,https://www.ebay.com/itm/175254150257?hash=item28cdf61c71:g:JKkAAOSwpl1iY~7Q,https://i.ebayimg.com/thumbs/images/g/JKkAAOSwpl1iY~7Q/s-l225.jpg,$6.93,May-01 10:09,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,3,1,"May 01, 2022

10:09:10 PDT"
item2b2a8c908d,Butterfly  x1 female Nepheronia argia argia (Ghana)  form,https://www.ebay.com/itm/185397448845?hash=item2b2a8c908d:g:gW0AAOSwedJiY~5m,https://i.ebayimg.com/thumbs/images/g/gW0AAOSwedJiY~5m/s-l225.jpg,$8.89,May-01 10:07,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,3,1,"May 01, 2022

10:07:57 PDT"
item3dbc31f434,"Unmounted Butterfly/Pieridae - Nepheronia argia argia, male, CAR",https://www.ebay.com/itm/265150395444?hash=item3dbc31f434:g:V3YAAOSwzIxgk8qv,https://i.ebayimg.com/thumbs/images/g/V3YAAOSwzIxgk8qv/s-l225.jpg,$1.71,Apr-27 07:59,Unknown,Unknown,Unknown,Instant,0,1,
item2b28ce5471,Butterfly  x1 female Nepheronia argia argolisia (Kenya) yellow form,https://www.ebay.com/itm/185368204401?hash=item2b28ce5471:g:RhwAAOSws1RiSAun,https://i.ebayimg.com/thumbs/images/g/RhwAAOSws1RiSAun/s-l225.jpg,$4.41,Apr-10 09:39,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

09:39:07 PDT"
item2b28ce47f8,Butterfly  x1 female Nepheronia argia argia (Ghana)  form,https://www.ebay.com/itm/185368201208?hash=item2b28ce47f8:g:c8cAAOSwkDBiSAst,https://i.ebayimg.com/thumbs/images/g/c8cAAOSwkDBiSAst/s-l225.jpg,$3.15,Apr-10 09:37,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

09:37:28 PDT"
item1f3707cc31,"Butterfly -  Nepheronia argia?   x 2, Uganda x 1  & Tanzania x 1",https://www.ebay.com/itm/134067244081?hash=item1f3707cc31:g:v30AAOSw1HxhZgDk,https://i.ebayimg.com/thumbs/images/g/v30AAOSw1HxhZgDk/s-l225.jpg,$1.95,Apr-03 14:36,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Apr 03, 2022

14:36:36 PDT"
item5df4baf0a6,"Butterflie Nepheronia argia Female from Mt. Kala, Cameroon",https://www.ebay.com/itm/403537850534?hash=item5df4baf0a6:g:zYcAAOSw2uNiLhHv,https://i.ebayimg.com/thumbs/images/g/zYcAAOSw2uNiLhHv/s-l225.jpg,$6.01,Mar-20 14:30,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,2,1,"Mar 20, 2022

14:30:07 PDT"
item5df4bc4aef,"Butterflie Nepheronia argia  female  # 2 from Mt. Kala, Cameroon",https://www.ebay.com/itm/403537939183?hash=item5df4bc4aef:g:NKEAAOSwodhiLhtL,https://i.ebayimg.com/thumbs/images/g/NKEAAOSwodhiLhtL/s-l225.jpg,$6.05,Mar-20 14:24,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,3,1,"Mar 20, 2022

14:24:01 PDT"
item2b25a82f2a,Butterfly  x1 female Nepheronia argia argia (Ghana)   form,https://www.ebay.com/itm/185315372842?hash=item2b25a82f2a:g:IY4AAOSwyE5iGiAY,https://i.ebayimg.com/thumbs/images/g/IY4AAOSwyE5iGiAY/s-l225.jpg,$22.36,Mar-06 12:22,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,2,1,"Mar 06, 2022

12:22:14 PST"
