id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item57164a9ee7,"PACHLIOPTA ARISTOLOCHIAE INTERPOSITA MALE FROM OKINAWA PR., JAPAN",https://www.ebay.com/itm/374036143847?hash=item57164a9ee7:g:hK8AAOSw519iYurb,https://i.ebayimg.com/thumbs/images/g/hK8AAOSw519iYurb/s-l225.jpg,$1.50,May-07 10:09,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"May 07, 2022

10:09:31 PDT"
item4bb4bf0a1f,UNMOUNTED BUTTERFLIES PACHLIOPTA ARISTOLOCHIAE PAIR.,https://www.ebay.com/itm/325154966047?hash=item4bb4bf0a1f:g:U~MAAOSw0xxiX3pN,https://i.ebayimg.com/thumbs/images/g/U~MAAOSw0xxiX3pN/s-l225.jpg,$7.99,Apr-24 20:15,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"Apr 24, 2022

20:15:47 PDT"
item5714e8d6b2,"PACHLIOPTA ARISTOLOCHIAE INTERPOSITA FEMALE FROM OKINAWA PREF., JAPAN",https://www.ebay.com/itm/374012958386?hash=item5714e8d6b2:g:ZVcAAOSw4EhiUZLZ,https://i.ebayimg.com/thumbs/images/g/ZVcAAOSw4EhiUZLZ/s-l225.jpg,$5.00,Apr-16 09:27,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Apr 16, 2022

09:27:52 PDT"
item5714e8d596,"PACHLIOPTA ARISTOLOCHIAE INTERPOSITA MALE FROM OKINAWA PREF., JAPAN",https://www.ebay.com/itm/374012958102?hash=item5714e8d596:g:1gIAAOSwwz5iUZK-,https://i.ebayimg.com/thumbs/images/g/1gIAAOSwwz5iUZK-/s-l225.jpg,$2.25,Apr-16 09:26,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"Apr 16, 2022

09:26:24 PDT"
item46df6f817b,Real Insect/Butterfly Spread B8178 Rare Pair Papilio/Pachliopta aristolochiae,https://www.ebay.com/itm/304396337531?hash=item46df6f817b:g:CmEAAOSw5CBiGCaC,https://i.ebayimg.com/thumbs/images/g/CmEAAOSw5CBiGCaC/s-l225.jpg,$12.09,Apr-12 15:25,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item54b2d2d0aa,"PACHLIOPTA ARISTOLOCHIAE INTERPOSITA FEMALE FROM OKINAWA PREF., JAPAN",https://www.ebay.com/itm/363777413290?hash=item54b2d2d0aa:g:k4cAAOSw759iPucu,https://i.ebayimg.com/thumbs/images/g/k4cAAOSw759iPucu/s-l225.jpg,$7.50,Apr-02 10:45,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"Apr 02, 2022

10:45:55 PDT"
item54b2d2ca0d,"PACHLIOPTA ARISTOLOCHIAE INTERPOSITA MALE FROM OKINAWA PREF., JAPAN",https://www.ebay.com/itm/363777411597?hash=item54b2d2ca0d:g:RqEAAOSwxutiPucW,https://i.ebayimg.com/thumbs/images/g/RqEAAOSwxutiPucW/s-l225.jpg,$5.50,Apr-02 10:44,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Apr 02, 2022

10:44:57 PDT"
item57132ef557,"PACHLIOPTA ARISTOLOCHIAE INTERPOSITA FEMALE FROM ISHIGAKI ISL., OKINAWA PR., JAP",https://www.ebay.com/itm/373983999319?hash=item57132ef557:g:6FgAAOSwWcZiNfrm,https://i.ebayimg.com/thumbs/images/g/6FgAAOSwWcZiNfrm/s-l225.jpg,$11.00,Mar-26 11:45,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Mar 26, 2022

11:45:57 PDT"
item57132eee18,"PACHLIOPTA ARISTOLOCHIAE INTERPOSITA MALE FROM ISHIGAKI ISL., OKINAWA PR., JAPAN",https://www.ebay.com/itm/373983997464?hash=item57132eee18:g:-ikAAOSwlb5iNfrG,https://i.ebayimg.com/thumbs/images/g/-ikAAOSwlb5iNfrG/s-l225.jpg,$9.00,Mar-26 11:44,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Mar 26, 2022

11:44:25 PDT"
item36973020b5,Entomology Butterfly: Pachliopta Aristolochiae ♂ Malaysia #12,https://www.ebay.com/itm/234464747701?hash=item36973020b5:g:gGUAAOSwxCBiLiIx,https://i.ebayimg.com/thumbs/images/g/gGUAAOSwxCBiLiIx/s-l225.jpg,$2.67,Mar-20 10:41,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,2,1,"Mar 20, 2022

10:41:36 PDT"
