id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item23ef5e2fe5,"Parnassius epaphus nomionides Schulte, 1992 China82c",https://www.ebay.com/itm/154339782629?hash=item23ef5e2fe5:g:Mw4AAOSwoTlgMlUr,https://i.ebayimg.com/thumbs/images/g/Mw4AAOSwoTlgMlUr/s-l225.jpg,$25.66,May-21 10:52,"Gotelp, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1,
item571665e651,"PARNASSIUS EPAPHUS SSP. MALE FROM DULAN COUNTY, QINGHAI, CHINA",https://www.ebay.com/itm/374037931601?hash=item571665e651:g:U2gAAOSwkO9iZCog,https://i.ebayimg.com/thumbs/images/g/U2gAAOSwkO9iZCog/s-l225.jpg,$7.00,May-08 10:49,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1,"May 08, 2022

10:49:40 PDT"
item26867fc275,"PARNASSIUS EPAPHUS SIKKIMENSIS, MALE, NEPAL, KANCHENJUNGA, VERY RARE",https://www.ebay.com/itm/165465277045?hash=item26867fc275:g:~R4AAOSw4oxhtkSD,https://i.ebayimg.com/thumbs/images/g/~R4AAOSw4oxhtkSD/s-l225.jpg,$40.00,May-08 10:47,"Liptovska Kokava, Czech Republic",parnassius26,https://www.ebay.com/usr/parnassius26?_trksid=p2047675.l2559,Auction,13,1,"May 08, 2022

10:47:57 PDT"
item57164ade01,PARNASSIUS EPAPHUS SIKKIMENSIS FROM TIBET,https://www.ebay.com/itm/374036160001?hash=item57164ade01:g:wVwAAOSwStBiYu9o,https://i.ebayimg.com/thumbs/images/g/wVwAAOSwStBiYu9o/s-l225.jpg,$5.50,May-07 10:37,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"May 07, 2022

10:37:48 PDT"
item54b4e38f61,"PARNASSIUS EPAPHUS SSP. MALE FROM HAIXI, QINGHAI, CHINA",https://www.ebay.com/itm/363812065121?hash=item54b4e38f61:g:WvgAAOSwmgxiYu8~,https://i.ebayimg.com/thumbs/images/g/WvgAAOSwmgxiYu8~/s-l225.jpg,$2.85,May-07 10:36,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"May 07, 2022

10:36:45 PDT"
item54b4e38e1b,"PARNASSIUS EPAPHUS TSAIDAMENSIS MALE FROM QINGHAI, CHINA",https://www.ebay.com/itm/363812064795?hash=item54b4e38e1b:g:HhEAAOSwdYFiYu8W,https://i.ebayimg.com/thumbs/images/g/HhEAAOSwdYFiYu8W/s-l225.jpg,$4.25,May-07 10:35,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"May 07, 2022

10:35:45 PDT"
item21a65ad648,"ENTOMOLOGY, BUTTERFLY: 4X PARNASSIUS EPAPHUS SSP ? MALE CHINA",https://www.ebay.com/itm/144524891720?hash=item21a65ad648:g:nywAAOSwWZViaCvi,https://i.ebayimg.com/thumbs/images/g/nywAAOSwWZViaCvi/s-l225.jpg,$21.51,May-01 10:29,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,15,1,"May 01, 2022

10:29:16 PDT"
item2413ed50d3,"PARNASSIUS EPAPHUS ALTYNENSIS MALE, GANSU, VERY RARE",https://www.ebay.com/itm/154953142483?hash=item2413ed50d3:g:PQ4AAOSwRr5iVZl-,https://i.ebayimg.com/thumbs/images/g/PQ4AAOSwRr5iVZl-/s-l225.jpg,$22.50,Apr-24 11:00,"Liptovska Kokava, Czech Republic",parnassius26,https://www.ebay.com/usr/parnassius26?_trksid=p2047675.l2559,Auction,3,1,"Apr 24, 2022

11:00:25 PDT"
item5714341da7,"PARNASSIUS EPAPHUS SSP. MALE FROM DULAN COUNTY, QINGHAI, CHINA",https://www.ebay.com/itm/374001114535?hash=item5714341da7:g:vSUAAOSwd2liRyOD,https://i.ebayimg.com/thumbs/images/g/vSUAAOSwd2liRyOD/s-l225.jpg,$11.50,Apr-09 09:53,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"Apr 09, 2022

09:53:56 PDT"
item54b3461ecc,"PARNASSIUS EPAPHUS SSP. FEMALE FROM DULAN COUNTY, QINGHAI, CHINA",https://www.ebay.com/itm/363784969932?hash=item54b3461ecc:g:rOYAAOSwskFiRyPi,https://i.ebayimg.com/thumbs/images/g/rOYAAOSwskFiRyPi/s-l225.jpg,$12.72,Apr-09 09:51,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,13,1,"Apr 09, 2022

09:51:57 PDT"
item54b3461fda,"PARNASSIUS EPAPHUS SSP. MALE FROM DULAN COUNTY, QINGHAI, CHINA",https://www.ebay.com/itm/363784970202?hash=item54b3461fda:g:kIAAAOSwxAxiRyQC,https://i.ebayimg.com/thumbs/images/g/kIAAAOSwxAxiRyQC/s-l225.jpg,$6.50,Apr-09 09:50,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Apr 09, 2022

09:50:02 PDT"
item54b2e6f13e,PARNASSIUS EPAPHUS PSEUDOSIKKIMENSIS FEMALE FROM TIBET,https://www.ebay.com/itm/363778732350?hash=item54b2e6f13e:g:h~QAAOSwghZiQH-t,https://i.ebayimg.com/thumbs/images/g/h~QAAOSwghZiQH-t/s-l225.jpg,$5.24,Apr-03 11:19,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Apr 03, 2022

11:19:21 PDT"
item5713cf0dc5,PARNASSIUS EPAPHUS PSEUDOSIKKIMENSIS MALE FROM TIBET,https://www.ebay.com/itm/373994491333?hash=item5713cf0dc5:g:h7kAAOSwOa1iQH~Q,https://i.ebayimg.com/thumbs/images/g/h7kAAOSwOa1iQH~Q/s-l225.jpg,$3.25,Apr-03 11:18,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Apr 03, 2022

11:18:24 PDT"
item5713cf1482,"PARNASSIUS EPAPHUS SSP. MALE FROM DULAN COUNTY,, QINGHAI, CHINA",https://www.ebay.com/itm/373994493058?hash=item5713cf1482:g:LHEAAOSweyhiQIB2,https://i.ebayimg.com/thumbs/images/g/LHEAAOSweyhiQIB2/s-l225.jpg,$21.50,Apr-03 11:15,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"Apr 03, 2022

11:15:27 PDT"
item57137e8960,"PARNASSIUS EPAPHUS SSP. MALE FROM CHACHA VILLAGE, QINGHAI, CHINA",https://www.ebay.com/itm/373989214560?hash=item57137e8960:g:6rQAAOSw8gFiOyKI,https://i.ebayimg.com/thumbs/images/g/6rQAAOSw8gFiOyKI/s-l225.jpg,$9.50,Apr-02 09:24,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1,"Apr 02, 2022

09:24:00 PDT"
item4bb0dd0a08,"Parnassius epaphus ssp. Qinghai, the midstream Shaliuhe river. 1P. PA3566.",https://www.ebay.com/itm/325089823240?hash=item4bb0dd0a08:g:63cAAOSwgOpiJszO,https://i.ebayimg.com/thumbs/images/g/63cAAOSwgOpiJszO/s-l225.jpg,$15.49,Mar-12 19:26,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1,"Mar 12, 2022

19:26:24 PST"
item54b17cec2a,"PARNASSIUS EPAPHUS TSAIDAMENSIS MALE FROM HAIXI AREA, QINGHAI, CHINA",https://www.ebay.com/itm/363755007018?hash=item54b17cec2a:g:DiEAAOSwP0NiJj3V,https://i.ebayimg.com/thumbs/images/g/DiEAAOSwP0NiJj3V/s-l225.jpg,$17.50,Mar-12 11:35,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"Mar 12, 2022

11:35:56 PST"
item54b17cea46,"PARNASSIUS EPAPHUS SSP. MALE FROM DULAN COUNTY, QINGHAI, CHINA",https://www.ebay.com/itm/363755006534?hash=item54b17cea46:g:txsAAOSwY9ZiJj20,https://i.ebayimg.com/thumbs/images/g/txsAAOSwY9ZiJj20/s-l225.jpg,$8.50,Mar-12 11:34,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Mar 12, 2022

11:34:07 PST"
item5712106704,PARNASSIUS EPAPHUS PSEUDOSIKKIMENSIS MALE FROM TIBET,https://www.ebay.com/itm/373965219588?hash=item5712106704:g:hqQAAOSwTdViJj2Y,https://i.ebayimg.com/thumbs/images/g/hqQAAOSwTdViJj2Y/s-l225.jpg,$6.50,Mar-12 11:33,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"Mar 12, 2022

11:33:22 PST"
item4bb0b79e74,"Butterfly. Parnassius epaphus lama. E of Tibet, Demula pass. 1P. JA0618.",https://www.ebay.com/itm/325087370868?hash=item4bb0b79e74:g:vnoAAOSw0uViJMwj,https://i.ebayimg.com/thumbs/images/g/vnoAAOSw0uViJMwj/s-l225.jpg,$9.99,Mar-11 13:29,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"Mar 11, 2022

13:29:44 PST"
