id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3d9da90694,Comma Butterfly Polygonia c-album SET x1 Amazing aberration *SCARCE* #j01a,https://www.ebay.com/itm/264638105236?hash=item3d9da90694:g:U2UAAOSwnMBhXHAm,https://i.ebayimg.com/thumbs/images/g/U2UAAOSwnMBhXHAm/s-l225.jpg,$31.44,May-17 09:38,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,1,
item3dc7d4a4e1,Comma Butterfly Polygonia c-album SET x1 A- Amazing aberration *SCARCE* #j01d,https://www.ebay.com/itm/265345606881?hash=item3dc7d4a4e1:g:t9wAAOSwnZ1hXHJ~,https://i.ebayimg.com/thumbs/images/g/t9wAAOSwnZ1hXHJ~/s-l225.jpg,$25.14,May-05 08:42,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,1,
item3dc7d48d2b,Comma Butterfly Polygonia c-album SET x1 Amazing aberration *SCARCE* #j01c,https://www.ebay.com/itm/265345600811?hash=item3dc7d48d2b:g:iaEAAOSw7-FhXHEh,https://i.ebayimg.com/thumbs/images/g/iaEAAOSw7-FhXHEh/s-l225.jpg,$31.44,Apr-21 10:45,Unknown,Unknown,Unknown,Instant,0,1,
item4bb3e68bb4,Polygonia c - album pair from Poland - (mounted),https://www.ebay.com/itm/325140777908?hash=item4bb3e68bb4:g:deoAAOSwXmNhkXPl,https://i.ebayimg.com/thumbs/images/g/deoAAOSwXmNhkXPl/s-l225.jpg,$3.51,Apr-17 12:50,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"Apr 17, 2022

12:50:32 PDT"
item4bb3e68723,Polygonia c - album pair from Poland (mounted),https://www.ebay.com/itm/325140776739?hash=item4bb3e68723:g:iMcAAOSwtRViLkra,https://i.ebayimg.com/thumbs/images/g/iMcAAOSwtRViLkra/s-l225.jpg,$3.51,Apr-17 12:49,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"Apr 17, 2022

12:49:02 PDT"
item4bb3e5f7ba,Polygonia c - album aberration cloqueti from Poland (mounted),https://www.ebay.com/itm/325140740026?hash=item4bb3e5f7ba:g:jAYAAOSwgt9iLkfo,https://i.ebayimg.com/thumbs/images/g/jAYAAOSwgt9iLkfo/s-l225.jpg,$18.04,Apr-17 12:10,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,2,1,"Apr 17, 2022

12:10:59 PDT"
item4bb3e5f3e6,Polygonia c - album female aberration dark extrem from Poland - (mounted),https://www.ebay.com/itm/325140739046?hash=item4bb3e5f3e6:g:aDgAAOSwDxxhdcTR,https://i.ebayimg.com/thumbs/images/g/aDgAAOSwDxxhdcTR/s-l225.jpg,$25.30,Apr-17 12:09,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,2,1,"Apr 17, 2022

12:09:24 PDT"
item1f379694f1,Polygonia c-album   - England,https://www.ebay.com/itm/134076601585?hash=item1f379694f1:g:GnwAAOSwFkNiTgfs,https://i.ebayimg.com/thumbs/images/g/GnwAAOSwFkNiTgfs/s-l225.jpg,$1.58,Apr-10 13:05,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

13:05:04 PDT"
item2d63aca73b,"Polygonia c-album -  Comma - pair , revers",https://www.ebay.com/itm/194945787707?hash=item2d63aca73b:g:eD0AAOSwxoliRdUY,https://i.ebayimg.com/thumbs/images/g/eD0AAOSwxoliRdUY/s-l225.jpg,$3.78,Apr-10 09:54,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

09:54:17 PDT"
item1f3707c687,Polygonia c-album   - England,https://www.ebay.com/itm/134067242631?hash=item1f3707c687:g:-~sAAOSwHr9iOkP3,https://i.ebayimg.com/thumbs/images/g/-~sAAOSwHr9iOkP3/s-l225.jpg,$1.58,Apr-03 14:32,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Apr 03, 2022

14:32:35 PDT"
item1f362efea0,Polygonia c-album  (No. 2) - England,https://www.ebay.com/itm/134053035680?hash=item1f362efea0:g:0ogAAOSwFg5iKSWb,https://i.ebayimg.com/thumbs/images/g/0ogAAOSwFg5iKSWb/s-l225.jpg,$1.58,Mar-20 14:54,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Mar 20, 2022

14:54:10 PDT"
item1f362efa7f,Polygonia c-album   - England,https://www.ebay.com/itm/134053034623?hash=item1f362efa7f:g:rS4AAOSw-T9iH2A7,https://i.ebayimg.com/thumbs/images/g/rS4AAOSw-T9iH2A7/s-l225.jpg,$1.58,Mar-20 14:51,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Mar 20, 2022

14:51:45 PDT"
