id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item425127e8f1,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284829411569?hash=item425127e8f1:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$5.00,May-30 12:23,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,2,1,"May 30, 2022

12:23:57 PDT"
item425097134d,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284819919693?hash=item425097134d:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$9.00,May-23 12:36,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,3,1,"May 23, 2022

12:36:11 PDT"
item425005db35,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284810402613?hash=item425005db35:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$5.00,May-16 12:34,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,2,1,"May 16, 2022

12:34:57 PDT"
item424f61412f,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284799615279?hash=item424f61412f:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$7.50,May-09 13:53,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,3,1,"May 09, 2022

13:53:30 PDT"
item424e8e003b,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284785770555?hash=item424e8e003b:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$5.00,Apr-30 15:46,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Apr 30, 2022

15:46:51 PDT"
item424e8dc4f3,lycaenidae thecla damo 20 pieces in A2 still nice specimens,https://www.ebay.com/itm/284785755379?hash=item424e8dc4f3:g:lBsAAOSwIWZiTfHi,https://i.ebayimg.com/thumbs/images/g/lBsAAOSwIWZiTfHi/s-l225.jpg,$19.00,Apr-30 15:00,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Apr 30, 2022

15:00:04 PDT"
item424e07690d,lycaenidae thecla damo 20 pieces in A2 still nice specimens,https://www.ebay.com/itm/284776950029?hash=item424e07690d:g:lBsAAOSwIWZiTfHi,https://i.ebayimg.com/thumbs/images/g/lBsAAOSwIWZiTfHi/s-l225.jpg,$24.50,Apr-25 12:21,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,3,1,"Apr 25, 2022

12:21:02 PDT"
item424e076911,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284776950033?hash=item424e076911:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$5.00,Apr-25 12:09,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Apr 25, 2022

12:09:06 PDT"
item424d467bee,lycaenidae thecla damo 20 pieces in A2 still nice specimens,https://www.ebay.com/itm/284764306414?hash=item424d467bee:g:lBsAAOSwIWZiTfHi,https://i.ebayimg.com/thumbs/images/g/lBsAAOSwIWZiTfHi/s-l225.jpg,$19.00,Apr-18 12:51,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Apr 18, 2022

12:51:51 PDT"
item424d461d5d,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284764282205?hash=item424d461d5d:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$8.00,Apr-18 12:10,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,4,1,"Apr 18, 2022

12:10:28 PDT"
item424c69bf69,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284749840233?hash=item424c69bf69:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$7.01,Apr-11 12:29,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,2,1,"Apr 11, 2022

12:29:23 PDT"
item424b8b381e,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284735256606?hash=item424b8b381e:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$5.00,Apr-04 13:20,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Apr 04, 2022

13:20:51 PDT"
item424aacc22c,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284720677420?hash=item424aacc22c:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$5.00,Mar-28 13:05,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Mar 28, 2022

13:05:06 PDT"
item4248f7ff2f,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284692053807?hash=item4248f7ff2f:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$6.50,Mar-14 12:33,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,4,1,"Mar 14, 2022

12:33:15 PDT"
item424826b6df,"lycaenidae thecla damo lot of 30 pieces in A2,but still nice specimens",https://www.ebay.com/itm/284678338271?hash=item424826b6df:g:wHUAAOSwokxhJphb,https://i.ebayimg.com/thumbs/images/g/wHUAAOSwokxhJphb/s-l225.jpg,$30.99,Mar-07 13:48,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,9,1,"Mar 07, 2022

13:48:26 PST"
item42482662af,"butterflies lycaenidae pair thecla damo  huge,,in A1-,sample photo not actual",https://www.ebay.com/itm/284678316719?hash=item42482662af:g:0xkAAOSwhzhcRqT9,https://i.ebayimg.com/thumbs/images/g/0xkAAOSwhzhcRqT9/s-l225.jpg,$9.50,Mar-07 13:27,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,7,1,"Mar 07, 2022

13:27:17 PST"
