id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item46e340e204,"Vagrans egista ssp. - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304460390916?hash=item46e340e204:g:ujkAAOSwTnliZqcB,https://i.ebayimg.com/thumbs/images/g/ujkAAOSwTnliZqcB/s-l225.jpg,$3.25,May-04 09:06,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,2,1,"May 04, 2022

09:06:14 PDT"
item46e33b340f,"Vagrans egista ssp. - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304460018703?hash=item46e33b340f:g:a8EAAOSwmv5iZm-q,https://i.ebayimg.com/thumbs/images/g/a8EAAOSwmv5iZm-q/s-l225.jpg,$2.25,May-04 09:02,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,2,1,"May 04, 2022

09:02:02 PDT"
item46e33aa0d5,"Vagrans egista ssp. - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304459981013?hash=item46e33aa0d5:g:cxoAAOSwy6tiZmXw,https://i.ebayimg.com/thumbs/images/g/cxoAAOSwy6tiZmXw/s-l225.jpg,$2.25,May-03 09:41,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,2,1,"May 03, 2022

09:41:48 PDT"
item46e339f241,"Vagrans egista ssp. - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304459936321?hash=item46e339f241:g:ujsAAOSwACViZlTk,https://i.ebayimg.com/thumbs/images/g/ujsAAOSwACViZlTk/s-l225.jpg,$1.00,May-03 09:25,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 03, 2022

09:25:40 PDT"
item46e33923fe,"Vagrans egista ssp. - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304459883518?hash=item46e33923fe:g:W9IAAOSwUK5iZjxL,https://i.ebayimg.com/thumbs/images/g/W9IAAOSwUK5iZjxL/s-l225.jpg,$1.00,May-03 09:07,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 03, 2022

09:07:48 PDT"
item46e324f419,"Vagrans egista ssp. - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304458560537?hash=item46e324f419:g:ZHQAAOSwUIxiZRam,https://i.ebayimg.com/thumbs/images/g/ZHQAAOSwUIxiZRam/s-l225.jpg,$1.00,May-02 09:48,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 02, 2022

09:48:33 PDT"
item46e32421d2,"Vagrans egista ssp. - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304458506706?hash=item46e32421d2:g:ZiAAAOSwmntiZQdV,https://i.ebayimg.com/thumbs/images/g/ZiAAAOSwmntiZQdV/s-l225.jpg,$1.00,May-02 09:41,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 02, 2022

09:41:56 PDT"
item46e323fe98,"Vagrans egista ssp. - Nymphalidae from Morotai island, Maluku, Indonesia",https://www.ebay.com/itm/304458497688?hash=item46e323fe98:g:PqgAAOSw-MNiZQRW,https://i.ebayimg.com/thumbs/images/g/PqgAAOSw-MNiZQRW/s-l225.jpg,$1.00,May-02 09:39,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"May 02, 2022

09:39:47 PDT"
item2b1e7f4c08,Nymphalidae. 12 x Vagrans egista buruana. Buru Is,https://www.ebay.com/itm/185195252744?hash=item2b1e7f4c08:g:H30AAOSw01Vhmkp9,https://i.ebayimg.com/thumbs/images/g/H30AAOSw01Vhmkp9/s-l225.jpg,$10.00,May-01 21:08,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,1,
item21a2860e4c,NYMPHALIDAE Vagrans egista MALE from Philippines mounted #460,https://www.ebay.com/itm/144460615244?hash=item21a2860e4c:g:DpIAAOSweGZiKpmG,https://i.ebayimg.com/thumbs/images/g/DpIAAOSweGZiKpmG/s-l225.jpg,$2.25,Mar-21 11:40,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,2,1,"Mar 21, 2022

11:40:24 PDT"
