id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1a8741b93c,"California Fan Palm (Washingtonia filifera), 20 seeds",https://www.ebay.com/itm/113938381116?hash=item1a8741b93c:g:GkoAAOSw3F5dtTDk,https://i.ebayimg.com/thumbs/images/g/GkoAAOSw3F5dtTDk/s-l225.jpg,$3.20,May-31 15:52,Unknown,Unknown,Unknown,Instant,0,154,
item1d2e16594a,"1 California Fan Palm Tree Saplings - Washingtonia Filifera 18 - 26 inches, 3 Yr",https://www.ebay.com/itm/125327268170?hash=item1d2e16594a:g:i6cAAOSwT8hiiYMr,https://i.ebayimg.com/thumbs/images/g/i6cAAOSwT8hiiYMr/s-l225.jpg,$28.95,May-30 21:33,Unknown,Unknown,Unknown,Instant,0,2,
item46c1986998,Washingtonia Filifera Palm Tree live plant,https://www.ebay.com/itm/303895701912?hash=item46c1986998:g:7ZsAAOSwnmxgNBIP,https://i.ebayimg.com/thumbs/images/g/7ZsAAOSwnmxgNBIP/s-l225.jpg,$12.50,May-29 12:10,Unknown,Unknown,Unknown,Instant,0,93,
item1d1dfcccb0,"California Fan Palm Tree, 2021 Washingtonia Filifera, 50+ Seeds #03 Mother Trees",https://www.ebay.com/itm/125057158320?hash=item1d1dfcccb0:g:eDgAAOSw7ZBh7IYJ,https://i.ebayimg.com/thumbs/images/g/eDgAAOSw7ZBh7IYJ/s-l225.jpg,$3.20,May-29 09:45,Unknown,Unknown,Unknown,Instant,0,15,
item1f296015e8,50+ California Fan Palm Tree Seeds (Washingtonia Filifera) EDIBLE Free Shipping,https://www.ebay.com/itm/133838149096?hash=item1f296015e8:g:DDEAAOSwDtlgqgim,https://i.ebayimg.com/thumbs/images/g/DDEAAOSwDtlgqgim/s-l225.jpg,$5.25,May-27 18:48,Unknown,Unknown,Unknown,Instant,0,101,
item4b9d3424ac,Washingtonia Filifera Palm Tree live plant,https://www.ebay.com/itm/324759987372?hash=item4b9d3424ac:g:XMAAAOSwrnRhH5i2,https://i.ebayimg.com/thumbs/images/g/XMAAAOSwrnRhH5i2/s-l225.jpg,$9.95,May-12 09:03,Unknown,Unknown,Unknown,Instant,0,2,
item546b022427,Washingtonia filifera HARDY FORM Zone 6b Seeds!,https://www.ebay.com/itm/362572555303?hash=item546b022427:g:PvEAAOSwSglcfSFz,https://i.ebayimg.com/thumbs/images/g/PvEAAOSwSglcfSFz/s-l225.jpg,$4.99,May-09 14:46,Unknown,Unknown,Unknown,Instant,0,67,
item1d219fe5be,"8 California Fan Palm Tree Seed Seedlings - Washingtonia Filifera, 9 inches +",https://www.ebay.com/itm/125118178750?hash=item1d219fe5be:g:xH4AAOSwL65h7Idq,https://i.ebayimg.com/thumbs/images/g/xH4AAOSwL65h7Idq/s-l225.jpg,$17.95,May-07 06:09,Unknown,Unknown,Unknown,Instant,0,4,
item2196bdfdb1,40+ California Fan Palm Tree Seeds (Washingtonia Filifera) South Texas Grown,https://www.ebay.com/itm/144262954417?hash=item2196bdfdb1:g:UoMAAOSwFzdhd3U7,https://i.ebayimg.com/thumbs/images/g/UoMAAOSwFzdhd3U7/s-l225.jpg,$3.50,May-04 20:06,"San Antonio, Texas, United States",zepphed,https://www.ebay.com/usr/zepphed?_trksid=p2047675.l2559,Instant,0,11,
item33b5828796,"20 Washingtonia Filifera Palm Tree Seeds, Rare Mexican Fan Palm Fresh Seeds",https://www.ebay.com/itm/222088562582?hash=item33b5828796:g:EIoAAOSwSypY9i6x,https://i.ebayimg.com/thumbs/images/g/EIoAAOSwSypY9i6x/s-l225.jpg,$7.99,May-03 13:16,Unknown,Unknown,Unknown,Instant,0,1,
item41ad0e6604,30 CALIFORNIA FAN PALM TREE Petticoat Arizona Desert Washingtonia Filifera Seeds,https://www.ebay.com/itm/282076276228?hash=item41ad0e6604:g:2Q8AAOSwepJXauun,https://i.ebayimg.com/thumbs/images/g/2Q8AAOSwepJXauun/s-l225.jpg,$3.00,May-03 10:47,Unknown,Unknown,Unknown,Instant,0,217,
item4918030a01,"Washingtonia filifera Palma filifera (1 Plant A40-5x6, 5x15)",https://www.ebay.com/itm/313935464961?hash=item4918030a01:g:a~8AAOSwhchgHWFb,https://i.ebayimg.com/thumbs/images/g/a~8AAOSwhchgHWFb/s-l225.jpg,$10.19,Apr-29 13:26,"Napoli, Italy",botanical-archive,https://www.ebay.com/usr/botanical-archive?_trksid=p2047675.l2559,Instant,0,1,
item19e5d1a9cf,50 Seeds Washingtonia filifera California Fan Palm Short Fat Tree Desert Arizona,https://www.ebay.com/itm/111229905359?hash=item19e5d1a9cf:g:CUUAAOxy9DRSApIq,https://i.ebayimg.com/thumbs/images/g/CUUAAOxy9DRSApIq/s-l225.jpg,$19.00,Apr-26 18:05,Unknown,Unknown,Unknown,Instant,0,72,
item4aff137ae0,"50 Washingtonia Filifera Palm Tree Seeds, Rare Mexican Fan Home Garden Plant",https://www.ebay.com/itm/322107046624?hash=item4aff137ae0:g:gSYAAOSwvihY9pX1,https://i.ebayimg.com/thumbs/images/g/gSYAAOSwvihY9pX1/s-l225.jpg,$6.99,Apr-17 04:10,Unknown,Unknown,Unknown,Instant,0,50,
item3dce0b31fe,California fan palm seeds -- Washingtonia filifera (10),https://www.ebay.com/itm/265449845246?hash=item3dce0b31fe:g:K28AAOSwzg1htonm,https://i.ebayimg.com/thumbs/images/g/K28AAOSwzg1htonm/s-l225.jpg,$5.00,Mar-28 02:30,Unknown,Unknown,Unknown,Instant,0,1,
item4227921cf3,Washingtonia filifera | California Desert Fan Palm | Petticoat | 10_Seeds,https://www.ebay.com/itm/284131728627?hash=item4227921cf3:g:hXYAAOSwoShfrMv0,https://i.ebayimg.com/thumbs/images/g/hXYAAOSwoShfrMv0/s-l225.jpg,$7.95,Mar-16 15:15,Unknown,Unknown,Unknown,Instant,0,5,
item19ee70b1f3,"75 Seeds, Washingtonia filifera, California Fan Palm, Short Desert Tree Arizona.",https://www.ebay.com/itm/111374545395?hash=item19ee70b1f3:g:33sAAOxy4dNSywu~,https://i.ebayimg.com/thumbs/images/g/33sAAOxy4dNSywu~/s-l225.jpg,$21.00,Mar-06 09:35,Unknown,Unknown,Unknown,Instant,0,17,
item1c443bcc4c,100 Seeds Washingtonia filifera California Fan Palm Short Desert Tree Arizona,https://www.ebay.com/itm/121403853900?hash=item1c443bcc4c:g:33sAAOxy4dNSywu~,https://i.ebayimg.com/thumbs/images/g/33sAAOxy4dNSywu~/s-l225.jpg,$23.00,Mar-04 18:38,Unknown,Unknown,Unknown,Instant,0,128,
