id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item54b7024017,"ZERYNTHIA RUMINA  AUSTRALIS MALE FROM DIGNE, FRANCE (pictured in Butterflies of",https://www.ebay.com/itm/363847630871?hash=item54b7024017:g:~8wAAOSwGVNiina1,https://i.ebayimg.com/thumbs/images/g/~8wAAOSwGVNiina1/s-l225.jpg,$34.00,May-29 11:01,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,13,1,"May 29, 2022

11:01:08 PDT"
item54b7023e39,ZERYNTHIA RUMINA AFRICANA FEMALE FROM TUNESIA(pictured in Butterflies of the Wor,https://www.ebay.com/itm/363847630393?hash=item54b7023e39:g:Hg0AAOSwmkFiinZ9,https://i.ebayimg.com/thumbs/images/g/Hg0AAOSwmkFiinZ9/s-l225.jpg,$74.88,May-29 11:00,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,14,1,"May 29, 2022

11:00:41 PDT"
item571986cfdf,"ZERYNTHIA RUMINA RUMINA MALE FROM ANDALUSIA, SPAIN (pictured in Butterflies of t",https://www.ebay.com/itm/374090420191?hash=item571986cfdf:g:1xAAAOSwIvFiinZJ,https://i.ebayimg.com/thumbs/images/g/1xAAAOSwIvFiinZJ/s-l225.jpg,$22.50,May-29 10:59,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"May 29, 2022

10:59:40 PDT"
item54b7023986,ZERYNTHIA RUMINA TARRIERI FEMALE FORM FROM MAROCCO (pictured in Butterflies of t,https://www.ebay.com/itm/363847629190?hash=item54b7023986:g:5DkAAOSwOtpiinYT,https://i.ebayimg.com/thumbs/images/g/5DkAAOSwOtpiinYT/s-l225.jpg,$27.88,May-29 10:58,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"May 29, 2022

10:58:31 PDT"
item54b70237b3,ZERYNTHIA RUMINA TARRIERI MALE FORM FROM MAROCCO (pictured in Butterflies of the,https://www.ebay.com/itm/363847628723?hash=item54b70237b3:g:-mIAAOSwdYJiinXh,https://i.ebayimg.com/thumbs/images/g/-mIAAOSwdYJiinXh/s-l225.jpg,$27.88,May-29 10:57,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"May 29, 2022

10:57:56 PDT"
item4234bd9da5,Zerynthia Rumina F. canteneri from Spain,https://www.ebay.com/itm/284352683429?hash=item4234bd9da5:g:MTgAAOSwbW1g23xZ,https://i.ebayimg.com/thumbs/images/g/MTgAAOSwbW1g23xZ/s-l225.jpg,$31.07,May-23 13:38,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1,
item21a78bc57e,"ENTOMOLOGY, BUTTERFLY: ZERYNTHIA RUMINA MALE SPAIN",https://www.ebay.com/itm/144544875902?hash=item21a78bc57e:g:uc0AAOSwedVid~6R,https://i.ebayimg.com/thumbs/images/g/uc0AAOSwedVid~6R/s-l225.jpg,$6.00,May-15 10:32,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,2,1,"May 15, 2022

10:32:22 PDT"
item5716656b1d,ZERYNTHIA RUMINA AFRICANA FEMALE FROM TUNESIA 8pictured in Butterflies of the Wo,https://www.ebay.com/itm/374037900061?hash=item5716656b1d:g:12UAAOSwA1RiZCfz,https://i.ebayimg.com/thumbs/images/g/12UAAOSwA1RiZCfz/s-l225.jpg,$96.00,May-08 10:42,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,20,1,"May 08, 2022

10:42:17 PDT"
item571665601a,ZERYNTHIA RUMINA AFRICANA MALE FROM TUNESIA (pictured in Butterflies of the Worl,https://www.ebay.com/itm/374037897242?hash=item571665601a:g:fYsAAOSwlBdiZCfA,https://i.ebayimg.com/thumbs/images/g/fYsAAOSwlBdiZCfA/s-l225.jpg,$56.00,May-08 10:41,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,19,1,"May 08, 2022

10:41:16 PDT"
item54b4f499e0,"ZERYNTHIA RUMINA AUSTRALIS FEMALE FROM SANTANDER, SPAIN (pictured in Butterflies",https://www.ebay.com/itm/363813181920?hash=item54b4f499e0:g:i~IAAOSwuOBiZCeK,https://i.ebayimg.com/thumbs/images/g/i~IAAOSwuOBiZCeK/s-l225.jpg,$46.00,May-08 10:40,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,23,1,"May 08, 2022

10:40:19 PDT"
item54b4f49638,"ZERYNTHIA RUMINA RUMINA MALE FROM ANDALUSIA, SPAIN (pictured in Butterflies of t",https://www.ebay.com/itm/363813180984?hash=item54b4f49638:g:OrAAAOSwfsFiZCde,https://i.ebayimg.com/thumbs/images/g/OrAAAOSwfsFiZCde/s-l225.jpg,$26.00,May-08 10:39,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"May 08, 2022

10:39:23 PDT"
item54b4f493e1,ZERYNTHIA RUMINA TARRIERI FEMALE FROM MAROCCO (pictured in Butterflies of the Wo,https://www.ebay.com/itm/363813180385?hash=item54b4f493e1:g:KasAAOSwfQdiZCcr,https://i.ebayimg.com/thumbs/images/g/KasAAOSwfQdiZCcr/s-l225.jpg,$26.00,May-08 10:38,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"May 08, 2022

10:38:36 PDT"
item5716652edf,ZERYNTHIA RUMINA TARRIERI MALE FROM MAROCCO (pictured in Butterflies of the Worl,https://www.ebay.com/itm/374037884639?hash=item5716652edf:g:hkkAAOSwcmBiZCb-,https://i.ebayimg.com/thumbs/images/g/hkkAAOSwcmBiZCb-/s-l225.jpg,$28.00,May-08 10:37,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1,"May 08, 2022

10:37:09 PDT"
item369a5b07c7,"Entomology, BUTTERFLY: ZERYNTHIA RUMINA PAIRING SPAIN #7",https://www.ebay.com/itm/234517891015?hash=item369a5b07c7:g:R4EAAOSwKFJiYAcd,https://i.ebayimg.com/thumbs/images/g/R4EAAOSwKFJiYAcd/s-l225.jpg,$4.82,May-08 09:37,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,3,1,"May 08, 2022

09:37:33 PDT"
item3439f78dc8,"2010 Euphydryas aurunia, zerynthia Bulgarian Edifil 4534+4536 on first day",https://www.ebay.com/itm/224310824392?hash=item3439f78dc8:g:w04AAOSwFBxf-ia2,https://i.ebayimg.com/thumbs/images/g/w04AAOSwFBxf-ia2/s-l225.jpg,$3.21,Apr-02 08:35,"vila-real, Spain",s-c-jia,https://www.ebay.com/usr/s-c-jia?_trksid=p2047675.l2559,Instant,0,1,
item54b26adb60,"ZERYNTHIA RUMINA AFRICANA MALE FROM TABARCA, TUNESIA (pictured in Butterflies of",https://www.ebay.com/itm/363770600288?hash=item54b26adb60:g:EysAAOSwcJNiN1Lx,https://i.ebayimg.com/thumbs/images/g/EysAAOSwcJNiN1Lx/s-l225.jpg,$49.00,Mar-27 11:49,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,16,1,"Mar 27, 2022

11:49:03 PDT"
item5713414ace,"ZERYNTHIA RUMINA RUMINA FEMALE FROM ANDALUSIA, SPAIN (pictured in Butterflies of",https://www.ebay.com/itm/373985200846?hash=item5713414ace:g:ImsAAOSwoZdiN1Kr,https://i.ebayimg.com/thumbs/images/g/ImsAAOSwoZdiN1Kr/s-l225.jpg,$28.74,Mar-27 11:48,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"Mar 27, 2022

11:48:54 PDT"
item57134143e6,ZERYNTHIA RUMINA TARRIERI FEMALE FORM CANTENERI FROM MAROCCO (pictured in B,https://www.ebay.com/itm/373985199078?hash=item57134143e6:g:bkoAAOSwQcBiN1Jv,https://i.ebayimg.com/thumbs/images/g/bkoAAOSwQcBiN1Jv/s-l225.jpg,$55.74,Mar-27 11:47,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,21,1,"Mar 27, 2022

11:47:51 PDT"
item54b26ad0c3,ZERYNTHIA RUMINA TARRIERI MALE FORM MAJOR FROM MAROCCO (pictured in Butterflies,https://www.ebay.com/itm/363770597571?hash=item54b26ad0c3:g:K94AAOSwP-5iN1Is,https://i.ebayimg.com/thumbs/images/g/K94AAOSwP-5iN1Is/s-l225.jpg,$28.74,Mar-27 11:46,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,17,1,"Mar 27, 2022

11:46:58 PDT"
item3b773264ab,Zerynthia Rumina 2 Piece Spain,https://www.ebay.com/itm/255402861739?hash=item3b773264ab:g:CwkAAOSw-kJiF2aW,https://i.ebayimg.com/thumbs/images/g/CwkAAOSw-kJiF2aW/s-l225.jpg,$23.57,Mar-10 15:36,"Schrobenhausen, Germany",parnassius1,https://www.ebay.com/usr/parnassius1?_trksid=p2047675.l2559,Instant,0,1,
