id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item28cb045749,"4 Shampoo Ginger Rhizomes, Zingiber Zerumbet, Pine Cone, Free Ship w/ Free Offer",https://www.ebay.com/itm/175204751177?hash=item28cb045749:g:lzsAAOSw6ahe560O,https://i.ebayimg.com/thumbs/images/g/lzsAAOSw6ahe560O/s-l225.jpg,$21.00,May-31 12:15,Unknown,Unknown,Unknown,Instant,0,116,
item28bf9efcf1,"2 Shampoo Ginger Rhizomes, Zingiber Zerumbet, Pine Cone, Free Ship w/ Free Offer",https://www.ebay.com/itm/175013559537?hash=item28bf9efcf1:g:lzsAAOSw6ahe560O,https://i.ebayimg.com/thumbs/images/g/lzsAAOSw6ahe560O/s-l225.jpg,$13.25,May-31 03:24,Unknown,Unknown,Unknown,Instant,0,270,
item44a864b022,"Plant Shampoo Ginger 4"" Potted Starter Plant Awapuhi Rhizome Zingiber Zerumbet",https://www.ebay.com/itm/294882947106?hash=item44a864b022:g:gZ0AAOSwTZFiXEUq,https://i.ebayimg.com/thumbs/images/g/gZ0AAOSwTZFiXEUq/s-l225.jpg,$14.00,May-30 12:04,Unknown,Unknown,Unknown,Instant,0,31,
item2b26af76e4,2 Shampoo Ginger Zingiber Zerumbet Pinecone Rhizomes Roots Plant NO SHIP TO CA,https://www.ebay.com/itm/185332627172?hash=item2b26af76e4:g:s~MAAOSwK3thYLkR,https://i.ebayimg.com/thumbs/images/g/s~MAAOSwK3thYLkR/s-l225.jpg,$10.00,May-30 11:10,Unknown,Unknown,Unknown,Instant,0,16,
item28b8d898c7,Pinecone ginger (Zingiber zerumbet) Ornamental Live  Plant 10”-20”,https://www.ebay.com/itm/174899894471?hash=item28b8d898c7:g:IS8AAOSweehhHoA8,https://i.ebayimg.com/thumbs/images/g/IS8AAOSweehhHoA8/s-l225.jpg,$34.99,May-29 21:01,Unknown,Unknown,Unknown,Instant,0,10,
item3449c75951,Zingiber Zerumbet - Shampoo Pinecone Ginger - Herbal Medicine - 5 Seeds RARE,https://www.ebay.com/itm/224576100689?hash=item3449c75951:g:fB0AAOSwguFhG~0A,https://i.ebayimg.com/thumbs/images/g/fB0AAOSwguFhG~0A/s-l225.jpg,$6.00,May-29 15:00,Unknown,Unknown,Unknown,Instant,0,140,
item4dcf5b59ac,Red Pinecone Ginger Zingiber zerumbet Mad Happenings Tropical Plant not Rhizome,https://www.ebay.com/itm/334191352236?hash=item4dcf5b59ac:g:QaUAAOSw6MdhcyMs,https://i.ebayimg.com/thumbs/images/g/QaUAAOSw6MdhcyMs/s-l225.jpg,$19.95,May-26 02:47,Unknown,Unknown,Unknown,Instant,0,5,
item240a9f1ce7,Zingiber Zerumbet Ginger Shampoo Plant Red Pine Cone 2x 6 to 8 in. Rhizomes,https://www.ebay.com/itm/154797022439?hash=item240a9f1ce7:g:L8MAAOSwUj5hwTr-,https://i.ebayimg.com/thumbs/images/g/L8MAAOSwUj5hwTr-/s-l225.jpg,$20.75,May-08 13:32,"Brooksville, Florida, United States",acenal,https://www.ebay.com/usr/acenal?_trksid=p2047675.l2559,Instant,0,9,
item4bafad433d,3 Rhizomes Red Pine Cone Ginger Lily zingiber zerumbet zone 8-11 Houseplant root,https://www.ebay.com/itm/325069914941?hash=item4bafad433d:g:IMsAAOSwQSJiGAWn,https://i.ebayimg.com/thumbs/images/g/IMsAAOSwQSJiGAWn/s-l225.jpg,$9.25,May-06 16:32,Unknown,Unknown,Unknown,Instant,0,5,
item24111f30f8,"Zingiber Zerumbet Ginger Shampoo Plant Red Pine Cone, up to 4 Rhizomes",https://www.ebay.com/itm/154906079480?hash=item24111f30f8:g:L8MAAOSwUj5hwTr-,https://i.ebayimg.com/thumbs/images/g/L8MAAOSwUj5hwTr-/s-l225.jpg,$20.75,May-05 14:10,"Brooksville, Florida, United States",acenal,https://www.ebay.com/usr/acenal?_trksid=p2047675.l2559,Instant,0,67,
