id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2f75ef4ac1,GANT GA3177 020 Dusky Blue Crystal Rectangular Mens Eyeglasses Frames 57-17-150,https://www.ebay.com/itm/203842079425?hash=item2f75ef4ac1:g:MqcAAOSwb~1iFvDG,https://i.ebayimg.com/thumbs/images/g/MqcAAOSwb~1iFvDG/s-l225.jpg,$49.99,Jun-01 20:19,"Saratoga Springs, Utah, United States",opticsframes,https://www.ebay.com/usr/opticsframes?_trksid=p2047675.l2559,Instant,0,1,
item2f555b31bf,Ted Baker London TM004 SLA Slate Dusky Blue Rectangular Eyeglasses 54-16-140,https://www.ebay.com/itm/203295502783?hash=item2f555b31bf:g:ihMAAOSwJy5gQE7z,https://i.ebayimg.com/thumbs/images/g/ihMAAOSwJy5gQE7z/s-l225.jpg,$79.99,Jun-01 19:31,"Saratoga Springs, Utah, United States",opticsframes,https://www.ebay.com/usr/opticsframes?_trksid=p2047675.l2559,Instant,0,1,
item4694475cfc,Berisfords Eco Recycled Double Satin Ribbon 3 7 10 15 25 35 50 70mm. Made in UK,https://www.ebay.com/itm/303135415548?var=603366831183&hash=item4694475cfc:g:sfYAAOSwR7Bh0Chz,https://i.ebayimg.com/thumbs/images/g/sfYAAOSwR7Bh0Chz/s-l225.jpg,$2.33 to $3.34,Jun-01 16:42,Unknown,Unknown,Unknown,Instant,0,"35,983",
item491052cfdd,HOBBS Ladies Dania Dusky Blue Navy Frilled Colour Block Shift Dress UK12 NEW,https://www.ebay.com/itm/313806475229?hash=item491052cfdd:g:gqgAAOSwR0dhxkhe,https://i.ebayimg.com/thumbs/images/g/gqgAAOSwR0dhxkhe/s-l225.jpg,$26.05,Jun-01 15:18,Unknown,Unknown,Unknown,Instant,0,21,
item4ddf551394,Rowan Wool Cotton 2 x 50g balls (shade 934 light dusky blue),https://www.ebay.com/itm/334459376532?hash=item4ddf551394:g:wuUAAOSwUaRiles8,https://i.ebayimg.com/thumbs/images/g/wuUAAOSwUaRiles8/s-l225.jpg,$5.04,Jun-01 12:19,"Doncaster, United Kingdom",poledragon,https://www.ebay.com/usr/poledragon?_trksid=p2047675.l2559,Auction,1,1,"Jun 01, 2022

12:19:38 PDT"
item42295f7b9b,Ladies Beret Beret French Hat 100% Wool High Quality,https://www.ebay.com/itm/284161964955?var=585651131828&hash=item42295f7b9b:g:VPcAAOSwvbRgEsuE,https://i.ebayimg.com/thumbs/images/g/VPcAAOSwvbRgEsuE/s-l225.jpg,$15.27,Jun-01 11:52,Unknown,Unknown,Unknown,Instant,0,12,
item3dddae140d,￼Ralph Lauren Polo Dusky Blue Chino Trousers W34 L32,https://www.ebay.com/itm/265712178189?hash=item3dddae140d:g:N5cAAOSw2k1ikjJV,https://i.ebayimg.com/thumbs/images/g/N5cAAOSw2k1ikjJV/s-l225.jpg,$34.03,Jun-01 08:32,"Sheffield, United Kingdom",thestitchhq,https://www.ebay.com/usr/thestitchhq?_trksid=p2047675.l2559,Instant,0,1,
item41ec3d53bf,Plain Fabric Material Napkins serviettes 100% polyester machine washable,https://www.ebay.com/itm/283136316351?var=586074630159&hash=item41ec3d53bf:g:Bn0AAOSwFfhhd8TM,https://i.ebayimg.com/thumbs/images/g/Bn0AAOSwFfhhd8TM/s-l225.jpg,$2.08 to $3.09,Jun-01 08:32,Unknown,Unknown,Unknown,Instant,0,"17,943",
item3f696a7e01,Plain Bi Stretch Polyester Fabric Material  Suit / Dress Making / Venue Dressing,https://www.ebay.com/itm/272351526401?var=575284136690&hash=item3f696a7e01:g:U5cAAOSwfHthdoKo,https://i.ebayimg.com/thumbs/images/g/U5cAAOSwfHthdoKo/s-l225.jpg,$1.25 to $5.61,Jun-01 01:33,Unknown,Unknown,Unknown,Instant,0,"6,322",
item46d38b2c32,Berisfords Premium 5mm Double Satin Ribbon x 5 Metres Choice Of Colours,https://www.ebay.com/itm/304196824114?var=603300695403&hash=item46d38b2c32:g:q7YAAOSwaChhc~Wk,https://i.ebayimg.com/thumbs/images/g/q7YAAOSwaChhc~Wk/s-l225.jpg,$2.33 to $2.46,May-31 15:19,Unknown,Unknown,Unknown,Instant,0,457,
