id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4ddea22011,Butterfly - 1 x mounted female rare yellow form Colotis ione (Good A1-),https://www.ebay.com/itm/334447648785?hash=item4ddea22011:g:-5gAAOSwKi9ih6SE,https://i.ebayimg.com/thumbs/images/g/-5gAAOSwKi9ih6SE/s-l225.jpg,$27.49,May-29 11:48,Unknown,pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,4,1,"May 29, 2022

11:48:13 PDT"
item4ddea21a5e,Butterfly - 1 x mounted female nominate form Colotis ione (Good A1-),https://www.ebay.com/itm/334447647326?hash=item4ddea21a5e:g:cgUAAOSwGKZih6Ps,https://i.ebayimg.com/thumbs/images/g/cgUAAOSwGKZih6Ps/s-l225.jpg,$6.87,May-29 11:46,Unknown,pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,2,1,"May 29, 2022

11:46:50 PDT"
item4ddea20f57,Butterfly - 1 x mounted male Colotis ione (Good A1-),https://www.ebay.com/itm/334447644503?hash=item4ddea20f57:g:rxgAAOSw4W9ih6MT,https://i.ebayimg.com/thumbs/images/g/rxgAAOSw4W9ih6MT/s-l225.jpg,$14.37,May-29 11:44,Unknown,pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,8,1,"May 29, 2022

11:44:06 PDT"
item2b2cb518d4,Butterfly  x1 female Colotis ione (Ghana) form B,https://www.ebay.com/itm/185433659604?hash=item2b2cb518d4:g:528AAOSwXrpih43k,https://i.ebayimg.com/thumbs/images/g/528AAOSwXrpih43k/s-l225.jpg,$6.87,May-29 10:28,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,2,1,"May 29, 2022

10:28:48 PDT"
item28d006b8fd,Butterfly  x1 female Colotis ione (Ghana) form A,https://www.ebay.com/itm/175288793341?hash=item28d006b8fd:g:rgIAAOSw-2Vih42h,https://i.ebayimg.com/thumbs/images/g/rgIAAOSw-2Vih42h/s-l225.jpg,$10.00,May-29 10:26,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,3,1,"May 29, 2022

10:26:11 PDT"
item28cef72414,SUTHERLAND ENGLAND CHINA THIMBLE - BUTTERFLY - COLOTIS IONE,https://www.ebay.com/itm/175270994964?hash=item28cef72414:g:jo4AAOSw9OZidUKx,https://i.ebayimg.com/thumbs/images/g/jo4AAOSw9OZidUKx/s-l225.jpg,$3.62,May-14 12:16,Unknown,forestworldthimbles,https://www.ebay.com/usr/forestworldthimbles?_trksid=p2047675.l2559,Auction,1,1,"May 14, 2022

12:16:58 PDT"
item2b2a8c25bb,"Butterfly  x1 female Colotis ione (Ghana)  form, lemon flushed",https://www.ebay.com/itm/185397421499?hash=item2b2a8c25bb:g:2tkAAOSwZ~JiY~m5,https://i.ebayimg.com/thumbs/images/g/2tkAAOSwZ~JiY~m5/s-l225.jpg,$6.87,May-01 09:41,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,3,1,"May 01, 2022

09:41:14 PDT"
item28cc35798e,Butterfly  x1 female Colotis ione (Ghana)    form C,https://www.ebay.com/itm/175224748430?hash=item28cc35798e:g:xM0AAOSw9sliSBrR,https://i.ebayimg.com/thumbs/images/g/xM0AAOSw9sliSBrR/s-l225.jpg,$3.12,Apr-10 10:40,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

10:40:48 PDT"
item2b28cf274a,Butterfly  x1 female Colotis ione (Ghana)    form B,https://www.ebay.com/itm/185368258378?hash=item2b28cf274a:g:pmwAAOSwDQJiSBqt,https://i.ebayimg.com/thumbs/images/g/pmwAAOSwDQJiSBqt/s-l225.jpg,$3.12,Apr-10 10:39,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

10:39:38 PDT"
item2b28cf268f,Butterfly  x1 female Colotis ione (Ghana)    form A,https://www.ebay.com/itm/185368258191?hash=item2b28cf268f:g:2f8AAOSwUtZiSBpg,https://i.ebayimg.com/thumbs/images/g/2f8AAOSwUtZiSBpg/s-l225.jpg,$3.12,Apr-10 10:37,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Apr 10, 2022

10:37:12 PDT"
item5713cf4744,COLOTIS IONE FROM TANZANIA,https://www.ebay.com/itm/373994506052?hash=item5713cf4744:g:ReYAAOSwt21iQIP0,https://i.ebayimg.com/thumbs/images/g/ReYAAOSwt21iQIP0/s-l225.jpg,$5.50,Apr-03 11:03,Unknown,ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Apr 03, 2022

11:03:18 PDT"
item54b2696d3b,COLOTIS IONE FROM TANZANIA,https://www.ebay.com/itm/363770506555?hash=item54b2696d3b:g:XyYAAOSwg6tiNzGI,https://i.ebayimg.com/thumbs/images/g/XyYAAOSwg6tiNzGI/s-l225.jpg,$4.75,Mar-27 11:20,Unknown,ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1,"Mar 27, 2022

11:20:05 PDT"
item1d16ece8b3,Tanzania #O17 (A5a) VF USED - 1973 10c Colotis Ione Butterfly - Official,https://www.ebay.com/itm/124938676403?hash=item1d16ece8b3:g:FuwAAOSwdW9hXwKh,https://i.ebayimg.com/thumbs/images/g/FuwAAOSwdW9hXwKh/s-l225.jpg,$1.20,Mar-06 13:46,Unknown,1gorgeousgift,https://www.ebay.com/usr/1gorgeousgift?_trksid=p2047675.l2559,Instant,0,1,
item2b25a766ab,Butterfly  x1 female Colotis ione (Ghana)   form C large,https://www.ebay.com/itm/185315321515?hash=item2b25a766ab:g:Fw4AAOSwqyBiGhSf,https://i.ebayimg.com/thumbs/images/g/Fw4AAOSwqyBiGhSf/s-l225.jpg,$3.12,Mar-06 11:37,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Mar 06, 2022

11:37:46 PST"
item2b25a764f9,Butterfly  x1 female Colotis ione (Ghana)   form B,https://www.ebay.com/itm/185315321081?hash=item2b25a764f9:g:f9sAAOSwOPxiGhRo,https://i.ebayimg.com/thumbs/images/g/f9sAAOSwOPxiGhRo/s-l225.jpg,$3.12,Mar-06 11:35,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Mar 06, 2022

11:35:28 PST"
item28c960779f,Butterfly  x1 female Colotis ione (Ghana)   form A  yellow flushed,https://www.ebay.com/itm/175177234335?hash=item28c960779f:g:MKgAAOSwTHxiGhCZ,https://i.ebayimg.com/thumbs/images/g/MKgAAOSwTHxiGhCZ/s-l225.jpg,$3.12,Mar-06 11:33,Unknown,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Mar 06, 2022

11:33:14 PST"
