id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item28a9fc0fdd,Real Framed Battus Polydamas Lucayus Verso Butterfly 8332,https://www.ebay.com/itm/Real-Framed-Battus-Polydamas-Lucayus-Verso-Butterfly-8332/174650560477?hash=item28a9fc0fdd:g:yVYAAOSwPCVX3HVe,$64.99,"Visalia, California, United States",https://i.ebayimg.com/thumbs/images/g/yVYAAOSwPCVX3HVe/s-l225.jpg,realbutterflygifts,https://www.ebay.com/usr/realbutterflygifts?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item446d2b1dda,Battus polydamas...Honduras....Good examples of this type....,https://www.ebay.com/itm/Battus-polydamas-Honduras-Good-examples-of-this-type/293889318362?hash=item446d2b1dda:g:GswAAOSwH-Bf0nUJ,$19.00,"ruza, mosoblast, Russian Federation",https://i.ebayimg.com/thumbs/images/g/GswAAOSwH-Bf0nUJ/s-l225.jpg,roman-insects,https://www.ebay.com/usr/roman-insects?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 10, 2020 11:22:22 PST"
item3ad7430085,"Unmounted Butterfly/Papilionidae - Battus polydamas polydamas, FEMALE, Argentina",https://www.ebay.com/itm/Unmounted-Butterfly-Papilionidae-Battus-polydamas-polydamas-FEMALE-Argentina/252719595653?hash=item3ad7430085:g:SbQAAOSwx6pYrXqu,$6.68,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/SbQAAOSwx6pYrXqu/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,2,"Oct 16, 2020 14:03:46 PDT"
item4450a9fa9a,BATTUS PHILENOR  X BATTUS POLYDAMAS *** HYBRID*** SUPER RARITY*male*MEXICO,https://www.ebay.com/itm/BATTUS-PHILENOR-X-BATTUS-POLYDAMAS-HYBRID-SUPER-RARITY-male-MEXICO/293411093146?hash=item4450a9fa9a:g:5xEAAOSw2vpfzQ4e,"$3,520.02","Miami Playa, Spain",https://i.ebayimg.com/thumbs/images/g/5xEAAOSw2vpfzQ4e/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 06, 2021 09:36:20 PST"
item46a633c8d2,BATTUS POLYDAMAS CEBRIONES****male A1--****MARTINIQUE Island,https://www.ebay.com/itm/BATTUS-POLYDAMAS-CEBRIONES-male-A1-MARTINIQUE-Island/303436122322?hash=item46a633c8d2:g:68kAAOSwLwVdi2k2,$181.95,"Miami Playa, Spain",https://i.ebayimg.com/thumbs/images/g/68kAAOSwLwVdi2k2/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:13 PST"
item4471f69820,BATTUS POLYDAMAS CEBRIONES****male****MARTINIQUE Island,https://www.ebay.com/itm/BATTUS-POLYDAMAS-CEBRIONES-male-MARTINIQUE-Island/293969762336?hash=item4471f69820:g:X7wAAOSwd0JgDFdd,$236.69,"Miami Playa, Spain",https://i.ebayimg.com/thumbs/images/g/X7wAAOSwd0JgDFdd/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item446b6efa32,BATTUS POLYDAMAS CUBENSIS *****female Nr.1*****CUBA,https://www.ebay.com/itm/BATTUS-POLYDAMAS-CUBENSIS-female-Nr-1-CUBA/293860211250?hash=item446b6efa32:g:Vh0AAOSwuE9fwT3F,$48.43,"Miami Playa, Spain",https://i.ebayimg.com/thumbs/images/g/Vh0AAOSwuE9fwT3F/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:23:39 PST"
item46bb125267,BATTUS POLYDAMAS CUBENSIS *****female Nr.2*****CUBA,https://www.ebay.com/itm/BATTUS-POLYDAMAS-CUBENSIS-female-Nr-2-CUBA/303786250855?hash=item46bb125267:g:59sAAOSwCbFfwT5b,$48.43,"Miami Playa, Spain",https://i.ebayimg.com/thumbs/images/g/59sAAOSwCbFfwT5b/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:16 PST"
item46bad364b6,BATTUS POLYDAMAS CUBENSIS****male****CUBA,https://www.ebay.com/itm/BATTUS-POLYDAMAS-CUBENSIS-male-CUBA/303782126774?hash=item46bad364b6:g:i8EAAOSwHK1fvUz4,$48.43,"Miami Playa, Spain",https://i.ebayimg.com/thumbs/images/g/i8EAAOSwHK1fvUz4/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:08 PST"
item446b6f4939,BATTUS POLYDAMAS JAMAICENSIS*****male *****Jamaica,https://www.ebay.com/itm/BATTUS-POLYDAMAS-JAMAICENSIS-male-Jamaica/293860231481?hash=item446b6f4939:g:DIMAAOSwwwxfwUCd,$24.15,"Miami Playa, Spain",https://i.ebayimg.com/thumbs/images/g/DIMAAOSwwwxfwUCd/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:23:39 PST"
