id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item2169c97d6c,LOT OF 10 CALIGO EURILOCHUS**OWL BUTTERFLY** A1. GOOD CONDITION. UNMOUNTED. PERU,https://www.ebay.com/itm/LOT-OF-10-CALIGO-EURILOCHUS-OWL-BUTTERFLY-A1-GOOD-CONDITION-UNMOUNTED-PERU/143508733292?hash=item2169c97d6c:g:1EsAAOSwWwReJ-Ba,$39.99,"Miami, Florida, United States",https://i.ebayimg.com/thumbs/images/g/1EsAAOSwWwReJ-Ba/s-l225.jpg,1103rada,https://www.ebay.com/usr/1103rada?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jan 21, 2020 21:40:56 PST"
item33d5169e79,Caligo eurilochus ONE REAL BUTTERFLY OWL EYE UNMOUNTED WHOLESALE WINGS CLOSED,https://www.ebay.com/itm/Caligo-eurilochus-ONE-REAL-BUTTERFLY-OWL-EYE-UNMOUNTED-WHOLESALE-WINGS-CLOSED/222618361465?hash=item33d5169e79:g:QQ0AAOSw~7Jcgs5M,$12.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/QQ0AAOSw~7Jcgs5M/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:46 PST"
item59665b6e92,Caligo eurilochus owl butterfly verso Peru framed,https://www.ebay.com/itm/Caligo-eurilochus-owl-butterfly-verso-Peru-framed/383969357458?hash=item59665b6e92:g:ZicAAOSwAnZgMb5w,$32.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/ZicAAOSwAnZgMb5w/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,Unknown
item421b1423d0,"Caligo eurilochus, brasiliens, oedipus, oileus mix of FIVE ( 5 ) Owl Heads",https://www.ebay.com/itm/Caligo-eurilochus-brasiliens-oedipus-oileus-mix-of-FIVE-5-Owl-Heads/283922146256?hash=item421b1423d0:g:Fr0AAOSwWCte73dZ,$32.95,"Commack, New York, United States",https://i.ebayimg.com/thumbs/images/g/Fr0AAOSwWCte73dZ/s-l225.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,6 lots (5 items per lot),Unknown
item421b14346d,"Caligo eurilochus, brasiliens, oedipus, oileus mix of TEN ( 10 ) Owl Heads",https://www.ebay.com/itm/Caligo-eurilochus-brasiliens-oedipus-oileus-mix-of-TEN-10-Owl-Heads/283922150509?hash=item421b14346d:g:9r0AAOSwYE9e73e5,$62.95,"Commack, New York, United States",https://i.ebayimg.com/thumbs/images/g/9r0AAOSwYE9e73e5/s-l225.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,3 lots (10 items per lot),Unknown
item343d52c79e,UNMOUNTED BUTTERFLY CALIGO EURILOCHUS LIVIUS 1 PC.,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLY-CALIGO-EURILOCHUS-LIVIUS-1-PC/224367134622?hash=item343d52c79e:g:VEwAAOSwJJRfi8OZ,$14.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/thumbs/images/g/VEwAAOSwJJRfi8OZ/s-l225.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"Feb 26, 2021 20:54:49 PST"
item421b15bed0,Caligo eurilochus PAIR Huge A1 Male & Female  Owl Head Butterflies,https://www.ebay.com/itm/Caligo-eurilochus-PAIR-Huge-A1-Male-Female-Owl-Head-Butterflies/283922251472?hash=item421b15bed0:g:9r0AAOSwYE9e73e5,$13.95,"Commack, New York, United States",https://i.ebayimg.com/thumbs/images/g/9r0AAOSwYE9e73e5/s-l225.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,7,Unknown
item1d02301133,Real Caligo eurilochus Male Large OWL HEAD BUTTERFLY Bug Insect Unmounted USA,https://www.ebay.com/itm/Real-Caligo-eurilochus-Male-Large-OWL-HEAD-BUTTERFLY-Bug-Insect-Unmounted-USA/124590756147?hash=item1d02301133:g:FTEAAOSwfE1gNAGm,$11.77,"Austin, Texas, United States",https://i.ebayimg.com/thumbs/images/g/FTEAAOSwfE1gNAGm/s-l225.jpg,arts-of-science,https://www.ebay.com/usr/arts-of-science?_trksid=p2047675.l2559,Instant,0,0,8,Unknown
item3b5626910a,"Unmounted Butterfly/Nymphalidae - Caligo eurilochus livius, FEMALE, 87mm",https://www.ebay.com/itm/Unmounted-Butterfly-Nymphalidae-Caligo-eurilochus-livius-FEMALE-87mm/254848438538?hash=item3b5626910a:g:Hm8AAOSwXlZgEyUs,$22.71,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/Hm8AAOSwXlZgEyUs/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item3b56265785,"Unmounted Butterfly/Nymphalidae - Caligo eurilochus livius, male, Peru, 71-75mm",https://www.ebay.com/itm/Unmounted-Butterfly-Nymphalidae-Caligo-eurilochus-livius-male-Peru-71-75mm/254848423813?hash=item3b56265785:g:zogAAOSwuytgEyNf,$10.68,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/zogAAOSwuytgEyNf/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,3,"Feb 02, 2021 03:08:07 PST"
item3436d5924c,"Framed Stunning Giant Owl Butterfly  Caligo eurilochus livius, Insect Taxedermy",https://www.ebay.com/itm/Framed-Stunning-Giant-Owl-Butterfly-Caligo-eurilochus-livius-Insect-Taxedermy/224258265676?hash=item3436d5924c:g:~v8AAOSwy0lfvEzg,$50.28,"CHELTENHAM, Australia",https://i.ebayimg.com/thumbs/images/g/~v8AAOSwy0lfvEzg/s-l225.jpg,paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2d24d7deed,Caligo eurilochus livius Giant Owl Butterfly Taxidermy REAL Insect Unmounted,https://www.ebay.com/itm/Caligo-eurilochus-livius-Giant-Owl-Butterfly-Taxidermy-REAL-Insect-Unmounted/193891655405?hash=item2d24d7deed:g:lQ8AAOSwFZtgKHt9,$14.00,"Sainte-Brigitte-de-Laval, Quebec, Canada",https://i.ebayimg.com/thumbs/images/g/lQ8AAOSwFZtgKHt9/s-l225.jpg,taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,0,More than 10,Unknown
item343628f588,"Framed Stunning Giant Owl Butterfly  Caligo eurilochus livius, Insect Taxedermy",https://www.ebay.com/itm/Framed-Stunning-Giant-Owl-Butterfly-Caligo-eurilochus-livius-Insect-Taxedermy/224246953352?hash=item343628f588:g:9r8AAOSwZaRfvEuO,$50.28,"CHELTENHAM, Australia",https://i.ebayimg.com/thumbs/images/g/9r8AAOSwZaRfvEuO/s-l225.jpg,paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b56268373,"Unmounted Butterfly/Nymphalidae - Caligo eurilochus livius, FEMALE, 78-80mm A1/A",https://www.ebay.com/itm/Unmounted-Butterfly-Nymphalidae-Caligo-eurilochus-livius-FEMALE-78-80mm-A1-A/254848435059?hash=item3b56268373:g:Hm8AAOSwXlZgEyUs,$17.36,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/Hm8AAOSwXlZgEyUs/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item46c0c1b388,Card 1935: caligo eurilochus butterfly xylotrupes Gideon rhinoceros beetle,https://www.ebay.com/itm/CARD-1935-Caligo-eurilochus-Butterfly-Xylotrupes-gideon-Rhinoceros-Beetle/303881630600?hash=item46c0c1b388:g:wpMAAOSw9eVXUsHX,$6.06,"Varna, Bulgaria",https://i.ebayimg.com/thumbs/images/g/wpMAAOSw9eVXUsHX/s-l225.jpg,saintmichelfrance,https://www.ebay.com/usr/saintmichelfrance?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 11, 2021 12:49:07 PST"
