id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item590ab96399,Dione juno ONE REAL BUTTERFLY ORANGE SILVER VERSO PERU UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/Dione-juno-ONE-REAL-BUTTERFLY-ORANGE-SILVER-VERSO-PERU-UNMOUNTED-WINGS-CLOSED/382432011161?hash=item590ab96399:g:UJ8AAOSw~LpchbAj,$6.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/UJ8AAOSw~LpchbAj/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:52 PST"
item23e630867d,Dione juno - Ecuador - Unmounted - Ships from USA,https://www.ebay.com/itm/Dione-juno-Ecuador-Unmounted-Ships-from-USA/154185795197?hash=item23e630867d:g:vvoAAOSwuThfqXeM,$3.00,"Twin Falls, Idaho, United States",https://i.ebayimg.com/thumbs/images/g/vvoAAOSwuThfqXeM/s-l225.jpg,brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item342b1d8a67,Dione juno verso REAL FRAMED BUTTERFLY ORANGE SILVER PERU,https://www.ebay.com/itm/Dione-juno-verso-REAL-FRAMED-BUTTERFLY-ORANGE-SILVER-PERU/224061655655?hash=item342b1d8a67:g:6qwAAOSwsPRe-VjN,$26.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/6qwAAOSwsPRe-VjN/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:43 PST"
item3b497ab253,Lot of 10 Juno Silverspot or Juno Longwing Butterfly Dione juno Folded FAST USA,https://www.ebay.com/itm/Lot-of-10-Juno-Silverspot-or-Juno-Longwing-Butterfly-Dione-juno-Folded-FAST-USA/254635848275?hash=item3b497ab253:g:2yYAAOSwU~Fbs418,$31.99,"Jupiter, Florida, United States",https://i.ebayimg.com/thumbs/images/g/2yYAAOSwU~Fbs418/s-l225.jpg,ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,0,Last one,"Feb 24, 2021 12:36:16 PST"
item4dbe13cddf,Framed Dione Juno Butterfly peru,https://www.ebay.com/itm/Framed-Dione-Juno-Butterfly-peru/333901450719?hash=item4dbe13cddf:g:xh4AAOSwgjVgHEeg,$24.99,"Asheville, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/xh4AAOSwgjVgHEeg/s-l225.jpg,journeyman99er,https://www.ebay.com/usr/journeyman99er?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item3b1eb18f82,Juno Silverspot or Juno Longwing Butterfly Dione juno Folded FAST FROM USA,https://www.ebay.com/itm/Juno-Silverspot-or-Juno-Longwing-Butterfly-Dione-juno-Folded-FAST-FROM-USA/253918023554?hash=item3b1eb18f82:g:2yYAAOSwU~Fbs418,$3.79,"Jupiter, Florida, United States",https://i.ebayimg.com/thumbs/images/g/2yYAAOSwU~Fbs418/s-l225.jpg,ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 24, 2021 12:36:19 PST"
item2eef355dc5,Dione juno Folded Butterfly Taxidermy REAL Unmounted,https://www.ebay.com/itm/Dione-juno-Folded-Butterfly-Taxidermy-REAL-Unmounted/201581747653?hash=item2eef355dc5:g:JnIAAOSwXsFad8j8,$2.25,"Sainte-Brigitte-de-Laval, Quebec, Canada",https://i.ebayimg.com/thumbs/images/g/JnIAAOSwXsFad8j8/s-l225.jpg,taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jan 04, 2021 17:47:19 PST"
item288edc65a7,Dione juno x 10 butterflies. peru,https://www.ebay.com/itm/DIONE-JUNO-X-10-PAPILLONS-PEROU/174195500455?hash=item288edc65a7:g:qa0AAOSwRsJeTBrj,$16.99,"Toulouse, France",https://i.ebayimg.com/thumbs/images/g/qa0AAOSwRsJeTBrj/s-l225.jpg,objets-et-creatures-31,https://www.ebay.com/usr/objets-et-creatures-31?_trksid=p2047675.l2559,Instant,0,0,6 lots (10 items per lot),"Jan 18, 2021 02:31:06 PST"
item3ad744f8de,"Unmounted Butterfly/Nymphalidae - Dione juno juno, male, Colombia",https://www.ebay.com/itm/Unmounted-Butterfly-Nymphalidae-Dione-juno-juno-male-Colombia/252719724766?hash=item3ad744f8de:g:MoQAAOSwubRXK7Ss,$2.67,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/MoQAAOSwubRXK7Ss/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,4,"Nov 16, 2020 13:09:34 PST"
item3b497ab50e,Lot of 25 Juno Silverspot or Juno Longwing Butterfly Dione juno Folded FAST USA,https://www.ebay.com/itm/Lot-of-25-Juno-Silverspot-or-Juno-Longwing-Butterfly-Dione-juno-Folded-FAST-USA/254635848974?hash=item3b497ab50e:g:2yYAAOSwU~Fbs418,$74.99,"Jupiter, Florida, United States",https://i.ebayimg.com/thumbs/images/g/2yYAAOSwU~Fbs418/s-l225.jpg,ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,0,2,"Feb 24, 2021 12:36:17 PST"
