id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item33da05ea1c,Graphium agamemnon ONE REAL BUTTERFLY GREEN UNMOUNTED WINGS CLOSED INDONESIA,https://www.ebay.com/itm/Graphium-agamemnon-ONE-REAL-BUTTERFLY-GREEN-UNMOUNTED-WINGS-CLOSED-INDONESIA/222701152796?hash=item33da05ea1c:g:jD0AAOSwtJFavv4o,$8.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/jD0AAOSwtJFavv4o/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:40 PST"
item48f177cca9,"REAL Graphium agamemnon, TROPICAL GREEN Tailed Jay Butterfly A1, unmounted",https://www.ebay.com/itm/REAL-Graphium-agamemnon-TROPICAL-GREEN-Tailed-Jay-Butterfly-A1-unmounted/313288805545?hash=item48f177cca9:g:-tAAAOSwjjdf-fkQ,$5.99,"Estes Park, Colorado, United States",https://i.ebayimg.com/thumbs/images/g/-tAAAOSwjjdf-fkQ/s-l225.jpg,little_caterpillar_butterfly_art,https://www.ebay.com/usr/little_caterpillar_butterfly_art?_trksid=p2047675.l2559,Instant,0,0,Last one,"Feb 16, 2021 06:42:26 PST"
item42150c3881,unmounted butterfly papilionidae Graphium agamemnon YUNNAN CHINA A1-,https://www.ebay.com/itm/unmounted-butterfly-papilionidae-Graphium-agamemnon-YUNNAN-CHINA-A1/283820963969?hash=item42150c3881:g:-3AAAOSwZxZedBkO,$1.49,"beijing, China",https://i.ebayimg.com/thumbs/images/g/-3AAAOSwZxZedBkO/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,9,"Jan 07, 2021 03:18:30 PST"
item4b8dba2431,UNMOUNTED BUTTERFLIES GRAPHIUM AGAMEMNON  PAIR.Luzon,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLIES-GRAPHIUM-AGAMEMNON-PAIR-Luzon/324500333617?hash=item4b8dba2431:g:gfgAAOSw4DxgKfoe,$2.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/thumbs/images/g/gfgAAOSw4DxgKfoe/s-l225.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"Feb 26, 2021 20:59:27 PST"
item48f9672896,Papilionidae. 12 x Graphium agamemnon plisthenes.  Buru Is,https://www.ebay.com/itm/Papilionidae-12-x-Graphium-agamemnon-plisthenes-Buru-Is/313421932694?hash=item48f9672896:g:878AAOSwarRf-s7F,$10.00,"Jakarta, Indonesia",https://i.ebayimg.com/thumbs/images/g/878AAOSwarRf-s7F/s-l225.jpg,batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item48dae06e24,collection 10 PCS unmounted butterfly papilionidae Graphium agamemnon CHINA  A1,https://www.ebay.com/itm/collection-10-PCS-unmounted-butterfly-papilionidae-Graphium-agamemnon-CHINA-A1/312909786660?hash=item48dae06e24:g:tPoAAOSw6aVUopl1,$14.90,"beijing, China",https://i.ebayimg.com/thumbs/images/g/tPoAAOSw6aVUopl1/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 07, 2021 03:51:12 PST"
item1a959d9686,NEW ARRIVALS: Solomon Islands - GRAPHIUM AGAMEMNON SALOMONIS (female?),https://www.ebay.com/itm/NEW-ARRIVALS-Solomon-Islands-GRAPHIUM-AGAMEMNON-SALOMONIS-female/114179282566?hash=item1a959d9686:g:5pkAAOSw7WxejxWJ,$29.99,"Neufahrn, Germany",https://i.ebayimg.com/thumbs/images/g/5pkAAOSw7WxejxWJ/s-l225.jpg,caerlaverock,https://www.ebay.com/usr/caerlaverock?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 06, 2021 07:03:22 PST"
item48c710b9cb,5  unmounted butterfly papilionidae Graphium agamemnon GUANGXI  A1,https://www.ebay.com/itm/5-unmounted-butterfly-papilionidae-Graphium-agamemnon-GUANGXI-A1/312577407435?hash=item48c710b9cb:g:tPoAAOSw6aVUopl1,$8.80,"beijing, China",https://i.ebayimg.com/thumbs/images/g/tPoAAOSw6aVUopl1/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,7,"Jan 07, 2021 03:37:10 PST"
item48f69e53bf,Papilionidae. 1 pair Graphium agamemnon plisthenes.  Buru Is,https://www.ebay.com/itm/Papilionidae-1-pair-Graphium-agamemnon-plisthenes-Buru-Is/313375216575?hash=item48f69e53bf:g:JHEAAOSwtmhfxiCK,$10.00,"Jakarta, Indonesia",https://i.ebayimg.com/thumbs/images/g/JHEAAOSwtmhfxiCK/s-l225.jpg,batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 27, 2021 06:44:03 PST"
item56f108b0b7,BUTTERFLY - Graphium agamemnon agamemnon (Aberration) - MALAYSIA - 5114,https://www.ebay.com/itm/BUTTERFLY-Graphium-agamemnon-agamemnon-Aberration-MALAYSIA-5114/373411066039?hash=item56f108b0b7:g:W5oAAOSwqZ5fEbFd,$49.90,"Peninsular, Malaysia",https://i.ebayimg.com/thumbs/images/g/W5oAAOSwqZ5fEbFd/s-l225.jpg,mybutterflybugs,https://www.ebay.com/usr/mybutterflybugs?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 20, 2021 03:40:27 PST"
