id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item33eefaeade,Graphium androcles ONE REAL BUTTERFLY SWORD TAIL SWALLOWTAIL WINGS CLOSED,https://www.ebay.com/itm/Graphium-androcles-ONE-REAL-BUTTERFLY-SWORD-TAIL-SWALLOWTAIL-WINGS-CLOSED/223052753630?hash=item33eefaeade:g:vbIAAOSwbzxcgv2X,$14.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/vbIAAOSwbzxcgv2X/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:49 PST"
item2184729fe7,"+ ENTOMOLOGY, BUTTERFLY: GRAPHIUM ANDROCLES MALE SULAWESI +++",https://www.ebay.com/itm/ENTOMOLOGY-BUTTERFLY-GRAPHIUM-ANDROCLES-MALE-SULAWESI/143956025319?hash=item2184729fe7:g:Q98AAOSwraBgMqs5,$3.25,"Haibach, Germany",https://i.ebayimg.com/thumbs/images/g/Q98AAOSwraBgMqs5/s-l225.jpg,aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,2,0,1,21 Feb 2021 at 10:49:40am PST
item28aa6c9d12,"Graphium androcles in framed  6"" x 8""",https://www.ebay.com/itm/Graphium-androcles-in-framed-6-x-8/174657936658?hash=item28aa6c9d12:g:HfwAAOSwhsZgO3hF,$29.00,"Kharkov, Ukraine",https://i.ebayimg.com/thumbs/images/g/HfwAAOSwhsZgO3hF/s-l225.jpg,sergsur123,https://www.ebay.com/usr/sergsur123?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3418488cb6,IND 00 A+/ A Graphium androcles Superlong JUMBO  Papilio,https://www.ebay.com/itm/IND-00-A-A-Graphium-androcles-Superlong-JUMBO-Papilio/223745707190?hash=item3418488cb6:g:WcIAAOSwyKxXhCQc,$3.15,"Southport, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/WcIAAOSwyKxXhCQc/s-l225.jpg,budgetbutterfly,https://www.ebay.com/usr/budgetbutterfly?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jan 31, 2021 18:21:16 PST"
item3db03eaf2a,Graphium androcles 5 males wholesale  good for artwork,https://www.ebay.com/itm/Graphium-androcles-5-males-wholesale-good-for-artwork/264949903146?hash=item3db03eaf2a:g:QW0AAOSwWiBY~lyb,$16.00,"Voronezh, Russian Federation",https://i.ebayimg.com/thumbs/images/g/QW0AAOSwWiBY~lyb/s-l225.jpg,maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 18, 2021 11:14:23 PST"
item28a7fd197f,"Graphium androcles, The Great Swordtail Butterfly Dome",https://www.ebay.com/itm/Graphium-androcles-The-Great-Swordtail-Butterfly-Dome/174617074047?hash=item28a7fd197f:g:fdUAAMXQgPFRGiVH,$88.00,"Newport, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/fdUAAMXQgPFRGiVH/s-l225.jpg,papilio28570,https://www.ebay.com/usr/papilio28570?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item48f1a7da34,Papilionidae. 12 x Graphium androcles. Luwuk,https://www.ebay.com/itm/Papilionidae-12-x-Graphium-androcles-Luwuk/313291954740?hash=item48f1a7da34:g:tcEAAOSw2jBeetqs,$23.00,"Jakarta, Indonesia",https://i.ebayimg.com/thumbs/images/g/tcEAAOSw2jBeetqs/s-l225.jpg,batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 23, 2021 16:34:27 PST"
item33d8a728d9,IND 00/20 A+/ A Graphium androcles Superlong STUNNING Papilio,https://www.ebay.com/itm/IND-00-20-A-A-Graphium-androcles-Superlong-STUNNING-Papilio/222678165721?hash=item33d8a728d9:g:WcIAAOSwyKxXhCQc,$55.00,"Southport, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/WcIAAOSwyKxXhCQc/s-l225.jpg,budgetbutterfly,https://www.ebay.com/usr/budgetbutterfly?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 31, 2021 18:17:39 PST"
item4b7ee6d102,IND 00/10 A+/ A Graphium androcles Superlong STUNNING Papilio,https://www.ebay.com/itm/IND-00-10-A-A-Graphium-androcles-Superlong-STUNNING-Papilio/324251603202?hash=item4b7ee6d102:g:WcIAAOSwyKxXhCQc,$30.55,"Southport, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/WcIAAOSwyKxXhCQc/s-l225.jpg,budgetbutterfly,https://www.ebay.com/usr/budgetbutterfly?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 31, 2021 18:19:16 PST"
item3b51a4bef4,2 x unmounted Beautiful Real Butterfly  specimens - GRAPHIUM ANDROCLES f034,https://www.ebay.com/itm/2-x-unmounted-Beautiful-Real-Butterfly-specimens-GRAPHIUM-ANDROCLES-f034/254772821748?hash=item3b51a4bef4:g:ZQYAAOSwnB1fi3eH,$8.99,"Chino Hills, California, United States",https://i.ebayimg.com/thumbs/images/g/ZQYAAOSwnB1fi3eH/s-l225.jpg,888storeonline,https://www.ebay.com/usr/888storeonline?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 15, 2021 12:46:39 PST"
item343d52c70a,UNMOUNTED BUTTERFLY GRAPHIUM ANDROCLES 1 PC,https://www.ebay.com/itm/UNMOUNTED-BUTTERFLY-GRAPHIUM-ANDROCLES-1-PC/224367134474?hash=item343d52c70a:g:2g8AAOSwuQpgMdLm,$3.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/thumbs/images/g/2g8AAOSwuQpgMdLm/s-l225.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"Feb 26, 2021 20:55:52 PST"
item2181fc1448,Framed Giant Swordtail (Graphium androcles) In Quality Wooden Frame,https://www.ebay.com/itm/Framed-Giant-Swordtail-Graphium-androcles-In-Quality-Wooden-Frame/143914701896?hash=item2181fc1448:g:UxAAAOSwWKBf-2ni,$38.00,"Roznava, Slovakia",https://i.ebayimg.com/thumbs/images/g/UxAAAOSwWKBf-2ni/s-l225.jpg,papil546,https://www.ebay.com/usr/papil546?_trksid=p2047675.l2559,Instant,0,0,4,"Jan 18, 2021 02:27:41 PST"
item2181fc1838,Framed Giant Swordtail (Graphium androcles) In Quality Wooden Frame,https://www.ebay.com/itm/Framed-Giant-Swordtail-Graphium-androcles-In-Quality-Wooden-Frame/143914702904?hash=item2181fc1838:g:V6sAAOSwSVVf-2su,$38.00,"Roznava, Slovakia",https://i.ebayimg.com/thumbs/images/g/V6sAAOSwSVVf-2su/s-l225.jpg,papil546,https://www.ebay.com/usr/papil546?_trksid=p2047675.l2559,Instant,0,0,4,Unknown
item2181fc1b92,Framed Giant Swordtail (Graphium androcles) In Quality Wooden Frame,https://www.ebay.com/itm/Framed-Giant-Swordtail-Graphium-androcles-In-Quality-Wooden-Frame/143914703762?hash=item2181fc1b92:g:3-IAAOSwqupf-2t5,$38.00,"Roznava, Slovakia",https://i.ebayimg.com/thumbs/images/g/3-IAAOSwqupf-2t5/s-l225.jpg,papil546,https://www.ebay.com/usr/papil546?_trksid=p2047675.l2559,Instant,0,0,4,Unknown
item1f1d2345f3,Graphium ANDROCLES Males,https://www.ebay.com/itm/Graphium-androcles-Mannchen/133632837107?hash=item1f1d2345f3:g:DMEAAOSw-ERf-gPm,$21.85,"Haibach, Germany",https://i.ebayimg.com/thumbs/images/g/DMEAAOSw-ERf-gPm/s-l225.jpg,aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2181dd6486,Graphium ANDROCLES 5 x Up,https://www.ebay.com/itm/Graphium-androcles-5-x-UP/143912690822?hash=item2181dd6486:g:nPAAAOSwh1df-LuL,$84.84,"Haibach, Germany",https://i.ebayimg.com/thumbs/images/g/nPAAAOSwh1df-LuL/s-l225.jpg,aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23e458bf5c,Beautiful Butterfly single male Graphium androcles. Luwuk,https://www.ebay.com/itm/Beautiful-Butterfly-single-male-Graphium-androcles-Luwuk/154154876764?hash=item23e458bf5c:g:wf4AAOSwvwRfkTU1,$4.99,"Fullerton, California, United States",https://i.ebayimg.com/thumbs/images/g/wf4AAOSwvwRfkTU1/s-l225.jpg,max-beetle-seller,https://www.ebay.com/usr/max-beetle-seller?_trksid=p2047675.l2559,Instant,0,0,4,Unknown
item1cbc23b193,"Graphium ANDROCLES Male EX bantimurung, Sulawesi, Indonesia n686",https://www.ebay.com/itm/Graphium-androcles-Mannchen-ex-Bantimurung-Sulawesi-Indonesia-n686/123415540115?hash=item1cbc23b193:g:ONEAAOSwElxbvMmN,$46.12,"Brachbach, Germany",https://i.ebayimg.com/thumbs/images/g/ONEAAOSwElxbvMmN/s-l225.jpg,borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 01, 2020 03:50:03 PST"
item33f5e8f204,Entomology machine pneumatique Graphium androcles male sulawesi,https://www.ebay.com/itm/Entomologie-Papilionidae-Graphium-androcles-male-Sulawesi/223169016324?hash=item33f5e8f204:g:iYQAAOSw05JbdTjj,$7.28,"Trosly-Breuil, France",https://i.ebayimg.com/thumbs/images/g/iYQAAOSw05JbdTjj/s-l225.jpg,hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item5484c093c7,Butterfly Real Insect Framed Taxidermy Graphium Androcles Giant Swordtail,https://www.ebay.com/itm/Butterfly-Real-Insect-Framed-Taxidermy-Graphium-Androcles-Giant-Swordtail/363004466119?hash=item5484c093c7:g:5zIAAOSwd59ezNUQ,$30.95,"Gympie, QLD, Australia",https://i.ebayimg.com/thumbs/images/g/5zIAAOSwd59ezNUQ/s-l225.jpg,mementomoriart,https://www.ebay.com/usr/mementomoriart?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1cc5711806,BUTTERFLY/MOTH/MOUNTED Sulawesi Swallowtail Framed GRAPHIUM ANDROCLES,https://www.ebay.com/itm/BUTTERFLY-MOTH-MOUNTED-Sulawesi-Swallowtail-Framed-GRAPHIUM-ANDROCLES/123571607558?hash=item1cc5711806:g:eQwAAOSwNDZbMG78,$29.99,"Hot Springs Village, Arkansas, United States",https://i.ebayimg.com/thumbs/images/g/eQwAAOSwNDZbMG78/s-l225.jpg,daffodildeb,https://www.ebay.com/usr/daffodildeb?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 13, 2021 03:55:49 PST"
item5b56892cc3,Graphium ANDROCLES Female * SULAWESI *,https://www.ebay.com/itm/Graphium-androcles-female-Sulawesi/392293854403?hash=item5b56892cc3:g:BI4AAOSw-HJc1AVE,$303.45,"Netphen, Germany",https://i.ebayimg.com/thumbs/images/g/BI4AAOSw-HJc1AVE/s-l225.jpg,insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item54969ce186,"INDONESIA 1372 - Giant Swordtail Butterfly ""Graphium androcles"" (pb17624)",https://www.ebay.com/itm/INDONESIA-1372-Giant-Swordtail-Butterfly-Graphium-androcles-pb17624/363304116614?hash=item54969ce186:g:57EAAOSwD3deWWSj,$3.00,"Ottawa, Ontario, Canada",https://i.ebayimg.com/thumbs/images/g/57EAAOSwD3deWWSj/s-l225.jpg,perforations,https://www.ebay.com/usr/perforations?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item56f4cf3dbf,"INDONESIA 1373 - Giant Swordtail Butterfly ""Graphium androcles"" S/S (pb17625)",https://www.ebay.com/itm/INDONESIA-1373-Giant-Swordtail-Butterfly-Graphium-androcles-S-S-pb17625/373474409919?hash=item56f4cf3dbf:g:nM4AAOSweVZeWWTf,$12.00,"Ottawa, Ontario, Canada",https://i.ebayimg.com/thumbs/images/g/nM4AAOSweVZeWWTf/s-l225.jpg,perforations,https://www.ebay.com/usr/perforations?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
