id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item593375bb02,Heliophorus ila ONE REAL BUTTERFLY YELLOW RED THAILAND UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/Heliophorus-ila-ONE-REAL-BUTTERFLY-YELLOW-RED-THAILAND-UNMOUNTED-WINGS-CLOSED/383115442946?hash=item593375bb02:g:sL8AAOSw68NdXeMd,$6.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/sL8AAOSw68NdXeMd/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:31:07 PST"
item422b90b9b3,COLLECTION pair unmounted butterfly lycaenidae Heliophorus ila   CHINA  #3-5,https://www.ebay.com/itm/COLLECTION-pair-unmounted-butterfly-lycaenidae-Heliophorus-ila-CHINA-3-5/284198746547?hash=item422b90b9b3:g:T28AAOxy4dNS9vF9,$8.80,"mainland, China",https://i.ebayimg.com/thumbs/images/g/T28AAOxy4dNS9vF9/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,3,0,1,26 Feb 2021 at 5:23:23am PST
item46bd4bd995,Heliophurus ILA Chinensis *** Female *** China,https://www.ebay.com/itm/HELIOPHORUS-ILA-CHINENSIS-female-CHINA/303823575445?hash=item46bd4bd995:g:uOgAAOSwGAhf5NOr,$24.15,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/uOgAAOSwGAhf5NOr/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 03, 2021 09:24:06 PST"
item4b646a58f6,collection PAIR unmounted butterfly lycaenidae Heliophorus ila  chinensis #3 A1-,https://www.ebay.com/itm/collection-PAIR-unmounted-butterfly-lycaenidae-Heliophorus-ila-chinensis-3-A1/323807238390?hash=item4b646a58f6:g:EoQAAOSw0npc24Tv,$8.80,"mainland, China",https://i.ebayimg.com/thumbs/images/g/EoQAAOSw0npc24Tv/s-l225.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,4,"May 07, 2020 00:23:48 PDT"
item3daddd8a2e,"Unmounted Butterfly/Lycaenidae - Heliophorus ila chinensis, male, A-",https://www.ebay.com/itm/Unmounted-Butterfly-Lycaenidae-Heliophorus-ila-chinensis-male-A/264909982254?hash=item3daddd8a2e:g:QpUAAOSwqu9VS35m,$1.87,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/QpUAAOSwqu9VS35m/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Dec 23, 2020 06:36:06 PST"
item46bd4bd64a,Heliophurus ILA Chinensis *** times *** China,https://www.ebay.com/itm/HELIOPHORUS-ILA-CHINENSIS-male-CHINA/303823574602?hash=item46bd4bd64a:g:S2wAAOSwKU9f5NLC,$24.15,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/S2wAAOSwKU9f5NLC/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,4,"Jan 03, 2021 09:24:07 PST"
item48f87d9f4a,COLLECTION pair unmounted butterfly lycaenidae Heliophorus ila   CHINA  #3-3,https://www.ebay.com/itm/COLLECTION-pair-unmounted-butterfly-lycaenidae-Heliophorus-ila-CHINA-3-3/313406627658?hash=item48f87d9f4a:g:WkEAAOSwABdgHAGx,$14.90,"mainland, China",https://i.ebayimg.com/thumbs/images/g/WkEAAOSwABdgHAGx/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 10, 2021 05:09:32 PST"
item3daddd7ac8,"Unmounted Butterfly/Lycaenidae - Heliophorus ila chinensis, male, China",https://www.ebay.com/itm/Unmounted-Butterfly-Lycaenidae-Heliophorus-ila-chinensis-male-China/264909978312?hash=item3daddd7ac8:g:QpUAAOSwqu9VS35m,$2.67,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/QpUAAOSwqu9VS35m/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Dec 23, 2020 06:30:40 PST"
item23ef8203fc,Laminated Purple Skirt Heliophorus ila Butterfly Specimen in 6x6 cm sheet,https://www.ebay.com/itm/Laminated-Purple-Skirt-Heliophorus-ila-Butterfly-Specimen-in-6x6-cm-sheet/154342130684?hash=item23ef8203fc:g:FI0AAOxy9eVRSTgd,$9.99,"Hong Kong, Hong Kong",https://i.ebayimg.com/thumbs/images/g/FI0AAOxy9eVRSTgd/s-l225.jpg,selltotheworld,https://www.ebay.com/usr/selltotheworld?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item48f87d4765,COLLECTION pair unmounted butterfly lycaenidae Heliophorus ila   CHINA  #3-1,https://www.ebay.com/itm/COLLECTION-pair-unmounted-butterfly-lycaenidae-Heliophorus-ila-CHINA-3-1/313406605157?hash=item48f87d4765:g:N9oAAOSwVTdgG~xI,$14.90,"mainland, China",https://i.ebayimg.com/thumbs/images/g/N9oAAOSwVTdgG~xI/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 10, 2021 05:09:31 PST"
