id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item422110d6b7,Butterfly Lycaenidae  Lycaena alciphron,https://www.ebay.com/itm/Butterfly-Lycaenidae-Lycaena-alciphron/284022593207?hash=item422110d6b7:g:IRIAAOSwqMxfbFjx,$8.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/thumbs/images/g/IRIAAOSwqMxfbFjx/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 24, 2020 12:58:13 PDT"
item422110cf97,Butterfly Lycaenidae  Lycaena alciphron,https://www.ebay.com/itm/Butterfly-Lycaenidae-Lycaena-alciphron/284022591383?hash=item422110cf97:g:Ry4AAOSwZ2BfbFg8,$8.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/thumbs/images/g/Ry4AAOSwZ2BfbFg8/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 24, 2020 12:58:22 PDT"
item422110d310,Butterfly Lycaenidae  Lycaena alciphron,https://www.ebay.com/itm/Butterfly-Lycaenidae-Lycaena-alciphron/284022592272?hash=item422110d310:g:WYQAAOSwGUNfbFil,$8.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/thumbs/images/g/WYQAAOSwGUNfbFil/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 24, 2020 12:58:17 PDT"
item422110d474,Butterfly Lycaenidae  Lycaena alciphron,https://www.ebay.com/itm/Butterfly-Lycaenidae-Lycaena-alciphron/284022592628?hash=item422110d474:g:s4UAAOSw6EVfbFjK,$8.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/thumbs/images/g/s4UAAOSw6EVfbFjK/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 24, 2020 12:58:15 PDT"
item42204a995b,Butterfly Lycaenidae Lycaena alciphron melibaeus,https://www.ebay.com/itm/Butterfly-Lycaenidae-Lycaena-alciphron-melibaeus/284009601371?hash=item42204a995b:g:dp0AAOSwANhfXQ81,$7.00,"Савостино, Лотошинский, Russian Federation",https://i.ebayimg.com/thumbs/images/g/dp0AAOSwANhfXQ81/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 12, 2020 12:03:56 PDT"
item422b961c98,3 x LYCAENA alciphron from Hungary/Germany,https://www.ebay.com/itm/3-x-Lycaena-alciphron-aus-Ungarn-Deutschland/284199099544?hash=item422b961c98:g:oEAAAOSwSQpgOVQH,$7.28,"Eberswalde, Germany",https://i.ebayimg.com/thumbs/images/g/oEAAAOSwSQpgOVQH/s-l225.jpg,saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 26, 2021 12:12:06 PST"
item4474835529,LYCAENA alciphron gordius ** Pair Ex OVO ** NE ITALY,https://www.ebay.com/itm/LYCAENA-ALCIPHRON-GORDIUS-pair-ex-ovo-NE-Italy/294012540201?hash=item4474835529:g:JXQAAOSwDWVgJ8Nm,$31.44,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/JXQAAOSwDWVgJ8Nm/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
item4475d58a86,Lycaenidae Lycaena alciphron pair from Poland!,https://www.ebay.com/itm/Lycaenidae-Lycaena-alciphron-pair-from-Poland/294034705030?hash=item4475d58a86:g:-TYAAOSw0zRgOTn7,$3.47,"Wroclaw, Poland",https://i.ebayimg.com/thumbs/images/g/-TYAAOSw0zRgOTn7/s-l225.jpg,wkukub9,https://www.ebay.com/usr/wkukub9?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item4451257045,LYCAENA alciphron heracleana *** PAIR *** Morocco (unmounted),https://www.ebay.com/itm/LYCAENA-ALCIPHRON-HERACLEANA-pair-MOROCCO-unmounted/293419184197?hash=item4451257045:g:mJwAAOSwMXldWp9q,$60.57,"Miami Playa(Tarragona), Spain",https://i.ebayimg.com/thumbs/images/g/mJwAAOSwMXldWp9q/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:23:43 PST"
item23e62d266e,"Lycaena alciphron gordius (Sulzer, 1776) France71a",https://www.ebay.com/itm/Lycaena-alciphron-gordius-Sulzer-1776-France71a/154185573998?hash=item23e62d266e:g:R4sAAOSwXwBfqVTw,$7.88,"Czarna Woda, Poland",https://i.ebayimg.com/thumbs/images/g/R4sAAOSwXwBfqVTw/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 09, 2021 06:42:22 PST"
