id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item33f4e802f5,Morpho aurora ONE REAL BUTTERFLY BLUE PERU UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/Morpho-aurora-ONE-REAL-BUTTERFLY-BLUE-PERU-UNMOUNTED-WINGS-CLOSED/223152177909?hash=item33f4e802f5:g:DdwAAOSwnktc2j~o,$19.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/DdwAAOSwnktc2j~o/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:48 PST"
item3414456299,Morpho aurora REAL BUTTERFLY BLUE PINK CHRISTMAS ORNAMENT GIFT PERU,https://www.ebay.com/itm/Morpho-aurora-REAL-BUTTERFLY-BLUE-PINK-CHRISTMAS-ORNAMENT-GIFT-PERU/223678390937?hash=item3414456299:g:VCYAAOSwpt9diSlu,$39.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/VCYAAOSwpt9diSlu/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:37 PST"
item3406e13d2a,Morpho aurora REAL FRAMED BUTTERFLY BLUE PERU,https://www.ebay.com/itm/Morpho-aurora-REAL-FRAMED-BUTTERFLY-BLUE-PERU/223453723946?hash=item3406e13d2a:g:1A4AAOSwv5xbyUqr,$39.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/1A4AAOSwv5xbyUqr/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:45 PST"
item36761adfd3,Morpho aurora ssp aurora (female) from Bolivia,https://www.ebay.com/itm/Morpho-aurora-ssp-aurora-female-from-Bolivia/233909706707?hash=item36761adfd3:g:q9oAAOSwVAxgN4BY,$55.91,"Pershore, United Kingdom",https://i.ebayimg.com/thumbs/images/g/q9oAAOSwVAxgN4BY/s-l225.jpg,juliefc111,https://www.ebay.com/usr/juliefc111?_trksid=p2047675.l2559,Auction,1,0,1,27 Feb 2021 at 11:56:45am PST
item36761a2352,Morpho aurora ssp aurora (male) from Bolivia,https://www.ebay.com/itm/Morpho-aurora-ssp-aurora-male-from-Bolivia/233909658450?hash=item36761a2352:g:Sy8AAOSw~llgN3bD,$13.97,"Pershore, United Kingdom",https://i.ebayimg.com/thumbs/images/g/Sy8AAOSw~llgN3bD/s-l225.jpg,juliefc111,https://www.ebay.com/usr/juliefc111?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item343d53be54,"MORPHO AURORA LAMASI FEMALE | HUANUCO, PERU | AS PICTURED | UK21-404 RARE",https://www.ebay.com/itm/MORPHO-AURORA-LAMASI-FEMALE-HUANUCO-PERU-AS-PICTURED-UK21-404-RARE/224367197780?hash=item343d53be54:g:r0cAAOSw~FFgOd85,$2.63,"Oldbury, United Kingdom",https://i.ebayimg.com/thumbs/images/g/r0cAAOSw~FFgOd85/s-l225.jpg,multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,0,1,27 Feb 2021 at 10:58:05am PST
item343d4d6692,"MORPHO AURORA LAMASI MALE | HUANUCO, PERU | AS PICTURED | UK21-270",https://www.ebay.com/itm/MORPHO-AURORA-LAMASI-MALE-HUANUCO-PERU-AS-PICTURED-UK21-270/224366782098?hash=item343d4d6692:g:EbEAAOSwTfNgKAUH,$1.37,"Oldbury, United Kingdom",https://i.ebayimg.com/thumbs/images/g/EbEAAOSwTfNgKAUH/s-l225.jpg,multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,0,1,27 Feb 2021 at 11:14:27am PST
item2f53710e61,Morpho aurora & zephyritis  Dome,https://www.ebay.com/itm/Morpho-aurora-zephyritis-Dome/203263381089?hash=item2f53710e61:g:OrkAAOSw~7Ffem0O,$99.00,"Newport, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/OrkAAOSw~7Ffem0O/s-l225.jpg,papilio28570,https://www.ebay.com/usr/papilio28570?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item28a0260db8,Morpho aurora & menelaus  Dome,https://www.ebay.com/itm/Morpho-aurora-menelaus-Dome/174485540280?hash=item28a0260db8:g:18AAAOSwMwJfg0TM,$144.00,"Newport, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/18AAAOSwMwJfg0TM/s-l225.jpg,papilio28570,https://www.ebay.com/usr/papilio28570?_trksid=p2047675.l2559,Instant,0,0,2,"Oct 27, 2020 20:55:02 PDT"
item34399f7391,VINTAGE LARGE BLUE MORPHO AURORA BUTTERFLY GLASS SHADOW BOX WOOD FRAME TAXIDERMY,https://www.ebay.com/itm/VINTAGE-LARGE-BLUE-MORPHO-AURORA-BUTTERFLY-GLASS-SHADOW-BOX-WOOD-FRAME-TAXIDERMY/224305050513?hash=item34399f7391:g:1uAAAOSw83lf6hBo,$124.99,"Waterbury, Connecticut, United States",https://i.ebayimg.com/thumbs/images/g/1uAAAOSw83lf6hBo/s-l225.jpg,dinorrache,https://www.ebay.com/usr/dinorrache?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item28a9c4631a,Butterfly x1 male Morpho aurora aureola  (Peru),https://www.ebay.com/itm/Butterfly-x1-male-Morpho-aurora-aureola-Peru/174646911770?hash=item28a9c4631a:g:xNYAAOSwy8BgMmgf,$10.49,"hamstall ridware, United Kingdom",https://i.ebayimg.com/thumbs/images/g/xNYAAOSwy8BgMmgf/s-l225.jpg,ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item1f1e450502,Morpho aurora - Shimmering Real Butterfly in Handmade Frame - Finest Quality!,https://www.ebay.com/itm/Morpho-aurora-Shimmering-Real-Butterfly-in-Handmade-Frame-Finest-Quality/133651825922?hash=item1f1e450502:g:rC4AAOSwn4hfNOd5,$95.07,"Monmouth, United Kingdom",https://i.ebayimg.com/thumbs/images/g/rC4AAOSwn4hfNOd5/s-l225.jpg,juancarlos2nd,https://www.ebay.com/usr/juancarlos2nd?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
