id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item3b574da566,Nymphalidae Satyridae Oeneis sculda male Russia Tyva region,https://www.ebay.com/itm/Nymphalidae-Satyridae-Oeneis-sculda-male-Russia-Tyva-region/254867776870?hash=item3b574da566:g:SKoAAOSwvaJgKVdV,$5.00,"Красноярск, Russian Federation",https://i.ebayimg.com/thumbs/images/g/SKoAAOSwvaJgKVdV/s-l225.jpg,garricos,https://www.ebay.com/usr/garricos?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4b89e9b372,a0-1463 Oeneis sculda sculda 1p A1 Satyridae,https://www.ebay.com/itm/a0-1463-Oeneis-sculda-sculda-1p-A1-Satyridae/324436341618?hash=item4b89e9b372:g:no0AAOSwECtfrJBn,$12.00,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/no0AAOSwECtfrJBn/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b5174470e,Oeneis sculda sculda male    (Satyridae),https://www.ebay.com/itm/Oeneis-sculda-sculda-male-Satyridae/254769645326?hash=item3b5174470e:g:bv0AAOSwhodfpCqE,$4.00,"Voronezh, Russian Federation",https://i.ebayimg.com/thumbs/images/g/bv0AAOSwhodfpCqE/s-l225.jpg,maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 18, 2021 11:14:20 PST"
item3431e49ae5,0-541 Oeneis sculda sculda 1m A1 Satyridae,https://www.ebay.com/itm/0-541-Oeneis-sculda-sculda-1m-A1-Satyridae/224175364837?hash=item3431e49ae5:g:cUMAAOSw35ZeYE2u,$3.20,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/cUMAAOSw35ZeYE2u/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3439268a18,a0-1464 Oeneis sculda sculda 1p A1 Satyridae,https://www.ebay.com/itm/a0-1464-Oeneis-sculda-sculda-1p-A1-Satyridae/224297126424?hash=item3439268a18:g:0wwAAOSw5YVfrJCr,$12.00,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/0wwAAOSw5YVfrJCr/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3439268a54,a0-1466 Oeneis sculda sculda 1m A1 Satyridae,https://www.ebay.com/itm/a0-1466-Oeneis-sculda-sculda-1m-A1-Satyridae/224297126484?hash=item3439268a54:g:vMcAAOSwE0NfrJAX,$3.20,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/vMcAAOSwE0NfrJAX/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3672f95ed6,"Oeneis sculda sculda RUSSIA, Altai Mountains 1PAIR С3551  11$",https://www.ebay.com/itm/Oeneis-sculda-sculda-RUSSIA-Altai-Mountains-1PAIR-3551-11/233857179350?hash=item3672f95ed6:g:XKoAAOSwCjJfmEGJ,$11.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/thumbs/images/g/XKoAAOSwCjJfmEGJ/s-l225.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item343b8553d6,"Oeneis sculda Satyridae butterfly from Russian Altai Mts., mounted",https://www.ebay.com/itm/Oeneis-sculda-Satyridae-butterfly-from-Russian-Altai-Mts-mounted/224336892886?hash=item343b8553d6:g:PL8AAOSwbs5f4NUd,$5.00,"Omsk, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/PL8AAOSwbs5f4NUd/s-l225.jpg,konung83,https://www.ebay.com/usr/konung83?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 05, 2021 05:59:04 PST"
item421fe6b7a5,Butterfly Satyridae Oeneis sculda male,https://www.ebay.com/itm/Butterfly-Satyridae-Oeneis-sculda-male/284003055525?hash=item421fe6b7a5:g:pcQAAOSwyhVfVcMY,$7.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/thumbs/images/g/pcQAAOSwyhVfVcMY/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 12, 2020 01:15:34 PDT"
item421fe6b84e,Butterfly Satyridae Oeneis sculda female,https://www.ebay.com/itm/Butterfly-Satyridae-Oeneis-sculda-female/284003055694?hash=item421fe6b84e:g:uY8AAOSwQDlfVcNa,$14.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/thumbs/images/g/uY8AAOSwQDlfVcNa/s-l225.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Sep 12, 2020 01:15:31 PDT"
item4b506356ec,"Oeneis sculda ssp. 7m, 1p Satyridae !PRICE FOR EACH!",https://www.ebay.com/itm/Oeneis-sculda-ssp-7m-1p-Satyridae-PRICE-FOR-EACH/323471234796?hash=item4b506356ec:g:VHcAAOSwNjxbrXjQ,$4.00,"Ulan-Ude, Russian Federation",https://i.ebayimg.com/thumbs/images/g/VHcAAOSwNjxbrXjQ/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 24, 2020 22:31:41 PST"
