id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item5912d65e37,Papilio lormieri ONE REAL BUTTERFLY VERSO AFRICA UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/Papilio-lormieri-ONE-REAL-BUTTERFLY-VERSO-AFRICA-UNMOUNTED-WINGS-CLOSED/382568128055?hash=item5912d65e37:g:SWIAAOSwKptchw4t,$8.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/SWIAAOSwKptchw4t/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:56 PST"
item4b8b228291,UAP 15 A+/A  Papilio lormieri   Graphium,https://www.ebay.com/itm/UAP-15-A-A-Papilio-lormieri-Graphium/324456841873?hash=item4b8b228291:g:gYkAAOSweUtgBgHk,$7.50,"Southport, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/gYkAAOSweUtgBgHk/s-l225.jpg,budgetbutterfly,https://www.ebay.com/usr/budgetbutterfly?_trksid=p2047675.l2559,Instant,0,0,5,Unknown
item59672cc461,Framed And Matted Papilio Lormieri ( C. Africa ),https://www.ebay.com/itm/Framed-And-Matted-Papilio-Lormieri-C-Africa/383983076449?hash=item59672cc461:g:iAcAAOSwFIVex-s2,$21.95,"Tallmadge, Ohio, United States",https://i.ebayimg.com/thumbs/images/g/iAcAAOSwFIVex-s2/s-l225.jpg,evbayevelena,https://www.ebay.com/usr/evbayevelena?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item56e2a2a116,"Papilio lormieri,UNMOUNTED butterfly",https://www.ebay.com/itm/Papilio-lormieri-UNMOUNTED-butterfly/373169496342?hash=item56e2a2a116:g:AA4AAOSwmjZePZSj,$4.50,"Frydek-Mistek, Czech Republic",https://i.ebayimg.com/thumbs/images/g/AA4AAOSwmjZePZSj/s-l225.jpg,wingshape,https://www.ebay.com/usr/wingshape?_trksid=p2047675.l2559,Instant,0,0,6,"Feb 12, 2021 08:51:33 PST"
item3db40f7606,PAPILIONIDAE Papilio lormieri Cameroun Pap0058,https://www.ebay.com/itm/PAPILIONIDAE-Papilio-lormieri-Cameroun-Pap0058/265013917190?hash=item3db40f7606:g:rxEAAOSwLiBgAFHc,$3.00,"Moscow, Russian Federation",https://i.ebayimg.com/thumbs/images/g/rxEAAOSwLiBgAFHc/s-l225.jpg,dirktt50,https://www.ebay.com/usr/dirktt50?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1cdb4a3dca,"LEPIDOPTERA, PAPILIONIDAE, PAPILIO LORMIERI from R.C.A",https://www.ebay.com/itm/LEPIDOPTERA-PAPILIONIDAE-PAPILIO-LORMIERI-from-R-C-A/123938160074?hash=item1cdb4a3dca:g:RGwAAOSwGVFcJNrf,$4.12,"Santiago de Compostela (A Coruña), Spain",https://i.ebayimg.com/thumbs/images/g/RGwAAOSwGVFcJNrf/s-l225.jpg,insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,0,4,"Dec 21, 2019 11:35:15 PST"
item4454096d01,Papilio lormieri male. YELLOW FORM. Cameroon. VERY RARE!!,https://www.ebay.com/itm/Papilio-lormieri-male-YELLOW-FORM-Cameroon-VERY-RARE/293467680001?hash=item4454096d01:g:qAQAAOSwMDpeP~EB,$9.00,"ruza, mosoblast, Russian Federation",https://i.ebayimg.com/thumbs/images/g/qAQAAOSwMDpeP~EB/s-l225.jpg,roman-insects,https://www.ebay.com/usr/roman-insects?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 24, 2020 07:45:39 PDT"
item4454097ce4,Papilio lormieri male. YELLOW FORM. 6 PCS! CAMEROON. VERY RARE!,https://www.ebay.com/itm/Papilio-lormieri-male-YELLOW-FORM-6-PCS-CAMEROON-VERY-RARE/293467684068?hash=item4454097ce4:g:N30AAOSwUP5eP~IS,$48.00,"ruza, mosoblast, Russian Federation",https://i.ebayimg.com/thumbs/images/g/N30AAOSwUP5eP~IS/s-l225.jpg,roman-insects,https://www.ebay.com/usr/roman-insects?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 24, 2020 07:45:40 PDT"
item288edcdf0f,Papilio lormieri x 10 Congo butterflies.,https://www.ebay.com/itm/PAPILIO-LORMIERI-X-10-PAPILLONS-CONGO/174195531535?hash=item288edcdf0f:g:aEAAAOSwgGJeTCOV,$24.28,"Toulouse, France",https://i.ebayimg.com/thumbs/images/g/aEAAAOSwgGJeTCOV/s-l225.jpg,objets-et-creatures-31,https://www.ebay.com/usr/objets-et-creatures-31?_trksid=p2047675.l2559,Instant,0,0,1 lot (10 items per lot),"Jan 18, 2021 02:34:45 PST"
item3b31042834,"Unmounted Butterfly/Papilionidae - Papilio lormieri lormieri, male, Cameroon, A-",https://www.ebay.com/itm/Unmounted-Butterfly-Papilionidae-Papilio-lormieri-lormieri-male-Cameroon-A/254225426484?hash=item3b31042834:g:cOQAAOSwbjNc1AQg,$2.67,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/cOQAAOSwbjNc1AQg/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,3,"Jan 09, 2021 02:44:06 PST"
