id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item56eb9bf537,"Papilio ulysses telegonus, UNMOUNTED butterfly",https://www.ebay.com/itm/Papilio-ulysses-telegonus-UNMOUNTED-butterfly/373320054071?hash=item56eb9bf537:g:MWIAAOSwarlcBVRe,$11.50,"Frydek-Mistek, Czech Republic",https://i.ebayimg.com/thumbs/images/g/MWIAAOSwarlcBVRe/s-l225.jpg,wingshape,https://www.ebay.com/usr/wingshape?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 12, 2021 08:44:31 PST"
item342fcd1bcd,Papilio ulysses telegonus REAL FRAMED BUTTERFLY BLUE BLACK INDONESIA,https://www.ebay.com/itm/Papilio-ulysses-telegonus-REAL-FRAMED-BUTTERFLY-BLUE-BLACK-INDONESIA/224140270541?hash=item342fcd1bcd:g:yWIAAOSwZo5fTYV1,$38.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/yWIAAOSwZo5fTYV1/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:45 PST"
item58c9388fb2,Papilio ulysses ONE REAL BUTTERFLY BLUE INDONESIAN UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/Papilio-ulysses-ONE-REAL-BUTTERFLY-BLUE-INDONESIAN-UNMOUNTED-WINGS-CLOSED/381333049266?hash=item58c9388fb2:g:hl4AAOSwYS5cgxwY,$16.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/hl4AAOSwYS5cgxwY/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:53 PST"
item48f41bb2b6,Papilionidae. 6 x Papilio ulysses ulysses. Seram,https://www.ebay.com/itm/Papilionidae-6-x-Papilio-ulysses-ulysses-Seram/313333101238?hash=item48f41bb2b6:g:h4kAAOSwEVdfo~z~,$25.00,"Jakarta, Indonesia",https://i.ebayimg.com/thumbs/images/g/h4kAAOSwEVdfo~z~/s-l225.jpg,batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,0,4,"Jan 26, 2021 16:16:06 PST"
item2184e769e4,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO ULYSSES ULYSSES MALE CERAM ISLAND +++",https://www.ebay.com/itm/ENTOMOLOGY-BUTTERFLY-PAPILIO-ULYSSES-ULYSSES-MALE-CERAM-ISLAND/143963679204?hash=item2184e769e4:g:ifsAAOSwIStgO-Hs,$2.99,"Haibach, Germany",https://i.ebayimg.com/thumbs/images/g/ifsAAOSwIStgO-Hs/s-l225.jpg,aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item56e38188ce,"Papilio ulysses ulysses,10pcs,A1,UNMOUNTED butterfly",https://www.ebay.com/itm/Papilio-ulysses-ulysses-10pcs-A1-UNMOUNTED-butterfly/373184104654?hash=item56e38188ce:g:psEAAOSw5iRb-EqU,$65.00,"Frydek-Mistek, Czech Republic",https://i.ebayimg.com/thumbs/images/g/psEAAOSw5iRb-EqU/s-l225.jpg,wingshape,https://www.ebay.com/usr/wingshape?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 12, 2021 08:49:58 PST"
item41fe315410,"Papilio ulysses telegonus A1 FEMALE, VERY RARE! Unmounted Bachan Island",https://www.ebay.com/itm/Papilio-ulysses-telegonus-A1-FEMALE-VERY-RARE-Unmounted-Bachan-Island/283437519888?hash=item41fe315410:g:RsQAAOSwBPxccgr~,$39.95,"Commack, New York, United States",https://i.ebayimg.com/thumbs/images/g/RsQAAOSwBPxccgr~/s-l225.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,Last one,"Apr 22, 2020 06:54:19 PDT"
item41fda3f09b,"Papilio ulysses - 10 A1 XL Size Turquoise, Unmounted Males AMBON GIANTS !!",https://www.ebay.com/itm/Papilio-ulysses-10-A1-XL-Size-Turquoise-Unmounted-Males-AMBON-GIANTS/283428253851?hash=item41fda3f09b:g:lFIAAOSwD9VgEIdy,$62.95,"Commack, New York, United States",https://i.ebayimg.com/thumbs/images/g/lFIAAOSwD9VgEIdy/s-l225.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,5 lots (10 items per lot),"Jan 26, 2021 13:27:20 PST"
item5b7a7ac28a,Real Framed Papilio Ulysses Metallic Peacock Blue Butterfly Insect Taxidermy,https://www.ebay.com/itm/Real-Framed-Papilio-Ulysses-Metallic-Peacock-Blue-Butterfly-Insect-Taxidermy/392896889482?hash=item5b7a7ac28a:g:AQkAAOSwVXJfKLk8,$25.00,"Danville, Virginia, United States",https://i.ebayimg.com/thumbs/images/g/AQkAAOSwVXJfKLk8/s-l225.jpg,collectorman101,https://www.ebay.com/usr/collectorman101?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item33a0bb3093,Papilio ulysses REAL METALLIC BLUE INDONESIAN FRAMED BUTTERFLY INSECT,https://www.ebay.com/itm/Papilio-ulysses-REAL-METALLIC-BLUE-INDONESIAN-FRAMED-BUTTERFLY-INSECT/221739954323?hash=item33a0bb3093:g:kvYAAOSwae9evg2e,$36.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/kvYAAOSwae9evg2e/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 08, 2021 18:30:54 PST"
