id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item3b4f36a184,"Lepidoptera. Parnassius cephalus ssp, A-, male, FORM Nigroocellata!",https://www.ebay.com/itm/Lepidoptera-Parnassius-cephalus-ssp-A-male-FORM-Nigroocellata/254732050820?hash=item3b4f36a184:g:ubIAAOSwvEFfca-7,$49.00,"Kursk City, Russian Federation",https://i.ebayimg.com/thumbs/images/g/ubIAAOSwvEFfca-7/s-l225.jpg,mistericus,https://www.ebay.com/usr/mistericus?_trksid=p2047675.l2559,Instant,0,0,1,"Oct 04, 2020 12:36:16 PDT"
item4b29d5377a,"Parnassius cephalus suzukii, male, A1- quality (China: Qinghai)",https://www.ebay.com/itm/Parnassius-cephalus-suzukii-male-A1-quality-China-Qinghai/322824386426?hash=item4b29d5377a:g:51cAAOSwHCVZ4JDi,$60.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/51cAAOSwHCVZ4JDi/s-l225.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 18, 2020 07:53:03 PDT"
item343ca047de,a0-2121 Parnassius cephalus micheli 1p A2 Papilionidae China,https://www.ebay.com/itm/a0-2121-Parnassius-cephalus-micheli-1p-A2-Papilionidae-China/224355436510?hash=item343ca047de:g:2sYAAOSw-9Zf4DLl,$29.00,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/2sYAAOSw-9Zf4DLl/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3431e4b041,a0-2122 Parnassius cephalus (=? kitaharae) 1m A- Papilionidae China,https://www.ebay.com/itm/a0-2122-Parnassius-cephalus-kitaharae-1m-A-Papilionidae-China/224175370305?hash=item3431e4b041:g:ZroAAOSweiZf4DJ0,$12.00,"Ulan-Ude, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/ZroAAOSweiZf4DJ0/s-l225.jpg,karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 20, 2020 21:28:46 PST"
item23ef5d75c1,"Parnassius cephalus cephalus (Grum-Grshimailo, 1891) male China6c",https://www.ebay.com/itm/Parnassius-cephalus-cephalus-Grum-Grshimailo-1891-male-China6c/154339734977?hash=item23ef5d75c1:g:gqsAAOSwSUBgMksn,$39.93,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/gqsAAOSwSUBgMksn/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23ef5e6a8e,"Parnassius cephalus Grum-Grshimailo, 1891 China13d",https://www.ebay.com/itm/Parnassius-cephalus-Grum-Grshimailo-1891-China13d/154339797646?hash=item23ef5e6a8e:g:fngAAOSw7kdgMlnW,$15.89,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/fngAAOSw7kdgMlnW/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23ef5df682,"Parnassius cephalus var. dengxiaoping Weiss & Michel, 1989 male China17c",https://www.ebay.com/itm/Parnassius-cephalus-var-dengxiaoping-Weiss-Michel-1989-male-China17c/154339767938?hash=item23ef5df682:g:K5cAAOSw-iFgMlGy,$29.25,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/K5cAAOSw-iFgMlGy/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item46a686b558,PARNASSIUS cephalus takenakai Male F. nigroocallatus (Yunnan),https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-TAKENAKAI-male-f-NIGROOCALLATUS-YUNNAN/303441556824?hash=item46a686b558:g:yJAAAOSwEzxYUH~9,$96.98,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/yJAAAOSwEzxYUH~9/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:20 PST"
item44512574e7,PARNASSIUS cephalus Deng Xiaoping * *** 1 times * *** Tibet. largeh LA,https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-DENGXIAOPING-1-male-TIBET-Largeh-La/293419185383?hash=item44512574e7:g:kJAAAOSwoWdfCuz-,$115.31,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/kJAAAOSwoWdfCuz-/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 03, 2021 09:23:43 PST"
item3daefa392a,Parnassius Cephalus Irene of china pair,https://www.ebay.com/itm/Parnassius-Cephalus-Irene-of-China-Pair/264928639274?hash=item3daefa392a:g:roEAAOSwT4JfWNL1,$48.49,"Zaragoza, Spain",https://i.ebayimg.com/thumbs/images/g/roEAAOSwT4JfWNL1/s-l225.jpg,bradyftw12,https://www.ebay.com/usr/bradyftw12?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item46a64430da,"PARNASSIUS cephalus Micheli * PAIR * tangula pass, Tibet",https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-MICHELI-pair-Tangula-Pass-Tibet/303437197530?hash=item46a64430da:g:X3wAAOSwl9RaIsUj,$229.41,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/X3wAAOSwl9RaIsUj/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:37 PST"
item4451257513,"PARNASSIUS cephalus Micheli *** Female *** tangula pass, Tibet",https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-MICHELI-female-Tangula-Pass-Tibet/293419185427?hash=item4451257513:g:ZKgAAOSwAx1fh0UU,$169.81,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/ZKgAAOSwAx1fh0UU/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:23:44 PST"
item445e9f51d8,"PARNASSIUS cephalus takenakai *** Female *** Yunnan, China",https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-TAKENAKAI-female-YUNNAN-China/293645275608?hash=item445e9f51d8:g:LzsAAOSwtV5fCu5V,$109.12,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/LzsAAOSwtV5fCu5V/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 03, 2021 09:24:03 PST"
item4450d3ca9a,"PARNASSIUS cephalus takenakai *** times *** Yunnan, China",https://www.ebay.com/itm/PARNASSIUS-CEPHALUS-TAKENAKAI-male-YUNNAN-China/293413833370?hash=item4450d3ca9a:g:dU8AAOSwZm1fCu4o,$109.12,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/dU8AAOSwZm1fCu4o/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 08, 2021 09:16:37 PST"
item23ef5d7283,"Parnassius cephalus cephalus (Grum-Grshimailo, 1891) female China4c",https://www.ebay.com/itm/Parnassius-cephalus-cephalus-Grum-Grshimailo-1891-female-China4c/154339734147?hash=item23ef5d7283:g:dugAAOSwK8dgMkqi,$74.66,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/dugAAOSwK8dgMkqi/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23ef5d738d,"Parnassius cephalus cephalus (Grum-Grshimailo, 1891) female China5c",https://www.ebay.com/itm/Parnassius-cephalus-cephalus-Grum-Grshimailo-1891-female-China5c/154339734413?hash=item23ef5d738d:g:tFIAAOSwXQJgMkrb,$74.66,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/tFIAAOSwXQJgMkrb/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23ef5d7467,"Parnassius cephalus cephalus (Grum-Grshimailo, 1891) female China7c",https://www.ebay.com/itm/Parnassius-cephalus-cephalus-Grum-Grshimailo-1891-female-China7c/154339734631?hash=item23ef5d7467:g:3HQAAOSw5NZgMksB,$74.66,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/3HQAAOSw5NZgMksB/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23ef5d8317,"Parnassius cephalus subsp. micheli Weiss, 1992 female China8c",https://www.ebay.com/itm/Parnassius-cephalus-subsp-micheli-Weiss-1992-female-China8c/154339738391?hash=item23ef5d8317:g:LmoAAOSwFZtgMkvA,$74.66,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/LmoAAOSwFZtgMkvA/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23ef5d868d,"Parnassius cephalus subsp. micheli Weiss, 1992 female China9c",https://www.ebay.com/itm/Parnassius-cephalus-subsp-micheli-Weiss-1992-female-China9c/154339739277?hash=item23ef5d868d:g:srsAAOSwQ9BgMkwe,$74.66,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/srsAAOSwQ9BgMkwe/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
