id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item2d26dc22cc,Papilionidae Parnassius imperator rex China (Quinhai) f,https://www.ebay.com/itm/Papilionidae-Parnassius-imperator-rex-China-Quinhai-f/193925489356?hash=item2d26dc22cc:g:1SUAAOSwRrhgDcC9,$69.99,"Jamison, Pennsylvania, United States",https://i.ebayimg.com/thumbs/images/g/1SUAAOSwRrhgDcC9/s-l225.jpg,insectaworld,https://www.ebay.com/usr/insectaworld?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item3db6efa0b1,PAPILIONIDAE Parnassius imperator gigas MALE China Gansu PAP0071,https://www.ebay.com/itm/PAPILIONIDAE-Parnassius-imperator-gigas-MALE-China-Gansu-PAP0071/265062162609?hash=item3db6efa0b1:g:e6QAAOSwvBRgMnav,$15.00,"Moscow, Russian Federation",https://i.ebayimg.com/thumbs/images/g/e6QAAOSwvBRgMnav/s-l225.jpg,dirktt50,https://www.ebay.com/usr/dirktt50?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item3b557e6d87,"Lepidoptera. Parnassius imperator , pair,  A-, China",https://www.ebay.com/itm/Lepidoptera-Parnassius-imperator-pair-A-China/254837419399?hash=item3b557e6d87:g:jlAAAOSwLEdgBKaN,$59.00,"Kursk City, Russian Federation",https://i.ebayimg.com/thumbs/images/g/jlAAAOSwLEdgBKaN/s-l225.jpg,mistericus,https://www.ebay.com/usr/mistericus?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 18, 2021 04:08:07 PST"
item4b28146200,"Parnassius imperator rex, pair, A1+ (China: Qinghai)",https://www.ebay.com/itm/Parnassius-imperator-rex-pair-A1-China-Qinghai/322794971648?hash=item4b28146200:g:iOwAAOSwG-1ZxvOH,$135.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/iOwAAOSwG-1ZxvOH/s-l225.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 17, 2020 03:24:16 PDT"
item4b59bc3138,"Parnassius imperator regina, female, A1- (China: Gansu)",https://www.ebay.com/itm/Parnassius-imperator-regina-female-A1-China-Gansu/323628052792?hash=item4b59bc3138:g:EX4AAOSwO6NcKKZV,$110.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/EX4AAOSwO6NcKKZV/s-l225.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 17, 2020 01:37:06 PDT"
item4b6c2d438d,"Parnassius imperator regina, male, A1- quality (China: Gansu)",https://www.ebay.com/itm/Parnassius-imperator-regina-male-A1-quality-China-Gansu/323937452941?hash=item4b6c2d438d:g:N38AAOSw5uddlyoj,$50.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/N38AAOSw5uddlyoj/s-l225.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 18, 2020 06:28:35 PDT"
item23ef750b1e,"Parnassius imperator subsp. erlaensis Sugiyama, 1992 male China28d",https://www.ebay.com/itm/Parnassius-imperator-subsp-erlaensis-Sugiyama-1992-male-China28d/154341280542?hash=item23ef750b1e:g:0jgAAOSwmt1gM8u~,$33.26,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/0jgAAOSwmt1gM8u~/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1caf6305e4,"PARNASSIUS IMPERATOR ssp. gigas EX N. lanzhow, China, RARE, no. 157b",https://www.ebay.com/itm/Parnassius-imperator-ssp-gigas-ex-N-Lanzhow-China-rare-No-157b/123201586660?hash=item1caf6305e4:g:wMsAAOSwd6VZm~0e,$315.59,"Brachbach, Germany",https://i.ebayimg.com/thumbs/images/g/wMsAAOSwd6VZm~0e/s-l225.jpg,borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 01, 2020 03:49:48 PST"
item46a686bb4c,"PARNASSIUS IMPERATOR luxuriosus * MALE * QINGHAI, CHINA",https://www.ebay.com/itm/PARNASSIUS-IMPERATOR-LUXURIOSUS-male-QINGHAI-CHINA/303441558348?hash=item46a686bb4c:g:D-gAAOSwN5hfsWW1,$200.28,"Miami Playa(Tarragona), Spain",https://i.ebayimg.com/thumbs/images/g/D-gAAOSwN5hfsWW1/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,3,"Jan 03, 2021 09:24:17 PST"
item23ef7513a8,"Parnassius imperator subsp. gigas Kotzsch, 1932 female China27a",https://www.ebay.com/itm/Parnassius-imperator-subsp-gigas-Kotzsch-1932-female-China27a/154341282728?hash=item23ef7513a8:g:hxAAAOSw8OdgM81C,$133.43,"Gotelp, Poland",https://i.ebayimg.com/thumbs/images/g/hxAAAOSw8OdgM81C/s-l225.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
