id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item287ac3df12,Dome Glass Mounted APPIAS NERO JAVA Butterfly,https://www.ebay.com/itm/Dome-Glass-Mounted-APPIAS-NERO-JAVA-Butterfly/173858348818?hash=item287ac3df12:g:y68AAOSwlLlcSlc8,https://i.ebayimg.com/thumbs/images/g/y68AAOSwlLlcSlc8/s-l225.jpg,$23.99,Feb-19 13:40,"Heath, Ohio, United States",malbright41,https://www.ebay.com/usr/malbright41?_trksid=p2047675.l2559,Instant,0,1
item28a87997ef,Appias nero palawanica male 30mm AN100 Pieridae Butterflies,https://www.ebay.com/itm/Appias-nero-palawanica-male-30mm-AN100-Pieridae-Butterflies/174625232879?hash=item28a87997ef:g:KjgAAOSwqAFgG3YO,https://i.ebayimg.com/thumbs/images/g/KjgAAOSwqAFgG3YO/s-l225.jpg,$1.41,Feb-09 19:17,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,2,1
item2afe08e2da,Appias nero palawanica male 30mm AN99 Pieridae Butterflies,https://www.ebay.com/itm/Appias-nero-palawanica-male-30mm-AN99-Pieridae-Butterflies/184650621658?hash=item2afe08e2da:g:NpoAAOSw6udgG3ZI,https://i.ebayimg.com/thumbs/images/g/NpoAAOSw6udgG3ZI/s-l225.jpg,$1.05,Feb-09 19:08,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
item4dae5af597,Appias nero A1 papered specimen Ex Philippine’s,https://www.ebay.com/itm/Appias-nero-A1-papered-specimen-Ex-Philippine-s/333637678487?hash=item4dae5af597:g:wwkAAOSwhe1e98u5,https://i.ebayimg.com/thumbs/images/g/wwkAAOSwhe1e98u5/s-l225.jpg,$2.59,Feb-08 02:19,"Burgess Hill, United Kingdom",the_entomologist,https://www.ebay.com/usr/the_entomologist?_trksid=p2047675.l2559,Instant,0,1
item4473822e82,Real Dried Insect/Butterfly/Moth Non set B7035 Bright orange Appias nero x 2,https://www.ebay.com/itm/Real-Dried-Insect-Butterfly-Moth-Non-set-B7035-Bright-orange-Appias-nero-x-2/293995687554?hash=item4473822e82:g:FY8AAOSwRkNgHcvo,https://i.ebayimg.com/thumbs/images/g/FY8AAOSwRkNgHcvo/s-l225.jpg,$5.77,Feb-05 18:16,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1
item28a799860c,Appias nero domitia male 30mm AJ80 Pieridae Butterflies,https://www.ebay.com/itm/Appias-nero-domitia-male-30mm-AJ80-Pieridae-Butterflies/174610548236?hash=item28a799860c:g:r0oAAOSw2f9gCSvs,https://i.ebayimg.com/thumbs/images/g/r0oAAOSw2f9gCSvs/s-l225.jpg,$1.29,Jan-30 03:30,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,2,1
item2182b74ddd,R- 005 EL : AU : Butterflies: Appias nero domitia 39mm,https://www.ebay.com/itm/R-005-EL-AU-Butterflies-Appias-nero-domitia-39mm/143926971869?hash=item2182b74ddd:g:eKAAAOSwq69fqmAv,https://i.ebayimg.com/thumbs/images/g/eKAAAOSwq69fqmAv/s-l225.jpg,$0.99,Jan-29 04:14,"Sta. Maria, Bulacan, Philippines",philinsectbugs,https://www.ebay.com/usr/philinsectbugs?_trksid=p2047675.l2559,Auction,1,1
item3ff275cb58,Pieridae - Appias nero - Orange Albatross - male,https://www.ebay.com/itm/Pieridae-Appias-nero-Orange-Albatross-male/274650745688?hash=item3ff275cb58:g:J2IAAOSw1T9gBHwP,https://i.ebayimg.com/thumbs/images/g/J2IAAOSw1T9gBHwP/s-l225.jpg,$5.59,Jan-24 11:10,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,1,1
item28a63a1a52,"Vintage Butterfly Taxidermy - Appias Nero, Cethosia Biblis & Papilio Daedalus",https://www.ebay.com/itm/Vintage-Butterfly-Taxidermy-Appias-Nero-Cethosia-Biblis-Papilio-Daedalus/174587517522?hash=item28a63a1a52:g:eowAAOSwy41f6I7I,https://i.ebayimg.com/thumbs/images/g/eowAAOSwy41f6I7I/s-l225.jpg,$14.68,Jan-15 11:39,"Bristol, United Kingdom",eribritto_5,https://www.ebay.com/usr/eribritto_5?_trksid=p2047675.l2559,Auction,11,1
item28a665bf60,Appias nero domitia female 30mm AF123 Pieridae Butterflies,https://www.ebay.com/itm/Appias-nero-domitia-female-30mm-AF123-Pieridae-Butterflies/174590377824?hash=item28a665bf60:g:C~cAAOSwIFBf8sRC,https://i.ebayimg.com/thumbs/images/g/C~cAAOSwIFBf8sRC/s-l225.jpg,$1.05,Jan-15 03:17,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
