id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item422aa5bc39,3 x brenthis Hecate from Hungary,https://www.ebay.com/itm/3-x-Brenthis-hecate-aus-Ungarn/284183346233?hash=item422aa5bc39:g:qiUAAOSwXZtgKC5U,https://i.ebayimg.com/thumbs/images/g/qiUAAOSwXZtgKC5U/s-l225.jpg,$10.92,Feb-15 13:57,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1
item5964c0774d,"Nymphalidae brenthis Hecate Hecate, times from S. URAL",https://www.ebay.com/itm/NYMPHALIDAE-BRENTHIS-HECATE-HECATE-MALE-from-S-URALS/383942424397?hash=item5964c0774d:g:r4kAAOSwYndgIBwx,https://i.ebayimg.com/thumbs/images/g/r4kAAOSwYndgIBwx/s-l225.jpg,$5.46,Feb-14 08:58,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,4,1
item5962a5c4f9,"Nymphalidae brenthis Hecate PADI, times from Italy",https://www.ebay.com/itm/NYMPHALIDAE-BRENTHIS-HECATE-PADI-MALE-from-ITALY/383907120377?hash=item5962a5c4f9:g:2dkAAOSwYZBgBGor,https://i.ebayimg.com/thumbs/images/g/2dkAAOSwYZBgBGor/s-l225.jpg,$7.89,Jan-24 08:47,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,3,1
item5962a5c2dd,"Nymphalidae brenthis Hecate TRANSCAUCASICA, female from Turkey",https://www.ebay.com/itm/NYMPHALIDAE-BRENTHIS-HECATE-TRANSCAUCASICA-FEMALE-from-TURKEY/383907119837?hash=item5962a5c2dd:g:FgQAAOSweOhgBGoT,https://i.ebayimg.com/thumbs/images/g/FgQAAOSweOhgBGoT/s-l225.jpg,$10.32,Jan-24 08:47,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,3,1
item23c9f6c219,"Brenthis hecate (Denis & Schiffermuller, 1775) Hungaria46g",https://www.ebay.com/itm/Brenthis-hecate-Denis-Schiffermuller-1775-Hungaria46g/153712247321?hash=item23c9f6c219:g:A~sAAOSwihtdwdN2,https://i.ebayimg.com/thumbs/images/g/A~sAAOSwihtdwdN2/s-l225.jpg,$8.95,Jan-16 16:56,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
item23c9f6bc2a,"Brenthis hecate (Denis & Schiffermuller, 1775)  Czech49g",https://www.ebay.com/itm/Brenthis-hecate-Denis-Schiffermuller-1775-Czech49g/153712245802?hash=item23c9f6bc2a:g:8KIAAOSw0-5dwdLg,https://i.ebayimg.com/thumbs/images/g/8KIAAOSw0-5dwdLg/s-l225.jpg,$8.95,Jan-16 16:56,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
item59604c6b4b,"Nymphalidae brenthis Hecate PADI, times from Italy",https://www.ebay.com/itm/NYMPHALIDAE-BRENTHIS-HECATE-PADI-MALE-from-ITALY/383867710283?hash=item59604c6b4b:g:vooAAOSwvBVf34Ni,https://i.ebayimg.com/thumbs/images/g/vooAAOSwvBVf34Ni/s-l225.jpg,$37.02,Dec-27 09:01,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,7,1
item56f055d488,"Nymphalidae brenthis Hecate TRANSCAUCASICA, times from Georgia",https://www.ebay.com/itm/NYMPHALIDAE-BRENTHIS-HECATE-TRANSCAUCASICA-MALE-from-GEORGIA/373399344264?hash=item56f055d488:g:6JoAAOSwh1tf34NI,https://i.ebayimg.com/thumbs/images/g/6JoAAOSwh1tf34NI/s-l225.jpg,$6.68,Dec-27 09:01,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,6,1
item422258301b,3 x brenthis Hecate from Hungary,https://www.ebay.com/itm/3-x-Brenthis-hecate-aus-Ungarn/284044046363?hash=item422258301b:g:-74AAOSw8vtfhYHw,https://i.ebayimg.com/thumbs/images/g/-74AAOSw8vtfhYHw/s-l225.jpg,$10.92,Dec-12 23:45,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1
item23c9f6c15f,"Brenthis hecate (Denis & Schiffermuller, 1775) Hungaria45g",https://www.ebay.com/itm/Brenthis-hecate-Denis-Schiffermuller-1775-Hungaria45g/153712247135?hash=item23c9f6c15f:g:zQYAAOSwoPJdwdM6,https://i.ebayimg.com/thumbs/images/g/zQYAAOSwoPJdwdM6/s-l225.jpg,$8.95,Dec-12 05:54,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
