id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item4d9f293cb4,Catopsilia Pomona (Yellow Form & White Form- 2 Butterflies) A1  specimens,https://www.ebay.com/itm/Catopsilia-Pomona-Yellow-Form-White-Form-2-Butterflies-A1-specimens/333382761652?hash=item4d9f293cb4:g:3XUAAOSw6D5dvJCP,https://i.ebayimg.com/thumbs/images/g/3XUAAOSw6D5dvJCP/s-l225.jpg,$4.19,Feb-23 15:00,"Burgess Hill , United Kingdom",the_entomologist,https://www.ebay.com/usr/the_entomologist?_trksid=p2047675.l2559,Instant,0,1
item3db5daa7e5,"Goa Pieridae Catopsilia  pomona butterfly, taxidermy",https://www.ebay.com/itm/Goa-Pieridae-Catopsilia-pomona-butterfly-taxidermy/265044010981?hash=item3db5daa7e5:g:j0gAAOSwZpJgFrZ9,https://i.ebayimg.com/thumbs/images/g/j0gAAOSwZpJgFrZ9/s-l225.jpg,$6.99,Feb-14 06:30,"Bridgwater, United Kingdom",pawemajk0,https://www.ebay.com/usr/pawemajk0?_trksid=p2047675.l2559,Auction,1,1
item28a8685693,Catopsilia pomona pomona male 28mm AF133 Pieridae Butterflies,https://www.ebay.com/itm/Catopsilia-pomona-pomona-male-28mm-AF133-Pieridae-Butterflies/174624102035?hash=item28a8685693:g:seMAAOSwDwJf8scx,https://i.ebayimg.com/thumbs/images/g/seMAAOSwDwJf8scx/s-l225.jpg,$0.99,Feb-08 21:06,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
item2afdf5b1eb,Catopsilia pomona pomona male 35mm AF112 Pieridae Butterflies,https://www.ebay.com/itm/Catopsilia-pomona-pomona-male-35mm-AF112-Pieridae-Butterflies/184649363947?hash=item2afdf5b1eb:g:8dEAAOSwFf1f8sZX,https://i.ebayimg.com/thumbs/images/g/8dEAAOSwFf1f8sZX/s-l225.jpg,$0.99,Feb-08 21:06,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
item28a86855ae,Catopsilia pomona pomona male 37mm OU93 Pieridae Butterflies,https://www.ebay.com/itm/Catopsilia-pomona-pomona-male-37mm-OU93-Pieridae-Butterflies/174624101806?hash=item28a86855ae:g:NscAAOSwl3xfkkfo,https://i.ebayimg.com/thumbs/images/g/NscAAOSwl3xfkkfo/s-l225.jpg,$0.99,Feb-08 21:05,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
item3ff336fda9,Pieridae - Catopsilia pomona - Lemon Emigrant - female,https://www.ebay.com/itm/Pieridae-Catopsilia-pomona-Lemon-Emigrant-female/274663407017?hash=item3ff336fda9:g:V1gAAOSwKwZfoYtp,https://i.ebayimg.com/thumbs/images/g/V1gAAOSwKwZfoYtp/s-l225.jpg,$5.59,Feb-04 12:33,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,1,1
item3db50d2539,44973p  Pieridae Catopsilia pomona Vietnam,https://www.ebay.com/itm/44973p-Pieridae-Catopsilia-pomona-Vietnam/265030542649?hash=item3db50d2539:g:4KUAAOSwM9NgEnZr,https://i.ebayimg.com/thumbs/images/g/4KUAAOSwM9NgEnZr/s-l225.jpg,$6.00,Jan-29 10:42,"Krasnoyarsk city, Russian Federation",fareastinsects,https://www.ebay.com/usr/fareastinsects?_trksid=p2047675.l2559,Instant,0,1
item420f739ab9,5 pcs collection unmounted butterfly Catopsilia pomona pomona A1 A1-,https://www.ebay.com/itm/5-pcs-collection-unmounted-butterfly-Catopsilia-pomona-pomona-A1-A1/283727076025?hash=item420f739ab9:g:jEoAAOSwdg5a41TZ,https://i.ebayimg.com/thumbs/images/g/jEoAAOSwdg5a41TZ/s-l225.jpg,$4.50,Jan-26 00:25,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1
item3ff2883470,Pieridae - Catopsilia pomona - Lemon Emigrant - male,https://www.ebay.com/itm/Pieridae-Catopsilia-pomona-Lemon-Emigrant-male/274651952240?hash=item3ff2883470:g:9LgAAOSwWBJfoYts,https://i.ebayimg.com/thumbs/images/g/9LgAAOSwWBJfoYts/s-l225.jpg,$8.81,Jan-25 11:58,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,2,1
item2afc024ca4,Catopsilia pomona pomona female 30mm AF120 Pieridae Butterflies,https://www.ebay.com/itm/Catopsilia-pomona-pomona-female-30mm-AF120-Pieridae-Butterflies/184616635556?hash=item2afc024ca4:g:HLwAAOSw3o5f8se-,https://i.ebayimg.com/thumbs/images/g/HLwAAOSw3o5f8se-/s-l225.jpg,$0.99,Jan-16 03:36,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1
