id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item366b7d7615,Colias eogene elissa KYRGHYZSTAN 1M C2226 9$,https://www.ebay.com/itm/Colias-eogene-elissa-KYRGHYZSTAN-1M-C2226-9/233731618325?hash=item366b7d7615:g:~CIAAOSwa15fdcsf,https://i.ebayimg.com/thumbs/images/g/~CIAAOSwa15fdcsf/s-l225.jpg,$9.00,Feb-19 03:17,"Krasnousolskiy, Russian Federation",aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,1
item3672b72e57,Colias eogene erythas Tajikistan 1M C3868 12$,https://www.ebay.com/itm/Colias-eogene-erythas-Tajikistan-1M-C3868-12/233852841559?hash=item3672b72e57:g:tBcAAOSwbyRf-Zdz,https://i.ebayimg.com/thumbs/images/g/tBcAAOSwbyRf-Zdz/s-l225.jpg,$12.00,Feb-19 03:17,"Krasnousolskiy, Russian Federation",aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,1
item3672b73315,Colias eogene erythas Tajikistan 1PAIR C3866 36$,https://www.ebay.com/itm/Colias-eogene-erythas-Tajikistan-1PAIR-C3866-36/233852842773?hash=item3672b73315:g:dyYAAOSwNV5f-ZfM,https://i.ebayimg.com/thumbs/images/g/dyYAAOSwNV5f-ZfM/s-l225.jpg,$36.00,Jan-30 05:02,"Krasnousolskiy, Russian Federation",aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,1
item5dbf8f8f28,"Pieridae, Colias eogene erythas, male, A1-, Tajikistan",https://www.ebay.com/itm/Pieridae-Colias-eogene-erythas-male-A1-Tajikistan/402645815080?hash=item5dbf8f8f28:g:PMoAAOSwkqZf~bhO,https://i.ebayimg.com/thumbs/images/g/PMoAAOSwkqZf~bhO/s-l225.jpg,$10.00,Jan-24 10:23,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,1,1
item5dbf8f8f0a,"Pieridae, Colias eogene, female, A1/A1-, Tajikistan",https://www.ebay.com/itm/Pieridae-Colias-eogene-female-A1-A1-Tajikistan/402645815050?hash=item5dbf8f8f0a:g:5wMAAOSwmBZf~beq,https://i.ebayimg.com/thumbs/images/g/5wMAAOSwmBZf~beq/s-l225.jpg,$37.74,Jan-24 10:23,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,3,1
item5dbebd3625,"COLIAS EOGENE Female ABERRATION mini (Koitezek range, Tajikistan)",https://www.ebay.com/itm/COLIAS-EOGENE-Female-ABERRATION-mini-Koitezek-range-Tajikistan/402632029733?hash=item5dbebd3625:g:ChEAAOSwtkNf7w0P,https://i.ebayimg.com/thumbs/images/g/ChEAAOSwtkNf7w0P/s-l225.jpg,$46.00,Jan-13 07:44,"Saint Petersburg, Russian Federation",insec84,https://www.ebay.com/usr/insec84?_trksid=p2047675.l2559,Auction,2,1
item5dbd9f37c4,"Colias eogene elissa, female, A2- Tajikistan",https://www.ebay.com/itm/Colias-eogene-elissa-female-A2-Tajikistan/402613286852?hash=item5dbd9f37c4:g:P5IAAOSwHYVfkFho,https://i.ebayimg.com/thumbs/images/g/P5IAAOSwHYVfkFho/s-l225.jpg,$14.00,Dec-27 11:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,1,1
item5dbd9f37ae,"Colias eogene elissa, male A1- Tajikistan",https://www.ebay.com/itm/Colias-eogene-elissa-male-A1-Tajikistan/402613286830?hash=item5dbd9f37ae:g:zHEAAOSwSdRfkFS-,https://i.ebayimg.com/thumbs/images/g/zHEAAOSwSdRfkFS-/s-l225.jpg,$9.00,Dec-27 11:00,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,1,1
item3b53cf1f92,Pieridae Colias eogene ssp. male Kyrgyzstan Alay,https://www.ebay.com/itm/Pieridae-Colias-eogene-ssp-male-Kyrgyzstan-Alay/254809153426?hash=item3b53cf1f92:g:310AAOSwfDRfzlYm,https://i.ebayimg.com/thumbs/images/g/310AAOSwfDRfzlYm/s-l225.jpg,$10.00,Dec-20 10:48,"Красноярск, Russian Federation",garricos,https://www.ebay.com/usr/garricos?_trksid=p2047675.l2559,Auction,1,1
item56efc13636,COLIAS EOGENE ERYTHRAS FEMALE FROM HINDUKUSCH,https://www.ebay.com/itm/COLIAS-EOGENE-ERYTHRAS-FEMALE-FROM-HINDUKUSCH/373389604406?hash=item56efc13636:g:S64AAOSwpfxf1ki7,https://i.ebayimg.com/thumbs/images/g/S64AAOSwpfxf1ki7/s-l225.jpg,$25.00,Dec-20 10:42,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,14,1
item5491869040,COLIAS EOGENE ERYTHRAS MALE FROM HINDUKUSCH,https://www.ebay.com/itm/COLIAS-EOGENE-ERYTHRAS-MALE-FROM-HINDUKUSCH/363218767936?hash=item5491869040:g:bT4AAOSwrptf1kkN,https://i.ebayimg.com/thumbs/images/g/bT4AAOSwrptf1kkN/s-l225.jpg,$24.93,Dec-20 10:41,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,11,1
item5490733ed7,COLIAS EOGENE ELISSA FEMALE FORM FROM TADZHIKISTAN,https://www.ebay.com/itm/COLIAS-EOGENE-ELISSA-FEMALE-FORM-FROM-TADZHIKISTAN/363200724695?hash=item5490733ed7:g:tnAAAOSwXfJfw73E,https://i.ebayimg.com/thumbs/images/g/tnAAAOSwXfJfw73E/s-l225.jpg,$17.50,Dec-06 09:24,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1
