id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item5904422a69,Hestina assimilis ONE REAL BUTTERFLY RED PINK CHINA UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/Hestina-assimilis-ONE-REAL-BUTTERFLY-RED-PINK-CHINA-UNMOUNTED-WINGS-CLOSED/382323534441?hash=item5904422a69:g:CNIAAOSwT-FchbqO,https://i.ebayimg.com/thumbs/images/g/CNIAAOSwT-FchbqO/s-l225.jpg,$6.00,Feb-26 16:35,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,37
item340534b07d,collection 5 pcs unmounted butterfly Hestina assimilis mena CHINA A1 A1-,https://www.ebay.com/itm/collection-5-pcs-unmounted-butterfly-Hestina-assimilis-mena-CHINA-A1-A1/223425638525?hash=item340534b07d:g:YSoAAOSw7wFcJCWk,https://i.ebayimg.com/thumbs/images/g/YSoAAOSw7wFcJCWk/s-l225.jpg,$3.85,Feb-26 07:20,"mainland, China",xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,1
item48c710ba06,collection 5 pcs unmounted butterfly Hestina assimilis mena GUANGXI CHINA A1 A1-,https://www.ebay.com/itm/collection-5-pcs-unmounted-butterfly-Hestina-assimilis-mena-GUANGXI-CHINA-A1-A1/312577407494?hash=item48c710ba06:g:l8gAAOxycmBS9vSg,https://i.ebayimg.com/thumbs/images/g/l8gAAOxycmBS9vSg/s-l225.jpg,$4.99,Feb-25 10:10,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1
item367413ae4d,"ENTOMOLOGIE, SCHMETTERLING: HESTINA ASSIMILIS,♂,VIETNAM #100",https://www.ebay.com/itm/ENTOMOLOGIE-SCHMETTERLING-HESTINA-ASSIMILIS-VIETNAM-100/233875680845?hash=item367413ae4d:g:KDsAAOSwdXdgEvow,https://i.ebayimg.com/thumbs/images/g/KDsAAOSwdXdgEvow/s-l225.jpg,$2.42,Feb-07 09:54,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1
item56f23e3670,"HESTINA ASSIMILIS SSP. FROM HA GIANG, VIETNAM",https://www.ebay.com/itm/HESTINA-ASSIMILIS-SSP-FROM-HA-GIANG-VIETNAM/373431350896?hash=item56f23e3670:g:XWoAAOSwEXRgBGUx,https://i.ebayimg.com/thumbs/images/g/XWoAAOSwEXRgBGUx/s-l225.jpg,$10.53,Jan-24 11:05,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1
item41fab4daa0,collection PAIR unmounted butterfly Hestina assimilis mena  CHINA A1,https://www.ebay.com/itm/collection-PAIR-unmounted-butterfly-Hestina-assimilis-mena-CHINA-A1/283379030688?hash=item41fab4daa0:g:nWEAAOxy69JTD-SJ,https://i.ebayimg.com/thumbs/images/g/nWEAAOxy69JTD-SJ/s-l225.jpg,$5.85,Jan-11 04:14,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1
item56f1647d48,"N14790. Insects, Butterflies. Hestina assimilis. North Vietnam",https://www.ebay.com/itm/N14790-Insects-Butterflies-Hestina-assimilis-North-Vietnam/373417082184?hash=item56f1647d48:g:W7YAAOSwEshf8tC2,https://i.ebayimg.com/thumbs/images/g/W7YAAOSwEshf8tC2/s-l225.jpg,$6.50,Jan-11 00:24,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,2,1
item23eb923990,"N14795. Insects, Butterflies. Hestina assimilis. North Vietnam",https://www.ebay.com/itm/N14795-Insects-Butterflies-Hestina-assimilis-North-Vietnam/154276084112?hash=item23eb923990:g:X24AAOSwgRhf8tAw,https://i.ebayimg.com/thumbs/images/g/X24AAOSwgRhf8tAw/s-l225.jpg,$1.99,Jan-11 00:22,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,1,1
item56f1646e04,"N14798. Insects, Butterflies. Hestina assimilis. North Vietnam",https://www.ebay.com/itm/N14798-Insects-Butterflies-Hestina-assimilis-North-Vietnam/373417078276?hash=item56f1646e04:g:zkYAAOSwOMxf8s~d,https://i.ebayimg.com/thumbs/images/g/zkYAAOSwOMxf8s~d/s-l225.jpg,$4.24,Jan-11 00:21,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,2,1
item56f078c04a,173.Unmounted butterflies: Hestina assimilis?. North Vietnam,https://www.ebay.com/itm/173-Unmounted-butterflies-Hestina-assimilis-North-Vietnam/373401632842?hash=item56f078c04a:g:9wUAAOSw5c5f4dsT,https://i.ebayimg.com/thumbs/images/g/9wUAAOSw5c5f4dsT/s-l225.jpg,$7.00,Dec-29 03:40,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,1,1
item23ea6acacb,139.Unmounted butterflies: Hestina assimilis?. North Vietnam,https://www.ebay.com/itm/139-Unmounted-butterflies-Hestina-assimilis-North-Vietnam/154256722635?hash=item23ea6acacb:g:cjYAAOSwlB1f4dmj,https://i.ebayimg.com/thumbs/images/g/cjYAAOSwlB1f4dmj/s-l225.jpg,$7.00,Dec-29 03:37,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,1,1
item4225d562a2,collection PAIR unmounted butterfly Hestina assimilis mena  CHINA A1 A1-,https://www.ebay.com/itm/collection-PAIR-unmounted-butterfly-Hestina-assimilis-mena-CHINA-A1-A1/284102582946?hash=item4225d562a2:g:nWEAAOxy69JTD-SJ,https://i.ebayimg.com/thumbs/images/g/nWEAAOxy69JTD-SJ/s-l225.jpg,$1.99,Dec-08 06:17,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1
item23e4b328dc,N13677. Unmounted butterflies: Hestina assimilis. North Vietnam,https://www.ebay.com/itm/N13677-Unmounted-butterflies-Hestina-assimilis-North-Vietnam/154160802012?hash=item23e4b328dc:g:z7cAAOSwGsRfiR49,https://i.ebayimg.com/thumbs/images/g/z7cAAOSwGsRfiR49/s-l225.jpg,$3.50,Dec-04 08:16,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1
item23e7d8e5f1,N14774. Unmounted butterflies: Hestina assimilis?. North Vietnam,https://www.ebay.com/itm/N14774-Unmounted-butterflies-Hestina-assimilis-North-Vietnam/154213606897?hash=item23e7d8e5f1:g:3lgAAOSwWplfv2f~,https://i.ebayimg.com/thumbs/images/g/3lgAAOSwWplfv2f~/s-l225.jpg,$6.01,Dec-03 00:32,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,3,1
item56ee60ba90,N14794. Unmounted butterflies: Hestina assimilis?. North Vietnam,https://www.ebay.com/itm/N14794-Unmounted-butterflies-Hestina-assimilis-North-Vietnam/373366504080?hash=item56ee60ba90:g:lcwAAOSwCyZfv2ZC,https://i.ebayimg.com/thumbs/images/g/lcwAAOSwCyZfv2ZC/s-l225.jpg,$3.25,Dec-03 00:25,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,2,1
