id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item3ff4a1da13,Nymphalidae - 	Hypolimnas salmacis - Blue Diadem - female,https://www.ebay.com/itm/Nymphalidae-Hypolimnas-salmacis-Blue-Diadem-female/274687187475?hash=item3ff4a1da13:g:U20AAOSwglJgLU70,https://i.ebayimg.com/thumbs/images/g/U20AAOSwglJgLU70/s-l225.jpg,$15.38,Feb-24 11:01,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,2,1
item5dc02bf105,Nymphalidae Hypolimnas salmacis from Uganda,https://www.ebay.com/itm/Nymphalidae-Hypolimnas-salmacis-from-Uganda/402656063749?hash=item5dc02bf105:g:A5AAAOSw4zdgCxrY,https://i.ebayimg.com/thumbs/images/g/A5AAAOSw4zdgCxrY/s-l225.jpg,$8.00,Jan-31 14:04,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,4,1
item5dc02b62e2,Nymphalidae Hypolimnas salmacis FEMALE  from Uganda,https://www.ebay.com/itm/Nymphalidae-Hypolimnas-salmacis-FEMALE-from-Uganda/402656027362?hash=item5dc02b62e2:g:geUAAOSwwjRgCxWr,https://i.ebayimg.com/thumbs/images/g/geUAAOSwwjRgCxWr/s-l225.jpg,$9.50,Jan-31 13:57,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,4,1
item4dbbd88d42,Butterfly - 1 x mounted male Hypolimnas salmacis (Good A1-),https://www.ebay.com/itm/Butterfly-1-x-mounted-male-Hypolimnas-salmacis-Good-A1/333864013122?hash=item4dbbd88d42:g:hmoAAOSw6o5gCH7D,https://i.ebayimg.com/thumbs/images/g/hmoAAOSw6o5gCH7D/s-l225.jpg,$6.29,Jan-31 12:16,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,1,1
item56f1584729,HYPOLIMNAS SALMACIS SALMACIS MALE FROM CAMEROON,https://www.ebay.com/itm/HYPOLIMNAS-SALMACIS-SALMACIS-MALE-FROM-CAMEROON/373416281897?hash=item56f1584729:g:6JEAAOSwoKxf8egI,https://i.ebayimg.com/thumbs/images/g/6JEAAOSwoKxf8egI/s-l225.jpg,$5.50,Jan-10 10:53,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1
item4dba0cb7e1,Butterfly - 1 x mounted male Hypolimnas salmacis (Good A1-),https://www.ebay.com/itm/Butterfly-1-x-mounted-male-Hypolimnas-salmacis-Good-A1/333833877473?hash=item4dba0cb7e1:g:QmMAAOSwEUBf4ibE,https://i.ebayimg.com/thumbs/images/g/QmMAAOSwEUBf4ibE/s-l225.jpg,$6.29,Jan-03 11:22,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,1,1
item5960f67401,Naturalized butterfly hypolimnas salmacis,https://www.ebay.com/itm/Papillon-Naturalise-Hypolimnas-Salmacis/383878853633?hash=item5960f67401:g:vPIAAOSwlEtfYm~2,https://i.ebayimg.com/thumbs/images/g/vPIAAOSwlEtfYm~2/s-l225.jpg,$30.35,Dec-29 12:12,"Mauleon-Licharre, France",calo-2595,https://www.ebay.com/usr/calo-2595?_trksid=p2047675.l2559,Auction,1,1
item3ff0bcad99,Nymphalidae - Hypolimnas salmacis - Blue Diadem - male,https://www.ebay.com/itm/Nymphalidae-Hypolimnas-salmacis-Blue-Diadem-male/274621836697?hash=item3ff0bcad99:g:AQIAAOSw-k1f4YxN,https://i.ebayimg.com/thumbs/images/g/AQIAAOSw-k1f4YxN/s-l225.jpg,$8.39,Dec-29 10:05,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,1,1
item5dbd0b7e5c,Butterflie Nymphalidae Hypolimnas salmacis PAIR FEMLAE YELLOW  South  Cameroon,https://www.ebay.com/itm/Butterflie-Nymphalidae-Hypolimnas-salmacis-PAIR-FEMLAE-YELLOW-South-Cameroon/402603605596?hash=item5dbd0b7e5c:g:UL8AAOSwevBf1Qsd,https://i.ebayimg.com/thumbs/images/g/UL8AAOSwevBf1Qsd/s-l225.jpg,$16.50,Dec-20 13:48,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,2,1
item5490c1d938,HYPOLIMNAS SALMACIS SALMACIS FEMALE FROM BANGUI,https://www.ebay.com/itm/HYPOLIMNAS-SALMACIS-SALMACIS-FEMALE-FROM-BANGUI/363205876024?hash=item5490c1d938:g:FEsAAOSwmhtfyP5J,https://i.ebayimg.com/thumbs/images/g/FEsAAOSwmhtfyP5J/s-l225.jpg,$3.00,Dec-13 09:39,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1
item56ef02bee9,HYPOLIMNAS SALMACIS SALMACIS MALE FROM CAMEROON,https://www.ebay.com/itm/HYPOLIMNAS-SALMACIS-SALMACIS-MALE-FROM-CAMEROON/373377122025?hash=item56ef02bee9:g:i00AAOSwFe1fyP4p,https://i.ebayimg.com/thumbs/images/g/i00AAOSwFe1fyP4p/s-l225.jpg,$5.56,Dec-13 09:38,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1
item23e80d15f9,Hypolimnas salmacis (Drury 1773) CAR 98mm32a,https://www.ebay.com/itm/Hypolimnas-salmacis-Drury-1773-CAR-98mm32a/154217027065?hash=item23e80d15f9:g:uiMAAOSwb5Vfwj0M,https://i.ebayimg.com/thumbs/images/g/uiMAAOSwb5Vfwj0M/s-l225.jpg,$16.43,Nov-30 08:04,"Gotelp, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
