id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item2657488e13,"Nymphalidae Neptis sappho pair , mounted",https://www.ebay.com/itm/Nymphalidae-Neptis-sappho-pair-mounted/164673130003?hash=item2657488e13:g:clMAAOSwNm1gExf3,https://i.ebayimg.com/thumbs/images/g/clMAAOSwNm1gExf3/s-l225.jpg,$20.30,Feb-07 13:17,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,19,1
item3db32f4bbe,BEAUTIFUL VTG SASAKIA CHARO & NEPTIS SAPPHO taxidermy in Hanging Glass case,https://www.ebay.com/itm/BEAUTIFUL-VTG-SASAKIA-CHARO-NEPTIS-SAPPHO-taxidermy-in-Hanging-Glass-case/264999226302?hash=item3db32f4bbe:g:k9gAAOSw83lf3i91,https://i.ebayimg.com/thumbs/images/g/k9gAAOSw83lf3i91/s-l225.jpg,$14.95,Feb-07 10:22,"Clifton, New Jersey, United States",lauraleemeltz2012,https://www.ebay.com/usr/lauraleemeltz2012?_trksid=p2047675.l2559,Instant,0,1
item1cf967995b,Satyridae. Neptis sappho. Russia,https://www.ebay.com/itm/Satyridae-Neptis-sappho-Russia/124443400539?hash=item1cf967995b:g:4dMAAOSwKIZfEe5u,https://i.ebayimg.com/thumbs/images/g/4dMAAOSwKIZfEe5u/s-l225.jpg,$10.00,Jan-29 00:41,"Moscow, Russian Federation",roslerstammiella,https://www.ebay.com/usr/roslerstammiella?_trksid=p2047675.l2559,Instant,0,1
item5962a58750,"Nymphalidae Neptis Sappho intermedia, times from Far East",https://www.ebay.com/itm/NYMPHALIDAE-NEPTIS-SAPPHO-INTERMEDIA-MALE-from-FAR-EAST/383907104592?hash=item5962a58750:g:UPAAAOSwpIRgBGf0,https://i.ebayimg.com/thumbs/images/g/UPAAAOSwpIRgBGf0/s-l225.jpg,$6.68,Jan-24 08:38,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,5,1
item56f23e53ca,"Nymphalidae Neptis Sappho Sapho, times from Ukraine",https://www.ebay.com/itm/NYMPHALIDAE-NEPTIS-SAPPHO-SAPHO-MALE-from-UKRAINE/373431358410?hash=item56f23e53ca:g:8KgAAOSwKN5gBGfc,https://i.ebayimg.com/thumbs/images/g/8KgAAOSwKN5gBGfc/s-l225.jpg,$5.46,Jan-24 08:37,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,4,1
item23d39ef5ac,"Neptis sappho (Pallas, 1771) Bulgaria7d",https://www.ebay.com/itm/Neptis-sappho-Pallas-1771-Bulgaria7d/153874265516?hash=item23d39ef5ac:g:3LUAAOSwbEReeHgu,https://i.ebayimg.com/thumbs/images/g/3LUAAOSwbEReeHgu/s-l225.jpg,$10.55,Jan-17 12:23,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
item4226e13d84,3 x Neptis Sappho from Hungary,https://www.ebay.com/itm/3-x-Neptis-sappho-aus-Ungarn/284120137092?hash=item4226e13d84:g:39MAAOSwcU5f3c6X,https://i.ebayimg.com/thumbs/images/g/39MAAOSwcU5f3c6X/s-l225.jpg,$10.92,Jan-14 12:13,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1
item3db2b5462b,45290p Nymphalidae Neptis sappho,https://www.ebay.com/itm/45290p-Nymphalidae-Neptis-sappho/264991229483?hash=item3db2b5462b:g:MhwAAOSwjOBf6JvU,https://i.ebayimg.com/thumbs/images/g/MhwAAOSwjOBf6JvU/s-l225.jpg,$4.00,Jan-03 06:36,"Krasnoyarsk city, Russian Federation",fareastinsects,https://www.ebay.com/usr/fareastinsects?_trksid=p2047675.l2559,Auction,1,1
item23d39ef504,"Neptis sappho (Pallas, 1771) Bulgaria6d",https://www.ebay.com/itm/Neptis-sappho-Pallas-1771-Bulgaria6d/153874265348?hash=item23d39ef504:g:Z4cAAOSwZsdeeHgS,https://i.ebayimg.com/thumbs/images/g/Z4cAAOSwZsdeeHgS/s-l225.jpg,$10.55,Dec-12 11:39,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1
item23e7e7aee6,"Nymphalidae Neptis sappho pair , mounted",https://www.ebay.com/itm/Nymphalidae-Neptis-sappho-pair-mounted/154214575846?hash=item23e7e7aee6:g:96YAAOSw9BBfv-wJ,https://i.ebayimg.com/thumbs/images/g/96YAAOSw9BBfv-wJ/s-l225.jpg,$4.54,Dec-06 12:24,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,1,1
